index,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
human__global_workspace_theory_C,0.003,0.002,3124.0,2184.0,1.0
chicken__global_workspace_theory_C,0.002,0.003,5229.0,1882.0,1.0
2024_leading_chat_llms__global_workspace_theory_C,0.002,0.002,4376.0,2560.0,1.0
eliza__global_workspace_theory_C,0.002,0.002,5927.0,2689.0,1.0
human__a,0.024,0.018,2057.0,1077.0,1.0
human__kappa[0],0.022,0.022,2942.0,2281.0,1.0
human__kappa[1],0.016,0.012,3307.0,3758.0,1.0
human__kappa[2],0.017,0.011,2382.0,3474.0,1.0
human__kappa[3],0.02,0.01,1656.0,3177.0,1.0
human__kappa[4],0.023,0.01,1469.0,3106.0,1.0
human__kappa[5],0.027,0.011,1422.0,2994.0,1.0
chicken__a,0.01,0.009,3709.0,2542.0,1.0
chicken__kappa[0],0.018,0.021,3246.0,2298.0,1.0
chicken__kappa[1],0.003,0.004,6196.0,3661.0,1.0
chicken__kappa[2],0.003,0.003,4415.0,3394.0,1.0
chicken__kappa[3],0.003,0.003,4355.0,2990.0,1.0
chicken__kappa[4],0.004,0.004,4647.0,3144.0,1.0
chicken__kappa[5],0.005,0.005,3874.0,3137.0,1.0
2024_leading_chat_llms__a,0.006,0.007,3702.0,3050.0,1.0
2024_leading_chat_llms__kappa[0],0.007,0.006,2262.0,2706.0,1.0
2024_leading_chat_llms__kappa[1],0.008,0.005,2128.0,2969.0,1.0
2024_leading_chat_llms__kappa[2],0.009,0.005,2106.0,2757.0,1.0
2024_leading_chat_llms__kappa[3],0.009,0.005,2128.0,2750.0,1.0
2024_leading_chat_llms__kappa[4],0.009,0.005,2132.0,2655.0,1.0
2024_leading_chat_llms__kappa[5],0.009,0.005,2231.0,2679.0,1.0
eliza__a,0.007,0.01,3943.0,2374.0,1.0
eliza__kappa[0],0.004,0.005,7143.0,2761.0,1.0
eliza__kappa[1],0.004,0.006,7343.0,3135.0,1.0
eliza__kappa[2],0.005,0.007,6246.0,2863.0,1.0
eliza__kappa[3],0.006,0.007,5898.0,3330.0,1.0
eliza__kappa[4],0.008,0.011,6658.0,3205.0,1.0
eliza__kappa[5],0.011,0.015,7113.0,3756.0,1.0
beta_pres__moderate_support__moderately_demanding,0.0,0.001,6855.0,2987.0,1.0
beta_pres__moderate_support__moderately_undemanding,0.0,0.001,8375.0,2795.0,1.0
beta_pres__moderate_support__neutral,0.0,0.0,6188.0,2931.0,1.0
beta_pres__moderate_support__strongly_demanding,0.0,0.001,8733.0,2417.0,1.0
beta_pres__moderate_support__weakly_demanding,0.0,0.001,8119.0,2920.0,1.0
beta_pres__moderate_support__weakly_undemanding,0.0,0.0,8213.0,3286.0,1.0
beta_pres__strong_support__moderately_demanding,0.0,0.001,6825.0,2564.0,1.0
beta_pres__strong_support__moderately_undemanding,0.0,0.001,7241.0,2729.0,1.0
beta_pres__strong_support__neutral,0.0,0.0,7023.0,3047.0,1.0
beta_pres__strong_support__strongly_demanding,0.0,0.001,8328.0,2913.0,1.0
beta_pres__strong_support__weakly_demanding,0.0,0.001,7777.0,3058.0,1.0
beta_pres__strong_support__weakly_undemanding,0.0,0.0,7571.0,3487.0,1.0
beta_pres__weak_support__moderately_demanding,0.0,0.001,6732.0,2520.0,1.0
beta_pres__weak_support__moderately_undemanding,0.0,0.001,8993.0,3178.0,1.0
beta_pres__weak_support__neutral,0.0,0.001,7742.0,2927.0,1.0
beta_pres__weak_support__strongly_undemanding,0.0,0.001,7815.0,2640.0,1.0
beta_pres__weak_support__weakly_undemanding,0.0,0.001,8467.0,3023.0,1.0
