prob_bin,n,mean_posterior_p,empirical_z_rate,mean_brier,mean_neg_log_score
"[0.0, 0.1)",20,0.028244906674608765,0.2,0.1742695348185534,0.5570924127489021
"[0.1, 0.2)",17,0.15987880379417485,0.5294117647058824,0.3810816206570777,1.0412026440331719
"[0.2, 0.3)",14,0.23077822010959811,0.5714285714285714,0.359601047482604,0.9483601890881904
"[0.3, 0.4)",2,0.311717381203267,0.5,0.2777454415774258,0.7516947177056129
"[0.4, 0.5)",2,0.42734440462608425,1.0,0.3285084456789703,0.8517390796242964
"[0.5, 0.6)",8,0.5384618807462129,0.5,0.2396102651123984,0.6719695326731924
"[0.6, 0.7)",6,0.6307906604148139,0.8333333333333334,0.19092287414712694,0.5737283015668819
"[0.7, 0.8)",21,0.7433740886275816,0.9047619047619048,0.1121400347282302,0.3968941730014177
"[0.8, 0.9)",4,0.8229100232266799,1.0,0.03164155388468142,0.19511431620705638
"[0.9, 1.0)",6,0.9585729384962868,1.0,0.0026885302919388305,0.04284643342483103
