dgp,fit,leaf,design,nuisance_truth,estimand,system,node_key,node_name,node_type,top_feature,depth,fanout,subtree_indicator_count,subtree_rating_count,z_true,prior_p_z1,posterior_p_z1,prior_entropy,posterior_entropy,entropy_reduction,relative_entropy_reduction,brier,log_score,neg_log_score
exact_latent_tree,per_system_obs_exact_tree,three_state_binomial_2,current_gwt_rater_design,per_system_obs_task2_medians,internal_z_probability,Human,Global Workspace Theory > Representationality,Representationality,feature,Representationality,1,4,8,8,1,0.9249619188927626,0.708090849376459,0.2664801241977445,0.6038522660110042,-0.3373721418132597,-1.2660311639711974,0.08521095221775711,-0.3451828751921778,0.3451828751921778
exact_latent_tree,per_system_obs_exact_tree,three_state_binomial_2,current_gwt_rater_design,per_system_obs_task2_medians,internal_z_probability,Human,Global Workspace Theory > Representationality > Conceptual Representations,Conceptual Representations,feature,Representationality,2,3,3,3,1,0.81855749032424,0.7514278491135625,0.47357379847331393,0.560761048438087,-0.08718724996477312,-0.1841048855444357,0.061788114196309835,-0.28578008356187207,0.28578008356187207
exact_latent_tree,per_system_obs_exact_tree,three_state_binomial_2,current_gwt_rater_design,per_system_obs_task2_medians,internal_z_probability,Human,Global Workspace Theory > Representationality > Propositional Representations,Propositional Representations,feature,Representationality,2,1,1,1,1,0.8165595731648473,0.7194870924779743,0.47657047011926423,0.5934370866885105,-0.11686661656924624,-0.24522420900312972,0.07868749128646056,-0.3292166923875913,0.3292166923875913
exact_latent_tree,per_system_obs_exact_tree,three_state_binomial_2,current_gwt_rater_design,per_system_obs_task2_medians,internal_z_probability,Human,Global Workspace Theory > Representationality > World Modelling,World Modelling,feature,Representationality,2,2,2,2,1,0.7456809635581148,0.3194825825182594,0.5670305359962824,0.6264788275215047,-0.05944829152522235,-0.10484142872618082,0.46310395549601757,-1.1410525214603635,1.1410525214603635
exact_latent_tree,per_system_obs_exact_tree,three_state_binomial_2,current_gwt_rater_design,per_system_obs_task2_medians,internal_z_probability,Human,Global Workspace Theory > Representationality > Isomorphic Representations,Isomorphic Representations,feature,Representationality,2,2,2,2,1,0.7162153362665447,0.7373692922857854,0.5964923590428877,0.5757906088013045,0.02070175024158316,0.03470580960131747,0.06897488863446921,-0.3046664372743311,0.3046664372743311
exact_latent_tree,per_system_obs_exact_tree,three_state_binomial_2,current_gwt_rater_design,per_system_obs_task2_medians,internal_z_probability,Human,Global Workspace Theory > Hierarchical Organization,Hierarchical Organization,feature,Hierarchical Organization,1,1,1,1,1,0.8263271266737368,0.7186518292861667,0.46166248881619654,0.5942221094890611,-0.13255962067286453,-0.28713535079008984,0.0791567931640203,-0.3303782815401895,0.3303782815401895
exact_latent_tree,per_system_obs_exact_tree,three_state_binomial_2,current_gwt_rater_design,per_system_obs_task2_medians,internal_z_probability,Human,Global Workspace Theory > Coherence,Coherence,feature,Coherence,1,4,13,13,1,0.7972391007321977,0.7220347258181897,0.5042061037076643,0.5910213136308318,-0.08681520992316749,-0.17218198923966704,0.07726469365096895,-0.32568204454482624,0.32568204454482624
exact_latent_tree,per_system_obs_exact_tree,three_state_binomial_2,current_gwt_rater_design,per_system_obs_task2_medians,internal_z_probability,Human,Global Workspace Theory > Coherence > Autonomous Subparts,Autonomous Subparts,feature,Coherence,2,5,5,5,0,0.46309688116658304,0.5166487679593853,0.6904210219852163,0.69259271512593,-0.0021716931407137485,-0.003145462075400494,0.26692594943395076,-0.7270117011131187,0.7270117011131187
exact_latent_tree,per_system_obs_exact_tree,three_state_binomial_2,current_gwt_rater_design,per_system_obs_task2_medians,internal_z_probability,Human,Global Workspace Theory > Coherence > Point of View,Point of View,feature,Coherence,2,2,2,2,1,0.7035965231190177,0.7510112289126541,0.6077861072562275,0.561221466761356,0.04656464049487152,0.0766135321932277,0.061995408127586714,-0.28633467538217283,0.28633467538217283
exact_latent_tree,per_system_obs_exact_tree,three_state_binomial_2,current_gwt_rater_design,per_system_obs_task2_medians,internal_z_probability,Human,Global Workspace Theory > Coherence > Common Representational Scheme,Common Representational Scheme,feature,Coherence,2,3,3,3,1,0.6568612638872846,0.7603579495573828,0.6430954647884466,0.5506669756192548,0.09242848916919177,0.14372436788929488,0.057428312340341896,-0.27396597032126085,0.27396597032126085
exact_latent_tree,per_system_obs_exact_tree,three_state_binomial_2,current_gwt_rater_design,per_system_obs_task2_medians,internal_z_probability,Human,Global Workspace Theory > Coherence > Social Coherence,Social Coherence,feature,Coherence,2,3,3,3,0,0.719349318487208,0.7681342890419122,0.5935668115866956,0.5415208920705892,0.052045919516106376,0.08768333825299231,0.5900302860019239,-1.4615969069809949,1.4615969069809949
