kind,support,demandingness,prior_mu,prior_sigma_logit,prior_sd_natural_approx,post_mean,post_sd,post_p03,post_p97,contraction,fraction_back_to_baseline
abs,moderate support,moderately demanding,0.1,0.3,0.02731570469460425,0.10851284740230946,0.029291145578171994,0.06352895514321291,0.171287480772935,1.0723188695167714,0.021282118505773634
abs,moderate support,moderately undemanding,0.1,0.3,0.02731570469460425,0.10050608756619729,0.027003258794875036,0.05792615821488845,0.15845319238125857,0.9885616752991574,0.0012652189154932145
abs,moderate support,neutral,0.1,0.3,0.02731570469460425,0.10452551693808208,0.027313127537163476,0.06118666925453576,0.16286356676268976,0.999905652902988,0.011313792345205194
abs,moderate support,strongly demanding,0.1,0.3,0.02731570469460425,0.1027005863263241,0.027325425368654125,0.05960441270573479,0.16054952936216443,1.0003558639309713,0.006751465815810244
abs,moderate support,weakly demanding,0.1,0.3,0.02731570469460425,0.0951318267297837,0.024904759859326976,0.05513682374046217,0.14918621727682319,0.9117377764098645,-0.012170433175540778
abs,moderate support,weakly undemanding,0.1,0.3,0.02731570469460425,0.09560144683845267,0.025206436197314903,0.05572847017485495,0.14986704429665876,0.9227818384745535,-0.010996382903868326
abs,strong support,moderately demanding,0.1,0.3,0.02731570469460425,0.09679182294192062,0.025876296549150305,0.05640529604408643,0.1530015180001405,0.9473047405678582,-0.008020442645198453
abs,strong support,moderately undemanding,0.1,0.3,0.02731570469460425,0.101591651063553,0.026996059359262064,0.05948385640847103,0.15962428109807508,0.9882981113276815,0.003979127658882489
abs,strong support,neutral,0.1,0.3,0.02731570469460425,0.10012698629255451,0.02680503424107578,0.058760978963929934,0.15686862680040806,0.9813048772038693,0.00031746573138626
abs,strong support,strongly demanding,0.1,0.3,0.02731570469460425,0.10002842534753414,0.027161175030991976,0.05734296419684898,0.15886415028737796,0.9943428271267408,7.106336883534736e-05
abs,strong support,weakly demanding,0.1,0.3,0.02731570469460425,0.09829593006088183,0.02614591996935045,0.05664174277363727,0.15454934688335337,0.9571753781082254,-0.0042601748477954365
abs,strong support,weakly undemanding,0.1,0.3,0.02731570469460425,0.09923821030950356,0.026409230271363052,0.05771075027133473,0.15621061110247805,0.9668148988511999,-0.0019044742262411263
abs,weak support,moderately demanding,0.1,0.3,0.02731570469460425,0.1006388580995116,0.026671504450278553,0.05891612350502573,0.1589903381373916,0.9764164881877293,0.0015971452487789986
abs,weak support,moderately undemanding,0.1,0.3,0.02731570469460425,0.10002536806382747,0.026379654613942528,0.058200624871403046,0.15638315631329402,0.9657321642942412,6.342015956867231e-05
abs,weak support,neutral,0.1,0.3,0.02731570469460425,0.10074744800509748,0.027547928068439736,0.0575518643784401,0.16018428290607256,1.0085014601099183,0.0018686200127436894
abs,weak support,strongly undemanding,0.1,0.3,0.02731570469460425,0.10253549835899807,0.027750680936866796,0.05887833300071391,0.1623605285979829,1.0159240351704515,0.006338745897495161
