index,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
a,0.004,0.003,3971.0,5093.0,1.0
kappa[0],0.002,0.002,5698.0,5254.0,1.0
kappa[1],0.002,0.002,6215.0,5359.0,1.0
kappa[2],0.002,0.002,5690.0,6323.0,1.0
kappa[3],0.003,0.002,5365.0,5317.0,1.0
kappa[4],0.003,0.002,4826.0,5499.0,1.0
kappa[5],0.004,0.003,3889.0,5166.0,1.0
chicken__global_workspace_theory_C,0.002,0.002,9758.0,5088.0,1.0
2024_leading_chat_llms__global_workspace_theory_C,0.002,0.002,7991.0,4535.0,1.0
beta_pres__moderate_support__moderately_demanding,0.0,0.0,8401.0,5861.0,1.0
beta_pres__moderate_support__moderately_undemanding,0.0,0.0,8838.0,5868.0,1.0
beta_pres__moderate_support__neutral,0.0,0.0,7894.0,6043.0,1.0
beta_pres__moderate_support__strongly_demanding,0.0,0.0,10718.0,6574.0,1.0
beta_pres__moderate_support__weakly_demanding,0.0,0.0,9842.0,6147.0,1.0
beta_pres__moderate_support__weakly_undemanding,0.0,0.0,7639.0,5925.0,1.0
beta_pres__strong_support__moderately_demanding,0.0,0.0,9910.0,5584.0,1.0
beta_pres__strong_support__moderately_undemanding,0.0,0.0,9251.0,6359.0,1.0
beta_pres__strong_support__neutral,0.0,0.0,9722.0,6575.0,1.0
beta_pres__strong_support__strongly_demanding,0.0,0.0,10354.0,6405.0,1.0
beta_pres__strong_support__weakly_demanding,0.0,0.0,7386.0,5725.0,1.0
beta_pres__strong_support__weakly_undemanding,0.0,0.0,9364.0,6813.0,1.0
beta_pres__weak_support__moderately_demanding,0.0,0.0,9000.0,6125.0,1.0
beta_pres__weak_support__moderately_undemanding,0.0,0.0,9055.0,5804.0,1.0
beta_pres__weak_support__neutral,0.0,0.0,8398.0,6196.0,1.0
beta_pres__weak_support__strongly_undemanding,0.0,0.0,11601.0,6073.0,1.0
beta_pres__weak_support__weakly_undemanding,0.0,0.0,8752.0,6097.0,1.0
beta_pres__weak_undermining__neutral,0.0,0.0,9917.0,6227.0,1.0
beta_abs__moderate_support__moderately_demanding,0.0,0.0,9595.0,5125.0,1.0
beta_abs__moderate_support__moderately_undemanding,0.0,0.0,8687.0,6469.0,1.0
beta_abs__moderate_support__neutral,0.0,0.0,8514.0,6180.0,1.0
beta_abs__moderate_support__strongly_demanding,0.0,0.0,8835.0,5420.0,1.0
beta_abs__moderate_support__weakly_demanding,0.0,0.0,9070.0,5990.0,1.0
beta_abs__moderate_support__weakly_undemanding,0.0,0.0,10009.0,5973.0,1.0
beta_abs__strong_support__moderately_demanding,0.0,0.0,10612.0,6193.0,1.0
beta_abs__strong_support__moderately_undemanding,0.0,0.0,10465.0,6463.0,1.0
beta_abs__strong_support__neutral,0.0,0.0,10191.0,6126.0,1.0
beta_abs__strong_support__strongly_demanding,0.0,0.0,8518.0,5624.0,1.0
beta_abs__strong_support__weakly_demanding,0.0,0.0,9902.0,6299.0,1.0
beta_abs__strong_support__weakly_undemanding,0.0,0.0,9347.0,6086.0,1.0
beta_abs__weak_support__moderately_demanding,0.0,0.0,8425.0,6401.0,1.0
beta_abs__weak_support__moderately_undemanding,0.0,0.0,9617.0,5693.0,1.0
beta_abs__weak_support__neutral,0.0,0.0,9755.0,5819.0,1.0
beta_abs__weak_support__strongly_undemanding,0.0,0.0,7791.0,6447.0,1.0
beta_abs__weak_support__weakly_undemanding,0.0,0.0,10013.0,5785.0,1.0
beta_abs__weak_undermining__neutral,0.0,0.0,9710.0,6234.0,1.0
label_delta__moderate_support__moderately_demanding,0.0,0.001,9300.0,5981.0,1.0
label_delta__moderate_support__moderately_undemanding,0.0,0.0,8291.0,6279.0,1.0
label_delta__moderate_support__neutral,0.0,0.0,7802.0,5978.0,1.0
label_delta__moderate_support__strongly_demanding,0.0,0.0,9289.0,5674.0,1.0
label_delta__moderate_support__weakly_demanding,0.0,0.0,9717.0,5520.0,1.0
label_delta__moderate_support__weakly_undemanding,0.0,0.0,8884.0,6327.0,1.0
label_delta__strong_support__moderately_demanding,0.0,0.0,9571.0,6349.0,1.0
label_delta__strong_support__moderately_undemanding,0.0,0.0,10256.0,6309.0,1.0
label_delta__strong_support__neutral,0.0,0.0,9514.0,5947.0,1.0
label_delta__strong_support__strongly_demanding,0.0,0.0,9047.0,6069.0,1.0
label_delta__strong_support__weakly_demanding,0.0,0.0,8685.0,6259.0,1.0
label_delta__strong_support__weakly_undemanding,0.0,0.0,9682.0,6507.0,1.0
label_delta__weak_support__moderately_demanding,0.0,0.0,8572.0,5858.0,1.0
label_delta__weak_support__moderately_undemanding,0.0,0.0,9358.0,5813.0,1.0
label_delta__weak_support__neutral,0.0,0.0,8813.0,5561.0,1.0
label_delta__weak_support__strongly_undemanding,0.0,0.0,9253.0,5962.0,1.0
label_delta__weak_support__weakly_undemanding,0.0,0.0,8922.0,6292.0,1.0
label_delta__weak_undermining__neutral,0.0,0.0,9627.0,6294.0,1.0
