system,node_key,indicator,top_feature,depth,n_ratings,chi2,kl,cov94,obs_p0,obs_p1,obs_p2,obs_p3,obs_p4,obs_p5,obs_p6,pred_p0,pred_p1,pred_p2,pred_p3,pred_p4,pred_p5,pred_p6
2024 Leading Chat LLMs,Global Workspace Theory > Coherence > Common Representational Scheme > Authoritative Representational Scheme,Authoritative Representational Scheme,Coherence,3,3,29.298292255409084,2.253415254516949,False,0.0,0.3333333333333333,0.6666666666666666,0.0,0.0,0.0,0.0,0.46609590584908955,0.07489615781844626,0.047879502419457716,0.06903780081477227,0.0865457014376254,0.09025680743686536,0.16528812422374345
2024 Leading Chat LLMs,Global Workspace Theory > Coherence > Autonomous Subparts > Conflicting Subparts,Conflicting Subparts,Coherence,3,4,25.488714964835875,1.9268546710471781,False,0.0,0.25,0.0,0.0,0.75,0.0,0.0,0.4649762271214835,0.0741372024707937,0.047188622686295145,0.06796906514649993,0.0861521394295448,0.0911866110027011,0.16839013214268195
2024 Leading Chat LLMs,Global Workspace Theory > Coherence > Common Representational Scheme > Distinguishes Self-Produced from Other-Produced Behavior,Distinguishes Self-Produced from Other-Produced Behavior,Coherence,3,4,16.844600082804895,1.555748612789906,False,0.0,0.25,0.0,0.5,0.0,0.25,0.0,0.46907797783190075,0.07455910204985569,0.0473344283196612,0.06796763924042212,0.08556440141193639,0.08997105951445042,0.16552539163177332
2024 Leading Chat LLMs,Global Workspace Theory > Coherence > Autonomous Subparts > Functional Subparts,Functional Subparts,Coherence,3,4,15.918990895438247,1.5314074955690153,True,0.0,0.5,0.0,0.25,0.0,0.25,0.0,0.4631201076255784,0.073955690894615,0.04714966772691376,0.06808305390695933,0.08652767887442007,0.09172981154463157,0.1694339894268819
2024 Leading Chat LLMs,Global Workspace Theory > Coherence > Autonomous Subparts > Information Transfer,Information Transfer,Coherence,3,4,10.6840233300488,1.2654177778645046,True,0.0,0.0,0.25,0.25,0.25,0.25,0.0,0.4669122532252671,0.07410170425073263,0.04702217048864554,0.06760833944140002,0.08569482793240482,0.09083362569445469,0.16782707896709517
2024 Leading Chat LLMs,Global Workspace Theory > Coherence > Autonomous Subparts > Information Transfer Architecture,Information Transfer Architecture,Coherence,3,3,29.60253999011905,2.385777910476762,False,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.4601514348694007,0.07428723742417563,0.04768738477466806,0.06914364293211338,0.08750091129299709,0.09201737045362782,0.1692120182530174
2024 Leading Chat LLMs,Global Workspace Theory > Coherence > Autonomous Subparts > Learning Transfer,Learning Transfer,Coherence,3,3,14.77579368318446,1.601021613014283,False,0.0,0.0,0.0,0.0,0.6666666666666666,0.0,0.3333333333333333,0.46899763564790115,0.07285487961158489,0.04568029772857657,0.06535913516428396,0.0842265496033774,0.09154351865050481,0.1713379835937712
2024 Leading Chat LLMs,Global Workspace Theory > Coherence > Social Coherence > Persistence Seeking,Persistence Seeking,Coherence,3,4,32.22809981374024,2.1871030454378673,False,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.46560087963968083,0.07375790594954644,0.046791073511182245,0.06731059530274457,0.08574408400487392,0.09141299438266484,0.16938246720930708
2024 Leading Chat LLMs,Global Workspace Theory > Coherence > Point of View > Perspective-relative Representations,Perspective-relative Representations,Coherence,3,3,5.909212706400354,0.8231878050050221,True,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,0.0,0.46833875936706193,0.07339462515398561,0.046237355584778705,0.066293056973162,0.0848133332914338,0.09117885078524829,0.16974401884432969
2024 Leading Chat LLMs,Global Workspace Theory > Coherence > Point of View > Stable Personality,Stable Personality,Coherence,3,4,8.486329734168232,1.131540300768802,True,0.0,0.0,0.0,0.25,0.25,0.0,0.5,0.46404611807867924,0.07284969860131403,0.04598051377149949,0.06617693213242264,0.08537947478332135,0.0925710715575595,0.17299619107520375
2024 Leading Chat LLMs,Global Workspace Theory > Coherence > Social Coherence > Stable Personality,Stable Personality,Coherence,3,4,8.403410624784243,1.127257914984655,True,0.0,0.0,0.0,0.25,0.25,0.0,0.5,0.4608636624404046,0.0743493627885689,0.04770155795302181,0.0691226607190834,0.08739430084246824,0.0918220814535829,0.16874637380287014
2024 Leading Chat LLMs,Global Workspace Theory > Coherence > Social Coherence > Stable Social Interactions,Stable Social Interactions,Coherence,3,4,4.340950858307431,0.5166499329157174,True,0.25,0.25,0.0,0.0,0.25,0.0,0.25,0.4693045392193373,0.07404615096465722,0.04682598741457783,0.06712567871396508,0.08513148511012567,0.09038022976735008,0.16718592880998667
