index,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
a,0.008,0.005,2039.0,2226.0,1.0
kappa[0],0.004,0.003,2462.0,2824.0,1.0
kappa[1],0.005,0.003,2256.0,2509.0,1.0
kappa[2],0.005,0.003,2191.0,2281.0,1.0
kappa[3],0.006,0.004,2017.0,2226.0,1.0
kappa[4],0.007,0.004,1881.0,2350.0,1.0
kappa[5],0.007,0.005,1873.0,2486.0,1.0
chicken__global_workspace_theory_C,0.002,0.002,4895.0,1719.0,1.0
2024_leading_chat_llms__global_workspace_theory_C,0.002,0.002,3831.0,1838.0,1.0
beta_pres__moderate_support__moderately_demanding,0.001,0.001,6319.0,2919.0,1.0
beta_pres__moderate_support__moderately_undemanding,0.001,0.001,6419.0,3189.0,1.0
beta_pres__moderate_support__neutral,0.001,0.001,6505.0,3118.0,1.0
beta_pres__moderate_support__strongly_demanding,0.001,0.001,5110.0,3142.0,1.0
beta_pres__moderate_support__weakly_demanding,0.001,0.001,6477.0,2465.0,1.0
beta_pres__moderate_support__weakly_undemanding,0.001,0.001,6721.0,3013.0,1.0
beta_pres__strong_support__moderately_demanding,0.001,0.001,7183.0,2629.0,1.0
beta_pres__strong_support__moderately_undemanding,0.001,0.001,5920.0,2885.0,1.0
beta_pres__strong_support__neutral,0.001,0.001,6934.0,2661.0,1.0
beta_pres__strong_support__strongly_demanding,0.001,0.001,5735.0,2914.0,1.0
beta_pres__strong_support__weakly_demanding,0.001,0.001,4342.0,3154.0,1.0
beta_pres__strong_support__weakly_undemanding,0.001,0.001,6484.0,3505.0,1.0
beta_pres__weak_support__moderately_demanding,0.001,0.001,5543.0,2961.0,1.0
beta_pres__weak_support__moderately_undemanding,0.001,0.001,5958.0,2768.0,1.0
beta_pres__weak_support__neutral,0.001,0.001,5462.0,3055.0,1.0
beta_pres__weak_support__strongly_undemanding,0.001,0.001,5141.0,3107.0,1.0
beta_pres__weak_support__weakly_undemanding,0.001,0.001,5177.0,2994.0,1.0
beta_pres__weak_undermining__neutral,0.001,0.001,8421.0,3004.0,1.0
beta_abs__moderate_support__moderately_demanding,0.001,0.001,4936.0,2829.0,1.0
beta_abs__moderate_support__moderately_undemanding,0.001,0.001,5421.0,3110.0,1.0
beta_abs__moderate_support__neutral,0.001,0.001,6261.0,3029.0,1.0
beta_abs__moderate_support__strongly_demanding,0.001,0.001,6126.0,3438.0,1.0
beta_abs__moderate_support__weakly_demanding,0.001,0.001,5891.0,3000.0,1.0
beta_abs__moderate_support__weakly_undemanding,0.001,0.001,4490.0,2994.0,1.0
beta_abs__strong_support__moderately_demanding,0.001,0.001,4823.0,2766.0,1.0
beta_abs__strong_support__moderately_undemanding,0.001,0.001,5239.0,3300.0,1.0
beta_abs__strong_support__neutral,0.001,0.001,5980.0,2948.0,1.0
beta_abs__strong_support__strongly_demanding,0.001,0.001,6118.0,2943.0,1.0
beta_abs__strong_support__weakly_demanding,0.001,0.001,5072.0,2851.0,1.0
beta_abs__strong_support__weakly_undemanding,0.001,0.001,5329.0,2857.0,1.0
beta_abs__weak_support__moderately_demanding,0.001,0.001,5871.0,3050.0,1.0
beta_abs__weak_support__moderately_undemanding,0.001,0.001,5944.0,2952.0,1.0
beta_abs__weak_support__neutral,0.001,0.001,7105.0,2901.0,1.0
beta_abs__weak_support__strongly_undemanding,0.001,0.001,6461.0,3114.0,1.0
beta_abs__weak_support__weakly_undemanding,0.001,0.001,6714.0,3180.0,1.0
beta_abs__weak_undermining__neutral,0.001,0.001,5658.0,3089.0,1.0
label_delta__moderate_support__moderately_demanding,0.001,0.001,6330.0,3180.0,1.0
label_delta__moderate_support__moderately_undemanding,0.001,0.002,5564.0,3476.0,1.0
label_delta__moderate_support__neutral,0.001,0.002,6293.0,2937.0,1.0
label_delta__moderate_support__strongly_demanding,0.001,0.001,5544.0,3129.0,1.0
label_delta__moderate_support__weakly_demanding,0.001,0.002,6332.0,3013.0,1.0
label_delta__moderate_support__weakly_undemanding,0.001,0.002,5101.0,3093.0,1.0
label_delta__strong_support__moderately_demanding,0.001,0.001,6007.0,3191.0,1.0
label_delta__strong_support__moderately_undemanding,0.001,0.002,5278.0,3137.0,1.0
label_delta__strong_support__neutral,0.001,0.002,6679.0,3339.0,1.0
label_delta__strong_support__strongly_demanding,0.001,0.002,5621.0,2923.0,1.0
label_delta__strong_support__weakly_demanding,0.002,0.002,4138.0,2847.0,1.0
label_delta__strong_support__weakly_undemanding,0.001,0.001,5694.0,3248.0,1.0
label_delta__weak_support__moderately_demanding,0.001,0.001,4999.0,3100.0,1.0
label_delta__weak_support__moderately_undemanding,0.001,0.002,5234.0,2851.0,1.0
label_delta__weak_support__neutral,0.001,0.001,5425.0,2858.0,1.0
label_delta__weak_support__strongly_undemanding,0.001,0.002,5400.0,3194.0,1.0
label_delta__weak_support__weakly_undemanding,0.001,0.002,5649.0,3062.0,1.0
label_delta__weak_undermining__neutral,0.001,0.002,7213.0,2972.0,1.0
