prob_bin,n,mean_posterior_p,empirical_z_rate,mean_brier,mean_neg_log_score
"[0.0, 0.1)",25,0.02037585056024368,0.08,0.07279255181738369,0.2663793835245698
"[0.1, 0.2)",7,0.14521424139952438,0.5714285714285714,0.4213046819242627,1.1553972927626879
"[0.2, 0.3)",5,0.23997943518501286,0.4,0.2590894644181158,0.7215510624932943
"[0.3, 0.4)",8,0.35608752323642046,0.75,0.343545050497713,0.8877469695234106
"[0.4, 0.5)",6,0.4364687254079203,0.8333333333333334,0.31460656339065796,0.8236023936255733
"[0.5, 0.6)",3,0.5558290010074148,0.6666666666666666,0.21330521881836326,0.6190287763546501
"[0.6, 0.7)",5,0.662431592294522,1.0,0.11449263965091676,0.4124564068301206
"[0.7, 0.8)",12,0.7498731619942133,0.75,0.18674809241106502,0.5609856164058458
"[0.8, 0.9)",5,0.8587128449457463,0.8,0.17727622891309952,0.5698300690886937
"[0.9, 1.0)",24,0.9701730394015428,0.9583333333333334,0.04121909260891432,0.18567092016144768
