dgp,fit,leaf,nuisance_truth,design,estimand,system,node_key,node_name,node_type,top_feature,depth,fanout,subtree_indicator_count,subtree_rating_count,z_true,prior_p_z1,posterior_p_z1,prior_entropy,posterior_entropy,entropy_reduction,relative_entropy_reduction,brier,log_score,neg_log_score
exact_latent_tree,full_exact_tree,three_state_binomial_2,exact_tree_production_medians,current_gwt_rater_design,internal_z_probability,Human,Global Workspace Theory > Representationality,Representationality,feature,Representationality,1,4,8,8,1,0.9249619188927626,0.9224381854471131,0.2664801241977445,0.2727737107847063,-0.00629358658696183,-0.023617470931121324,0.00601583507673642,-0.08073491295797323,0.08073491295797323
exact_latent_tree,full_exact_tree,three_state_binomial_2,exact_tree_production_medians,current_gwt_rater_design,internal_z_probability,Human,Global Workspace Theory > Representationality > Conceptual Representations,Conceptual Representations,feature,Representationality,2,3,3,3,1,0.81855749032424,0.9986797381009292,0.47357379847331393,0.010072627543610964,0.46350117092970294,0.9787306063467137,1.7430914821379072e-06,-0.001321134212684639,0.001321134212684639
exact_latent_tree,full_exact_tree,three_state_binomial_2,exact_tree_production_medians,current_gwt_rater_design,internal_z_probability,Human,Global Workspace Theory > Representationality > Propositional Representations,Propositional Representations,feature,Representationality,2,1,1,1,1,0.8165595731648473,0.6607180390432064,0.47657047011926423,0.6405580575462384,-0.16398758742697417,-0.34409934670508524,0.11511224903068724,-0.41442809739301795,0.41442809739301795
exact_latent_tree,full_exact_tree,three_state_binomial_2,exact_tree_production_medians,current_gwt_rater_design,internal_z_probability,Human,Global Workspace Theory > Representationality > World Modelling,World Modelling,feature,Representationality,2,2,2,2,1,0.7456809635581148,0.07813634285086167,0.5670305359962824,0.27419390974190194,0.29283662625438045,0.5164388999612896,0.849832602372384,-2.549299992973371,2.549299992973371
exact_latent_tree,full_exact_tree,three_state_binomial_2,exact_tree_production_medians,current_gwt_rater_design,internal_z_probability,Human,Global Workspace Theory > Representationality > Isomorphic Representations,Isomorphic Representations,feature,Representationality,2,2,2,2,1,0.7162153362665447,0.9932660334445991,0.5964923590428877,0.040385054381879615,0.5561073046610081,0.9322957724945881,4.534630556925823e-05,-0.006756742011877477,0.006756742011877477
exact_latent_tree,full_exact_tree,three_state_binomial_2,exact_tree_production_medians,current_gwt_rater_design,internal_z_probability,Human,Global Workspace Theory > Hierarchical Organization,Hierarchical Organization,feature,Hierarchical Organization,1,1,1,1,1,0.8263271266737368,0.689218119743121,0.46166248881619654,0.6197248335453802,-0.15806234472918368,-0.3423764082165091,0.0965853770960011,-0.3721974836943923,0.3721974836943923
exact_latent_tree,full_exact_tree,three_state_binomial_2,exact_tree_production_medians,current_gwt_rater_design,internal_z_probability,Human,Global Workspace Theory > Coherence,Coherence,feature,Coherence,1,4,13,13,1,0.7972391007321977,0.9663422763324159,0.5042061037076643,0.14723543645263645,0.3569706672550278,0.7079856126890469,0.0011328423624834528,-0.034237184201822375,0.034237184201822375
exact_latent_tree,full_exact_tree,three_state_binomial_2,exact_tree_production_medians,current_gwt_rater_design,internal_z_probability,Human,Global Workspace Theory > Coherence > Autonomous Subparts,Autonomous Subparts,feature,Coherence,2,5,5,5,0,0.46309688116658304,0.0003916587196263609,0.6904210219852163,0.0034641915524944323,0.6869568304327218,0.9949824940982626,1.5339655265936038e-07,-0.00039173543793489987,0.00039173543793489987
exact_latent_tree,full_exact_tree,three_state_binomial_2,exact_tree_production_medians,current_gwt_rater_design,internal_z_probability,Human,Global Workspace Theory > Coherence > Point of View,Point of View,feature,Coherence,2,2,2,2,1,0.7035965231190177,0.9906372904753125,0.6077861072562275,0.05305215053138704,0.5547339567248405,0.9127124659514115,8.766032964367478e-05,-0.009406815204496237,0.009406815204496237
exact_latent_tree,full_exact_tree,three_state_binomial_2,exact_tree_production_medians,current_gwt_rater_design,internal_z_probability,Human,Global Workspace Theory > Coherence > Common Representational Scheme,Common Representational Scheme,feature,Coherence,2,3,3,3,1,0.6568612638872846,0.9669910607624427,0.6430954647884466,0.1450507770800953,0.4980446877083513,0.7744490747920119,0.0010895900695887513,-0.03356602787101033,0.03356602787101033
exact_latent_tree,full_exact_tree,three_state_binomial_2,exact_tree_production_medians,current_gwt_rater_design,internal_z_probability,Human,Global Workspace Theory > Coherence > Social Coherence,Social Coherence,feature,Coherence,2,3,3,3,0,0.719349318487208,0.9763671914329322,0.5935668115866956,0.1118590159151821,0.48170779567151345,0.8115477251563885,0.953292892506632,-3.7451193388551127,3.7451193388551127
exact_latent_tree,full_exact_tree,three_state_binomial_2,exact_tree_production_medians,current_gwt_rater_design,internal_z_probability,Human,Global Workspace Theory > Modularity,Modularity,feature,Modularity,1,6,6,6,1,0.5597210483405006,0.9999484086083983,0.6859969149136287,0.0005609083129015518,0.6854360066007271,0.9991823457209393,2.6616716874013028e-09,-5.159272248333159e-05,5.159272248333159e-05
exact_latent_tree,full_exact_tree,three_state_binomial_2,exact_tree_production_medians,current_gwt_rater_design,internal_z_probability,Human,Global Workspace Theory > Complexity,Complexity,feature,Complexity,1,3,8,8,1,0.9199980446485339,0.9658520211994375,0.2787741473894699,0.14887768034136054,0.12989646704810934,0.465955929789406,0.0011660844561636678,-0.03474464366811447,0.03474464366811447
exact_latent_tree,full_exact_tree,three_state_binomial_2,exact_tree_production_medians,current_gwt_rater_design,internal_z_probability,Human,Global Workspace Theory > Complexity > Functional Diversity,Functional Diversity,feature,Complexity,2,2,2,2,1,0.7139085742061968,0.9403503102547828,0.5986148101617902,0.2260025415569875,0.3726122686048027,0.6224574839772092,0.003558085486700673,-0.061502802658673014,0.061502802658673014
exact_latent_tree,full_exact_tree,three_state_binomial_2,exact_tree_production_medians,current_gwt_rater_design,internal_z_probability,Human,Global Workspace Theory > Complexity > Informational Complexity,Informational Complexity,feature,Complexity,2,4,2,2,1,0.8133359436146962,0.9490376942235265,0.4813494939361266,0.20133900495304646,0.2800104889830801,0.5817197119983605,0.002597156610054788,-0.052306761220533605,0.052306761220533605
exact_latent_tree,full_exact_tree,three_state_binomial_2,exact_tree_production_medians,current_gwt_rater_design,internal_z_probability,Human,Global Workspace Theory > Complexity > Informational Complexity > Efficient Problem-Solving,Efficient Problem-Solving,feature,Complexity,3,0,0,0,1,0.7112437649864327,0.7479710708743555,0.6010342755200734,0.5645531933178549,0.03648108220221846,0.060697174334444534,0.06351858111621911,-0.29039097705723227,0.29039097705723227
exact_latent_tree,full_exact_tree,three_state_binomial_2,exact_tree_production_medians,current_gwt_rater_design,internal_z_probability,Human,Global Workspace Theory > Complexity > Informational Complexity > Efficient Network Topology,Efficient Network Topology,feature,Complexity,3,0,0,0,1,0.7257576726295476,0.8157549676427042,0.5874328485943858,0.4777697565076764,0.10966309208670943,0.1866819200681613,0.03394623194834099,-0.20364125386411178,0.20364125386411178
exact_latent_tree,full_exact_tree,three_state_binomial_2,exact_tree_production_medians,current_gwt_rater_design,internal_z_probability,Human,Global Workspace Theory > Complexity > Structural Complexity,Structural Complexity,feature,Complexity,2,4,4,4,1,0.7422242544515112,0.7329153316468091,0.5707175361844001,0.5803375757125685,-0.009620039528168367,-0.01685604334586297,0.07133422006933397,-0.3107250931167143,0.3107250931167143
exact_latent_tree,full_exact_tree,three_state_binomial_2,exact_tree_production_medians,current_gwt_rater_design,internal_z_probability,Human,Global Workspace Theory > Selective Attention,Selective Attention,feature,Selective Attention,1,5,12,12,1,0.8646412396920092,0.967841736022665,0.3964479907406842,0.14216626637385993,0.2542817243668243,0.6413999573859599,0.0010341539420359626,-0.03268670091681692,0.03268670091681692
exact_latent_tree,full_exact_tree,three_state_binomial_2,exact_tree_production_medians,current_gwt_rater_design,internal_z_probability,Human,Global Workspace Theory > Selective Attention > Non-Linear Capabilities,Non-Linear Capabilities,feature,Selective Attention,2,2,2,2,1,0.7954011205687049,0.99488668449835,0.506712106645426,0.032077598537432785,0.4746345081079932,0.9366946277447457,2.614599541941369e-05,-0.005126433235206253,0.005126433235206253
exact_latent_tree,full_exact_tree,three_state_binomial_2,exact_tree_production_medians,current_gwt_rater_design,internal_z_probability,Human,Global Workspace Theory > Selective Attention > Adaptive Focus,Adaptive Focus,feature,Selective Attention,2,3,3,3,1,0.7773862350846548,0.9805088430391168,0.5301962659386177,0.09605212689564298,0.4341441390429747,0.8188366590519082,0.00037990519967378623,-0.01968361447858693,0.01968361447858693
exact_latent_tree,full_exact_tree,three_state_binomial_2,exact_tree_production_medians,current_gwt_rater_design,internal_z_probability,Human,Global Workspace Theory > Selective Attention > Attention-Constrained Architecture,Attention-Constrained Architecture,feature,Selective Attention,2,2,2,2,1,0.6881837127022514,0.9383249910421084,0.6205462078953299,0.23155170966492727,0.3889944982304026,0.6268582311536999,0.003803806729956006,-0.06365891765724697,0.06365891765724697
