dgp,fit,leaf,nuisance_truth,design,estimand,node_key,indicator,top_feature,depth,truth,posterior_mean,posterior_median,posterior_p03,posterior_p97,signed_error,abs_error,squared_error,interval_includes_truth
exact_latent_tree,full_exact_tree,three_state_binomial_2,exact_tree_production_medians,current_gwt_rater_design,delta_j,Global Workspace Theory > Representationality > Conceptual Representations > Activation Steering Effects,Activation Steering Effects,Representationality,3,0.013712555733615172,0.2422232975725324,0.24044266161676656,0.12251147695471494,0.3767027074123984,0.22673010588315137,0.22673010588315137,0.051406540913785034,False
exact_latent_tree,full_exact_tree,three_state_binomial_2,exact_tree_production_medians,current_gwt_rater_design,q_gap_999_001,Global Workspace Theory > Representationality > Conceptual Representations > Activation Steering Effects,Activation Steering Effects,Representationality,3,0.013685130622147941,0.2417388509773873,0.23996177629353302,0.12226645400080552,0.3759493019975736,0.22627664567138508,0.22627664567138508,0.051201120376293555,False
exact_latent_tree,full_exact_tree,three_state_binomial_2,exact_tree_production_medians,current_gwt_rater_design,delta_j,Global Workspace Theory > Representationality > Conceptual Representations > Probe-Detectable Themes,Probe-Detectable Themes,Representationality,3,0.015252512759450746,0.2640214348660727,0.2610813016606268,0.1355748929602729,0.4012954426603423,0.24582878890117607,0.24582878890117607,0.06043179345261899,False
exact_latent_tree,full_exact_tree,three_state_binomial_2,exact_tree_production_medians,current_gwt_rater_design,q_gap_999_001,Global Workspace Theory > Representationality > Conceptual Representations > Probe-Detectable Themes,Probe-Detectable Themes,Representationality,3,0.015222007733931845,0.26349339199634053,0.26055913905730554,0.13530374317435234,0.4004928517750216,0.2453371313233737,0.2453371313233737,0.06019030800598232,False
exact_latent_tree,full_exact_tree,three_state_binomial_2,exact_tree_production_medians,current_gwt_rater_design,delta_j,Global Workspace Theory > Representationality > Conceptual Representations > Concept-Specific Ablation Effects,Concept-Specific Ablation Effects,Representationality,3,0.020548420270120653,0.23605435792437596,0.23429263818407733,0.11785067453293029,0.36645093835778797,0.21374421791395667,0.21374421791395667,0.045686590691648994,False
exact_latent_tree,full_exact_tree,three_state_binomial_2,exact_tree_production_medians,current_gwt_rater_design,q_gap_999_001,Global Workspace Theory > Representationality > Conceptual Representations > Concept-Specific Ablation Effects,Concept-Specific Ablation Effects,Representationality,3,0.02050732342958041,0.2355822492085272,0.2338240529077092,0.11761497318386442,0.3657180364810724,0.21331672947812877,0.21331672947812877,0.045504027075245174,False
exact_latent_tree,full_exact_tree,three_state_binomial_2,exact_tree_production_medians,current_gwt_rater_design,delta_j,Global Workspace Theory > Representationality > Propositional Representations > Logical Inference,Logical Inference,Representationality,3,0.023558048584510317,0.25899892633069393,0.2556453560598353,0.11676229123332203,0.41604101213663053,0.23208730747532497,0.23208730747532497,0.05386451829114603,False
exact_latent_tree,full_exact_tree,three_state_binomial_2,exact_tree_production_medians,current_gwt_rater_design,q_gap_999_001,Global Workspace Theory > Representationality > Propositional Representations > Logical Inference,Logical Inference,Representationality,3,0.023510932487341298,0.2584809284780326,0.25513406534771566,0.11652876665085539,0.41520893011235727,0.23162313286037436,0.23162313286037436,0.05364927567605463,False
exact_latent_tree,full_exact_tree,three_state_binomial_2,exact_tree_production_medians,current_gwt_rater_design,delta_j,Global Workspace Theory > Representationality > World Modelling > Model Isomorphism,Model Isomorphism,Representationality,3,0.020548420270120653,0.23605435792437593,0.23429263818407733,0.11785067453293029,0.366450938357788,0.21374421791395667,0.21374421791395667,0.045686590691648994,False
exact_latent_tree,full_exact_tree,three_state_binomial_2,exact_tree_production_medians,current_gwt_rater_design,q_gap_999_001,Global Workspace Theory > Representationality > World Modelling > Model Isomorphism,Model Isomorphism,Representationality,3,0.02050732342958041,0.23558224920852716,0.2338240529077092,0.11761497318386442,0.36571803648107243,0.21331672947812877,0.21331672947812877,0.045504027075245174,False
exact_latent_tree,full_exact_tree,three_state_binomial_2,exact_tree_production_medians,current_gwt_rater_design,delta_j,Global Workspace Theory > Representationality > World Modelling > Broad Predictive Training,Broad Predictive Training,Representationality,3,0.007649456135365859,0.2707302438780987,0.2676335507188544,0.13864441077278045,0.4170434008992761,0.25998409458348853,0.25998409458348853,0.06759172943639631,False
exact_latent_tree,full_exact_tree,three_state_binomial_2,exact_tree_production_medians,current_gwt_rater_design,q_gap_999_001,Global Workspace Theory > Representationality > World Modelling > Broad Predictive Training,Broad Predictive Training,Representationality,3,0.007634157223095127,0.27018878339034247,0.2670982836174167,0.1383671219512349,0.4162093140974776,0.2594641263943216,0.2594641263943216,0.06732163288556849,False
exact_latent_tree,full_exact_tree,three_state_binomial_2,exact_tree_production_medians,current_gwt_rater_design,delta_j,Global Workspace Theory > Representationality > Isomorphic Representations > Somatotopic Neural Maps,Somatotopic Neural Maps,Representationality,3,0.012133260097140787,0.2568085227880639,0.2553169267885429,0.1368990987846653,0.3863493003640608,0.24318366669140212,0.24318366669140212,0.05913829574547496,False
exact_latent_tree,full_exact_tree,three_state_binomial_2,exact_tree_production_medians,current_gwt_rater_design,q_gap_999_001,Global Workspace Theory > Representationality > Isomorphic Representations > Somatotopic Neural Maps,Somatotopic Neural Maps,Representationality,3,0.012108993576946505,0.25629490574248776,0.2548062929349658,0.136625300587096,0.3855766017633327,0.2426972993580193,0.2426972993580193,0.058901979115676045,False
exact_latent_tree,full_exact_tree,three_state_binomial_2,exact_tree_production_medians,current_gwt_rater_design,delta_j,Global Workspace Theory > Representationality > Isomorphic Representations > Has Retinotopic Neural Maps,Has Retinotopic Neural Maps,Representationality,3,0.013592120667725888,0.2937343209958907,0.2910010727068294,0.16626509848584384,0.42772085763154166,0.27740895203910354,0.27740895203910354,0.07695572667143365,False
