dgp,fit,leaf,nuisance_truth,design,estimand,parameter,kind,support,demandingness,truth,posterior_mean,posterior_median,posterior_p03,posterior_p97,signed_error,abs_error,squared_error,interval_includes_truth
exact_latent_tree,full_exact_tree,three_state_binomial_2,exact_tree_production_medians,current_gwt_rater_design,label_beta,beta_abs__moderate_support__moderately_demanding,beta_abs,moderate support,moderately demanding,0.32484646175833376,0.05976425592587339,0.05762205520459685,0.033936887320725244,0.09613493872091833,-0.2672244065537369,0.2672244065537369,0.07140888345799687,False
exact_latent_tree,full_exact_tree,three_state_binomial_2,exact_tree_production_medians,current_gwt_rater_design,label_beta,beta_abs__moderate_support__moderately_undemanding,beta_abs,moderate support,moderately undemanding,0.6389513159466798,0.055585355737910555,0.053248962227497684,0.031208892439502346,0.09190234625935367,-0.5857023537191821,0.5857023537191821,0.3430472471521899,False
exact_latent_tree,full_exact_tree,three_state_binomial_2,exact_tree_production_medians,current_gwt_rater_design,label_beta,beta_abs__moderate_support__neutral,beta_abs,moderate support,neutral,0.4019584778791272,0.05811154094416066,0.05613508613251829,0.03255846847763787,0.09451728334949915,-0.3458233917466089,0.3458233917466089,0.11959381827912854,False
exact_latent_tree,full_exact_tree,three_state_binomial_2,exact_tree_production_medians,current_gwt_rater_design,label_beta,beta_abs__moderate_support__strongly_demanding,beta_abs,moderate support,strongly demanding,0.12155430769091663,0.05084423160419131,0.04913354919194754,0.028000304427098832,0.08235086394387621,-0.07242075849896909,0.07242075849896909,0.005244766261566004,False
exact_latent_tree,full_exact_tree,three_state_binomial_2,exact_tree_production_medians,current_gwt_rater_design,label_beta,beta_abs__moderate_support__weakly_demanding,beta_abs,moderate support,weakly demanding,0.2863762716993723,0.05403864360736008,0.05213566794191414,0.0303369889531541,0.08779534949193575,-0.23424060375745814,0.23424060375745814,0.05486866044865851,False
exact_latent_tree,full_exact_tree,three_state_binomial_2,exact_tree_production_medians,current_gwt_rater_design,label_beta,beta_abs__moderate_support__weakly_undemanding,beta_abs,moderate support,weakly undemanding,0.3912527556246291,0.055902469196195195,0.053328385494513394,0.030258919555468725,0.09358209321636457,-0.33792437013011567,0.33792437013011567,0.11419287992783542,False
exact_latent_tree,full_exact_tree,three_state_binomial_2,exact_tree_production_medians,current_gwt_rater_design,label_beta,beta_abs__strong_support__moderately_demanding,beta_abs,strong support,moderately demanding,0.21587260411564355,0.06551545518027659,0.06343188285893339,0.03833130694601503,0.1050422958180884,-0.15244072125671015,0.15244072125671015,0.023238173497266004,False
exact_latent_tree,full_exact_tree,three_state_binomial_2,exact_tree_production_medians,current_gwt_rater_design,label_beta,beta_abs__strong_support__moderately_undemanding,beta_abs,strong support,moderately undemanding,0.5886514926336597,0.051313630869045765,0.04953034389832922,0.02883401379749028,0.08272416096765171,-0.5391211487353305,0.5391211487353305,0.2906516130137023,False
exact_latent_tree,full_exact_tree,three_state_binomial_2,exact_tree_production_medians,current_gwt_rater_design,label_beta,beta_abs__strong_support__neutral,beta_abs,strong support,neutral,0.3996914320701517,0.05369284682011872,0.05158569478996994,0.03056383151468597,0.08632571969191742,-0.34810573728018174,0.34810573728018174,0.12117760432737891,False
exact_latent_tree,full_exact_tree,three_state_binomial_2,exact_tree_production_medians,current_gwt_rater_design,label_beta,beta_abs__strong_support__strongly_demanding,beta_abs,strong support,strongly demanding,0.10156225083779936,0.06091142261705755,0.05892887645815992,0.03401788445153038,0.09785880418272376,-0.04263337437963945,0.04263337437963945,0.0018176046109944972,False
exact_latent_tree,full_exact_tree,three_state_binomial_2,exact_tree_production_medians,current_gwt_rater_design,label_beta,beta_abs__strong_support__weakly_demanding,beta_abs,strong support,weakly demanding,0.32993929915827946,0.054744844923229105,0.052625119982657266,0.030369486690759784,0.09020345929388804,-0.2773141791756222,0.2773141791756222,0.07690315397184908,False
exact_latent_tree,full_exact_tree,three_state_binomial_2,exact_tree_production_medians,current_gwt_rater_design,label_beta,beta_abs__strong_support__weakly_undemanding,beta_abs,strong support,weakly undemanding,0.3969036303573165,0.05129297644873095,0.049737424691576326,0.02915380142945116,0.08229969991959481,-0.3471662056657402,0.3471662056657402,0.12052437435634701,False
