dgp,fit,leaf,nuisance_truth,design,estimand,system,top_feature,category,rating_count,observed_count,observed_proportion,pred_count_mean,pred_count_p03,pred_count_p97,pred_prop_mean,pred_prop_p03,pred_prop_p97,prop_error,interval_includes_observed_prop
exact_latent_tree,full_exact_tree,three_state_binomial_2,exact_tree_production_medians,current_gwt_rater_design,observed_scale_feature_block,2024 Leading Chat LLMs,Coherence,0,48,14.0,0.2916666666666667,14.185,7.0,22.0,0.29552083333333334,0.14583333333333334,0.4583333333333333,0.0038541666666666585,True
exact_latent_tree,full_exact_tree,three_state_binomial_2,exact_tree_production_medians,current_gwt_rater_design,observed_scale_feature_block,2024 Leading Chat LLMs,Coherence,1,48,5.0,0.10416666666666667,3.90525,1.0,8.0,0.081359375,0.020833333333333332,0.16666666666666666,-0.022807291666666674,True
exact_latent_tree,full_exact_tree,three_state_binomial_2,exact_tree_production_medians,current_gwt_rater_design,observed_scale_feature_block,2024 Leading Chat LLMs,Coherence,2,48,3.0,0.0625,4.38025,1.0,9.0,0.09125520833333332,0.020833333333333332,0.1875,0.028755208333333324,True
exact_latent_tree,full_exact_tree,three_state_binomial_2,exact_tree_production_medians,current_gwt_rater_design,observed_scale_feature_block,2024 Leading Chat LLMs,Coherence,3,48,9.0,0.1875,6.72625,2.0,12.0,0.1401302083333333,0.041666666666666664,0.25,-0.04736979166666669,True
exact_latent_tree,full_exact_tree,three_state_binomial_2,exact_tree_production_medians,current_gwt_rater_design,observed_scale_feature_block,2024 Leading Chat LLMs,Coherence,4,48,8.0,0.16666666666666666,5.75725,2.0,11.0,0.11994270833333333,0.041666666666666664,0.22916666666666666,-0.04672395833333333,True
exact_latent_tree,full_exact_tree,three_state_binomial_2,exact_tree_production_medians,current_gwt_rater_design,observed_scale_feature_block,2024 Leading Chat LLMs,Coherence,5,48,5.0,0.10416666666666667,5.68725,2.0,11.0,0.118484375,0.041666666666666664,0.22916666666666666,0.014317708333333332,True
exact_latent_tree,full_exact_tree,three_state_binomial_2,exact_tree_production_medians,current_gwt_rater_design,observed_scale_feature_block,2024 Leading Chat LLMs,Coherence,6,48,4.0,0.08333333333333333,7.35875,2.0,15.0,0.15330729166666668,0.041666666666666664,0.3125,0.06997395833333335,True
exact_latent_tree,full_exact_tree,three_state_binomial_2,exact_tree_production_medians,current_gwt_rater_design,observed_scale_feature_block,2024 Leading Chat LLMs,Complexity,0,30,6.0,0.2,8.8945,4.0,14.0,0.2964833333333333,0.13333333333333333,0.4666666666666667,0.09648333333333331,True
exact_latent_tree,full_exact_tree,three_state_binomial_2,exact_tree_production_medians,current_gwt_rater_design,observed_scale_feature_block,2024 Leading Chat LLMs,Complexity,1,30,1.0,0.03333333333333333,2.45475,0.0,6.0,0.081825,0.0,0.2,0.04849166666666666,True
exact_latent_tree,full_exact_tree,three_state_binomial_2,exact_tree_production_medians,current_gwt_rater_design,observed_scale_feature_block,2024 Leading Chat LLMs,Complexity,2,30,5.0,0.16666666666666666,2.722,0.0,6.0,0.09073333333333333,0.0,0.2,-0.07593333333333332,True
exact_latent_tree,full_exact_tree,three_state_binomial_2,exact_tree_production_medians,current_gwt_rater_design,observed_scale_feature_block,2024 Leading Chat LLMs,Complexity,3,30,3.0,0.1,4.261,1.0,8.0,0.14203333333333337,0.03333333333333333,0.26666666666666666,0.04203333333333337,True
exact_latent_tree,full_exact_tree,three_state_binomial_2,exact_tree_production_medians,current_gwt_rater_design,observed_scale_feature_block,2024 Leading Chat LLMs,Complexity,4,30,2.0,0.06666666666666667,3.65275,1.0,7.0,0.12175833333333336,0.03333333333333333,0.23333333333333334,0.05509166666666669,True
exact_latent_tree,full_exact_tree,three_state_binomial_2,exact_tree_production_medians,current_gwt_rater_design,observed_scale_feature_block,2024 Leading Chat LLMs,Complexity,5,30,7.0,0.23333333333333334,3.5635,1.0,7.0,0.11878333333333334,0.03333333333333333,0.23333333333333334,-0.11455,True
exact_latent_tree,full_exact_tree,three_state_binomial_2,exact_tree_production_medians,current_gwt_rater_design,observed_scale_feature_block,2024 Leading Chat LLMs,Complexity,6,30,6.0,0.2,4.4515,1.0,10.0,0.14838333333333337,0.03333333333333333,0.3333333333333333,-0.051616666666666644,True
exact_latent_tree,full_exact_tree,three_state_binomial_2,exact_tree_production_medians,current_gwt_rater_design,observed_scale_feature_block,2024 Leading Chat LLMs,Hierarchical Organization,0,3,0.0,0.0,0.938,0.0,3.0,0.3126666666666667,0.0,1.0,0.3126666666666667,True
exact_latent_tree,full_exact_tree,three_state_binomial_2,exact_tree_production_medians,current_gwt_rater_design,observed_scale_feature_block,2024 Leading Chat LLMs,Hierarchical Organization,1,3,0.0,0.0,0.2545,0.0,1.0,0.08483333333333333,0.0,0.3333333333333333,0.08483333333333333,True
exact_latent_tree,full_exact_tree,three_state_binomial_2,exact_tree_production_medians,current_gwt_rater_design,observed_scale_feature_block,2024 Leading Chat LLMs,Hierarchical Organization,2,3,0.0,0.0,0.2775,0.0,1.0,0.0925,0.0,0.3333333333333333,0.0925,True
exact_latent_tree,full_exact_tree,three_state_binomial_2,exact_tree_production_medians,current_gwt_rater_design,observed_scale_feature_block,2024 Leading Chat LLMs,Hierarchical Organization,3,3,2.0,0.6666666666666666,0.428,0.0,2.0,0.14266666666666666,0.0,0.6666666666666666,-0.524,True
exact_latent_tree,full_exact_tree,three_state_binomial_2,exact_tree_production_medians,current_gwt_rater_design,observed_scale_feature_block,2024 Leading Chat LLMs,Hierarchical Organization,4,3,1.0,0.3333333333333333,0.3615,0.0,2.0,0.1205,0.0,0.6666666666666666,-0.21283333333333332,True
exact_latent_tree,full_exact_tree,three_state_binomial_2,exact_tree_production_medians,current_gwt_rater_design,observed_scale_feature_block,2024 Leading Chat LLMs,Hierarchical Organization,5,3,0.0,0.0,0.339,0.0,2.0,0.113,0.0,0.6666666666666666,0.113,True
exact_latent_tree,full_exact_tree,three_state_binomial_2,exact_tree_production_medians,current_gwt_rater_design,observed_scale_feature_block,2024 Leading Chat LLMs,Hierarchical Organization,6,3,0.0,0.0,0.4015,0.0,2.0,0.1338333333333333,0.0,0.6666666666666666,0.1338333333333333,True
exact_latent_tree,full_exact_tree,three_state_binomial_2,exact_tree_production_medians,current_gwt_rater_design,observed_scale_feature_block,2024 Leading Chat LLMs,Integration,0,8,0.0,0.0,2.43875,0.0,5.0,0.30484375,0.0,0.625,0.30484375,True
exact_latent_tree,full_exact_tree,three_state_binomial_2,exact_tree_production_medians,current_gwt_rater_design,observed_scale_feature_block,2024 Leading Chat LLMs,Integration,1,8,0.0,0.0,0.6515,0.0,2.0,0.0814375,0.0,0.25,0.0814375,True
exact_latent_tree,full_exact_tree,three_state_binomial_2,exact_tree_production_medians,current_gwt_rater_design,observed_scale_feature_block,2024 Leading Chat LLMs,Integration,2,8,0.0,0.0,0.7655,0.0,3.0,0.0956875,0.0,0.375,0.0956875,True
exact_latent_tree,full_exact_tree,three_state_binomial_2,exact_tree_production_medians,current_gwt_rater_design,observed_scale_feature_block,2024 Leading Chat LLMs,Integration,3,8,0.0,0.0,1.14075,0.0,3.0,0.14259375,0.0,0.375,0.14259375,True
exact_latent_tree,full_exact_tree,three_state_binomial_2,exact_tree_production_medians,current_gwt_rater_design,observed_scale_feature_block,2024 Leading Chat LLMs,Integration,4,8,1.0,0.125,0.969,0.0,3.0,0.121125,0.0,0.375,-0.0038750000000000034,True
exact_latent_tree,full_exact_tree,three_state_binomial_2,exact_tree_production_medians,current_gwt_rater_design,observed_scale_feature_block,2024 Leading Chat LLMs,Integration,5,8,3.0,0.375,0.93025,0.0,3.0,0.11628125,0.0,0.375,-0.25871875,True
exact_latent_tree,full_exact_tree,three_state_binomial_2,exact_tree_production_medians,current_gwt_rater_design,observed_scale_feature_block,2024 Leading Chat LLMs,Integration,6,8,4.0,0.5,1.10425,0.0,3.0,0.13803125,0.0,0.375,-0.36196875,False
exact_latent_tree,full_exact_tree,three_state_binomial_2,exact_tree_production_medians,current_gwt_rater_design,observed_scale_feature_block,2024 Leading Chat LLMs,Modularity,0,24,11.0,0.4583333333333333,7.4585,3.0,12.0,0.31077083333333333,0.125,0.5,-0.14756249999999999,True
exact_latent_tree,full_exact_tree,three_state_binomial_2,exact_tree_production_medians,current_gwt_rater_design,observed_scale_feature_block,2024 Leading Chat LLMs,Modularity,1,24,3.0,0.125,2.02875,0.0,5.0,0.08453125,0.0,0.20833333333333334,-0.04046875,True
exact_latent_tree,full_exact_tree,three_state_binomial_2,exact_tree_production_medians,current_gwt_rater_design,observed_scale_feature_block,2024 Leading Chat LLMs,Modularity,2,24,2.0,0.08333333333333333,2.231,0.0,5.0,0.09295833333333334,0.0,0.20833333333333334,0.009625000000000009,True
exact_latent_tree,full_exact_tree,three_state_binomial_2,exact_tree_production_medians,current_gwt_rater_design,observed_scale_feature_block,2024 Leading Chat LLMs,Modularity,3,24,3.0,0.125,3.47925,1.0,7.0,0.14496875,0.041666666666666664,0.2916666666666667,0.019968750000000007,True
exact_latent_tree,full_exact_tree,three_state_binomial_2,exact_tree_production_medians,current_gwt_rater_design,observed_scale_feature_block,2024 Leading Chat LLMs,Modularity,4,24,1.0,0.041666666666666664,2.8805,0.0,6.0,0.12002083333333333,0.0,0.25,0.07835416666666667,True
exact_latent_tree,full_exact_tree,three_state_binomial_2,exact_tree_production_medians,current_gwt_rater_design,observed_scale_feature_block,2024 Leading Chat LLMs,Modularity,5,24,4.0,0.16666666666666666,2.733,0.0,6.0,0.113875,0.0,0.25,-0.05279166666666665,True
exact_latent_tree,full_exact_tree,three_state_binomial_2,exact_tree_production_medians,current_gwt_rater_design,observed_scale_feature_block,2024 Leading Chat LLMs,Modularity,6,24,0.0,0.0,3.189,0.0,8.0,0.132875,0.0,0.3333333333333333,0.132875,True
exact_latent_tree,full_exact_tree,three_state_binomial_2,exact_tree_production_medians,current_gwt_rater_design,observed_scale_feature_block,2024 Leading Chat LLMs,Representationality,0,30,2.0,0.06666666666666667,9.04325,4.0,14.0,0.30144166666666666,0.13333333333333333,0.4666666666666667,0.234775,False
exact_latent_tree,full_exact_tree,three_state_binomial_2,exact_tree_production_medians,current_gwt_rater_design,observed_scale_feature_block,2024 Leading Chat LLMs,Representationality,1,30,1.0,0.03333333333333333,2.37625,0.0,6.0,0.07920833333333334,0.0,0.2,0.045875000000000006,True
exact_latent_tree,full_exact_tree,three_state_binomial_2,exact_tree_production_medians,current_gwt_rater_design,observed_scale_feature_block,2024 Leading Chat LLMs,Representationality,2,30,2.0,0.06666666666666667,2.6805,0.0,6.0,0.08935,0.0,0.2,0.022683333333333333,True
exact_latent_tree,full_exact_tree,three_state_binomial_2,exact_tree_production_medians,current_gwt_rater_design,observed_scale_feature_block,2024 Leading Chat LLMs,Representationality,3,30,7.0,0.23333333333333334,4.234,1.0,8.0,0.14113333333333336,0.03333333333333333,0.26666666666666666,-0.09219999999999998,True
exact_latent_tree,full_exact_tree,three_state_binomial_2,exact_tree_production_medians,current_gwt_rater_design,observed_scale_feature_block,2024 Leading Chat LLMs,Representationality,4,30,4.0,0.13333333333333333,3.618,1.0,7.0,0.12060000000000001,0.03333333333333333,0.23333333333333334,-0.012733333333333319,True
exact_latent_tree,full_exact_tree,three_state_binomial_2,exact_tree_production_medians,current_gwt_rater_design,observed_scale_feature_block,2024 Leading Chat LLMs,Representationality,5,30,4.0,0.13333333333333333,3.5495,1.0,7.0,0.11831666666666668,0.03333333333333333,0.23333333333333334,-0.01501666666666665,True
exact_latent_tree,full_exact_tree,three_state_binomial_2,exact_tree_production_medians,current_gwt_rater_design,observed_scale_feature_block,2024 Leading Chat LLMs,Representationality,6,30,10.0,0.3333333333333333,4.4985,1.0,10.0,0.14995,0.03333333333333333,0.3333333333333333,-0.18338333333333331,True
exact_latent_tree,full_exact_tree,three_state_binomial_2,exact_tree_production_medians,current_gwt_rater_design,observed_scale_feature_block,2024 Leading Chat LLMs,Selective Attention,0,43,10.0,0.23255813953488372,12.62875,6.0,19.0,0.2936918604651163,0.13953488372093023,0.4418604651162791,0.06113372093023259,True
exact_latent_tree,full_exact_tree,three_state_binomial_2,exact_tree_production_medians,current_gwt_rater_design,observed_scale_feature_block,2024 Leading Chat LLMs,Selective Attention,1,43,1.0,0.023255813953488372,3.423,0.0,7.0,0.0796046511627907,0.0,0.16279069767441862,0.056348837209302324,True
exact_latent_tree,full_exact_tree,three_state_binomial_2,exact_tree_production_medians,current_gwt_rater_design,observed_scale_feature_block,2024 Leading Chat LLMs,Selective Attention,2,43,6.0,0.13953488372093023,3.87625,1.0,8.0,0.0901453488372093,0.023255813953488372,0.18604651162790697,-0.04938953488372093,True
exact_latent_tree,full_exact_tree,three_state_binomial_2,exact_tree_production_medians,current_gwt_rater_design,observed_scale_feature_block,2024 Leading Chat LLMs,Selective Attention,3,43,6.0,0.13953488372093023,6.007,2.0,11.0,0.13969767441860464,0.046511627906976744,0.2558139534883721,0.00016279069767441423,True
exact_latent_tree,full_exact_tree,three_state_binomial_2,exact_tree_production_medians,current_gwt_rater_design,observed_scale_feature_block,2024 Leading Chat LLMs,Selective Attention,4,43,3.0,0.06976744186046512,5.236,1.0,10.0,0.1217674418604651,0.023255813953488372,0.23255813953488372,0.05199999999999999,True
exact_latent_tree,full_exact_tree,three_state_binomial_2,exact_tree_production_medians,current_gwt_rater_design,observed_scale_feature_block,2024 Leading Chat LLMs,Selective Attention,5,43,6.0,0.13953488372093023,5.19925,1.0,10.0,0.12091279069767441,0.023255813953488372,0.23255813953488372,-0.01862209302325582,True
exact_latent_tree,full_exact_tree,three_state_binomial_2,exact_tree_production_medians,current_gwt_rater_design,observed_scale_feature_block,2024 Leading Chat LLMs,Selective Attention,6,43,11.0,0.2558139534883721,6.62975,2.0,13.0,0.15418023255813953,0.046511627906976744,0.3023255813953488,-0.10163372093023257,True
