kind,support,demandingness,prior_mu,prior_sigma_logit,prior_sd_natural_approx,post_mean,post_sd,post_p03,post_p97,contraction,fraction_back_to_baseline
abs,moderate support,moderately demanding,0.1,0.3,0.02731570469460425,0.0993624378651316,0.026213319714510755,0.05707812260492264,0.15526620751453515,0.9596428138165056,-0.001593905337171006
abs,moderate support,moderately undemanding,0.1,0.3,0.02731570469460425,0.10953946545134019,0.02939759010983589,0.06420033301027378,0.17163800602078147,1.0762156949091226,0.02384866362835046
abs,moderate support,neutral,0.1,0.3,0.02731570469460425,0.121330902693974,0.0344213585657728,0.06809152940130114,0.19653733340320634,1.2601307178640042,0.05332725673493497
abs,moderate support,strongly demanding,0.1,0.3,0.02731570469460425,0.09670225645650514,0.025882848403858287,0.05669718545469865,0.15173227505233813,0.947544597264994,-0.008244358858737165
abs,moderate support,weakly demanding,0.1,0.3,0.02731570469460425,0.103337030115548,0.027412509683788996,0.06076275480120478,0.16318807354519535,1.0035439316051717,0.008342575288869981
abs,moderate support,weakly undemanding,0.1,0.3,0.02731570469460425,0.10593594730050178,0.028811826665294173,0.06128351313042069,0.1678722553097089,1.0547714945456068,0.014839868251254433
abs,strong support,moderately demanding,0.1,0.3,0.02731570469460425,0.11988304131369154,0.02916095405195467,0.07214190740291482,0.1805870507793005,1.0675526909512578,0.04970760328422884
abs,strong support,moderately undemanding,0.1,0.3,0.02731570469460425,0.09954449184277635,0.025891724740052562,0.05891481784913722,0.15439102277609562,0.947869550850981,-0.001138770393059145
abs,strong support,neutral,0.1,0.3,0.02731570469460425,0.10496642091508278,0.028626820506525347,0.0592181991997828,0.16735240134459078,1.0479986083675918,0.012416052287706932
abs,strong support,strongly demanding,0.1,0.3,0.02731570469460425,0.112684676810663,0.029647881312194143,0.06507129048976293,0.1762764344974869,1.0853785997346272,0.0317116920266575
abs,strong support,weakly demanding,0.1,0.3,0.02731570469460425,0.10747047891020135,0.0282593458987897,0.06273860643359264,0.16741422433473896,1.0345457389708805,0.01867619727550337
abs,strong support,weakly undemanding,0.1,0.3,0.02731570469460425,0.09804521772385538,0.02478746395682457,0.057889730775034266,0.14975806337493916,0.907443693434016,-0.004886955690361558
abs,weak support,moderately demanding,0.1,0.3,0.02731570469460425,0.09644199916789427,0.025069002041796944,0.05635030960514786,0.1503568431767324,0.9177505146608536,-0.008895002080264343
abs,weak support,moderately undemanding,0.1,0.3,0.02731570469460425,0.10703196200855282,0.029585401393618503,0.061062366412153166,0.17071961327753749,1.0830912738437457,0.017579905021382035
abs,weak support,neutral,0.1,0.3,0.02731570469460425,0.10016754102281433,0.02701228659514825,0.057017967093394475,0.15894952622299796,0.9888921738300995,0.0004188525570358176
abs,weak support,strongly undemanding,0.1,0.3,0.02731570469460425,0.10983130503302911,0.030692685218903396,0.062454059185350685,0.17816579650888634,1.1236278017372991,0.024578262582572764
abs,weak support,weakly undemanding,0.1,0.3,0.02731570469460425,0.10673403922088696,0.028432832667019375,0.061813709365389116,0.16699094541817294,1.0408969120476617,0.016835098052217397
abs,weak undermining,neutral,0.1,0.3,0.02731570469460425,0.10838482814716195,0.028939073893445005,0.06252272673783307,0.16891807974374007,1.0594298853714517,0.020962070367904866
pres,moderate support,moderately demanding,0.9,0.3,0.027572640543407325,0.8840118502630651,0.03142959196958495,0.8164047733680801,0.9332203363497774,1.1398832810410617,-0.03997037434233741
pres,moderate support,moderately undemanding,0.9,0.3,0.027572640543407325,0.8948074876764671,0.028569781646397462,0.8303069926917002,0.9396512459674536,1.036164149799884,-0.012981280808832263
pres,moderate support,neutral,0.9,0.3,0.027572640543407325,0.8995310199310657,0.026587966765356387,0.843283008090965,0.9411770760686098,0.9642880130939663,-0.0011724501723359149
pres,moderate support,strongly demanding,0.9,0.3,0.027572640543407325,0.9026292536612179,0.024179787585568373,0.8520757006989517,0.9412091038814389,0.8769485660070309,0.0065731341530447795
pres,moderate support,weakly demanding,0.9,0.3,0.027572640543407325,0.8920144302073841,0.029475460985246872,0.8285187952940283,0.938585462462816,1.0690111793552728,-0.01996392448153972
pres,moderate support,weakly undemanding,0.9,0.3,0.027572640543407325,0.9048788102976821,0.024070053421457138,0.8530304762267958,0.9434689369099888,0.8729687453606012,0.012197025744205281
pres,strong support,moderately demanding,0.9,0.3,0.027572640543407325,0.8976651217294745,0.026692468356431732,0.8410721008616222,0.9406436148922888,0.9680780596406808,-0.005837195676313689
pres,strong support,moderately undemanding,0.9,0.3,0.027572640543407325,0.8973674400732344,0.02749476441794521,0.8370664350419379,0.9405626078435873,0.997175601468437,-0.006581399816913969
pres,strong support,neutral,0.9,0.3,0.027572640543407325,0.897704244298235,0.027668857199705993,0.8387855970762331,0.9404076124973826,1.0034895698925606,-0.005739389254412475
pres,strong support,strongly demanding,0.9,0.3,0.027572640543407325,0.885374019901971,0.030699244925163908,0.8196951745407782,0.9349753710634169,1.1133951743517057,-0.03656495024507267
pres,strong support,weakly demanding,0.9,0.3,0.027572640543407325,0.8889794104230349,0.030999941880916454,0.8224214342569034,0.9369079483194549,1.1243008021706722,-0.02755147394241292
pres,strong support,weakly undemanding,0.9,0.3,0.027572640543407325,0.9018683632810544,0.02515962658789758,0.8481731023647983,0.9414023734850897,0.912485206061024,0.004670908202635826
pres,weak support,moderately demanding,0.9,0.3,0.027572640543407325,0.8974200022714065,0.02731267334036431,0.8400895081799982,0.9404933929672996,0.9905715521647718,-0.0064499943214837985
pres,weak support,moderately undemanding,0.9,0.3,0.027572640543407325,0.8983293184984962,0.0271563165273054,0.8385204299894905,0.9406025335059173,0.9849008289414098,-0.004176703753759614
pres,weak support,neutral,0.9,0.3,0.027572640543407325,0.898239676946137,0.02715243367662697,0.8374304796462156,0.9411502048120772,0.9847600063505406,-0.004400807634657444
pres,weak support,strongly undemanding,0.9,0.3,0.027572640543407325,0.8977813945541075,0.02729324409708817,0.8404351689005716,0.9414004191979459,0.989866895559774,-0.0055465136147311855
pres,weak support,weakly undemanding,0.9,0.3,0.027572640543407325,0.8945044633458811,0.02829335783216072,0.8331263530030675,0.9395616901482015,1.0261388562919382,-0.013738841635297372
pres,weak undermining,neutral,0.9,0.3,0.027572640543407325,0.8885136822449067,0.030121764282436552,0.8224929309818195,0.9364434944544265,1.0924512012194179,-0.028715794387733362
