index,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
a,0.002,0.003,5920.0,3438.0,1.0
kappa[0],0.002,0.002,5938.0,3008.0,1.0
kappa[1],0.002,0.002,5853.0,2986.0,1.0
kappa[2],0.002,0.002,5586.0,2852.0,1.0
kappa[3],0.002,0.002,5552.0,3071.0,1.0
kappa[4],0.002,0.002,5275.0,3249.0,1.0
kappa[5],0.002,0.002,5248.0,3330.0,1.0
chicken__global_workspace_theory_C,0.001,0.003,6363.0,2474.0,1.0
2024_leading_chat_llms__global_workspace_theory_C,0.002,0.002,6349.0,2733.0,1.0
beta_pres__moderate_support__moderately_demanding,0.0,0.001,8377.0,2692.0,1.0
beta_pres__moderate_support__moderately_undemanding,0.0,0.001,11154.0,2808.0,1.0
beta_pres__moderate_support__neutral,0.0,0.001,9716.0,2963.0,1.0
beta_pres__moderate_support__strongly_demanding,0.0,0.0,9620.0,2890.0,1.0
beta_pres__moderate_support__weakly_demanding,0.0,0.001,10121.0,2361.0,1.0
beta_pres__moderate_support__weakly_undemanding,0.0,0.0,9909.0,2815.0,1.0
beta_pres__strong_support__moderately_demanding,0.0,0.0,8002.0,2972.0,1.0
beta_pres__strong_support__moderately_undemanding,0.0,0.001,10653.0,2881.0,1.0
beta_pres__strong_support__neutral,0.0,0.001,10972.0,2653.0,1.0
beta_pres__strong_support__strongly_demanding,0.0,0.001,9158.0,2839.0,1.0
beta_pres__strong_support__weakly_demanding,0.0,0.001,9393.0,3065.0,1.0
beta_pres__strong_support__weakly_undemanding,0.0,0.001,9837.0,2578.0,1.0
beta_pres__weak_support__moderately_demanding,0.0,0.001,9267.0,2637.0,1.0
beta_pres__weak_support__moderately_undemanding,0.0,0.001,9405.0,2680.0,1.0
beta_pres__weak_support__neutral,0.0,0.001,9790.0,2826.0,1.0
beta_pres__weak_support__strongly_undemanding,0.0,0.001,7953.0,2910.0,1.0
beta_pres__weak_support__weakly_undemanding,0.0,0.001,8645.0,2195.0,1.0
beta_pres__weak_undermining__neutral,0.0,0.001,9973.0,2802.0,1.0
beta_abs__moderate_support__moderately_demanding,0.0,0.001,7675.0,2937.0,1.0
beta_abs__moderate_support__moderately_undemanding,0.0,0.001,7897.0,2866.0,1.0
beta_abs__moderate_support__neutral,0.0,0.001,9501.0,2637.0,1.0
beta_abs__moderate_support__strongly_demanding,0.0,0.001,8183.0,2320.0,1.0
beta_abs__moderate_support__weakly_demanding,0.0,0.001,10134.0,3232.0,1.0
beta_abs__moderate_support__weakly_undemanding,0.0,0.001,7374.0,2997.0,1.0
beta_abs__strong_support__moderately_demanding,0.0,0.001,9681.0,3210.0,1.0
beta_abs__strong_support__moderately_undemanding,0.0,0.001,7343.0,2842.0,1.0
beta_abs__strong_support__neutral,0.0,0.001,7485.0,2616.0,1.0
beta_abs__strong_support__strongly_demanding,0.0,0.001,8392.0,2555.0,1.0
beta_abs__strong_support__weakly_demanding,0.0,0.0,8551.0,3122.0,1.0
beta_abs__strong_support__weakly_undemanding,0.0,0.0,8795.0,3143.0,1.0
beta_abs__weak_support__moderately_demanding,0.0,0.0,9664.0,2837.0,1.0
beta_abs__weak_support__moderately_undemanding,0.0,0.001,8894.0,2739.0,1.0
beta_abs__weak_support__neutral,0.0,0.001,10047.0,2631.0,1.0
beta_abs__weak_support__strongly_undemanding,0.0,0.001,9110.0,2673.0,1.0
beta_abs__weak_support__weakly_undemanding,0.0,0.001,8735.0,2946.0,1.0
beta_abs__weak_undermining__neutral,0.0,0.001,11720.0,2980.0,1.0
label_delta__moderate_support__moderately_demanding,0.0,0.001,6945.0,2731.0,1.0
label_delta__moderate_support__moderately_undemanding,0.0,0.001,7117.0,3223.0,1.0
label_delta__moderate_support__neutral,0.001,0.001,8731.0,2756.0,1.0
label_delta__moderate_support__strongly_demanding,0.0,0.001,8264.0,2716.0,1.0
label_delta__moderate_support__weakly_demanding,0.0,0.001,9154.0,2699.0,1.0
label_delta__moderate_support__weakly_undemanding,0.0,0.001,7998.0,2915.0,1.0
label_delta__strong_support__moderately_demanding,0.0,0.001,8046.0,2934.0,1.0
label_delta__strong_support__moderately_undemanding,0.0,0.001,8668.0,2899.0,1.0
label_delta__strong_support__neutral,0.0,0.001,7477.0,2788.0,1.0
label_delta__strong_support__strongly_demanding,0.0,0.001,9047.0,2947.0,1.0
label_delta__strong_support__weakly_demanding,0.0,0.001,8613.0,3186.0,1.0
label_delta__strong_support__weakly_undemanding,0.0,0.001,9032.0,2729.0,1.0
label_delta__weak_support__moderately_demanding,0.0,0.001,8165.0,2940.0,1.0
label_delta__weak_support__moderately_undemanding,0.0,0.001,8539.0,2841.0,1.0
label_delta__weak_support__neutral,0.0,0.001,9190.0,2959.0,1.0
label_delta__weak_support__strongly_undemanding,0.0,0.001,8561.0,2822.0,1.0
label_delta__weak_support__weakly_undemanding,0.0,0.001,7512.0,3192.0,1.0
label_delta__weak_undermining__neutral,0.0,0.001,10109.0,2907.0,1.0
