prob_bin,n,mean_posterior_p,empirical_z_rate,mean_brier,mean_neg_log_score
"[0.0, 0.1)",32,0.02022939869721725,0.125,0.11337735372299716,0.424637616290926
"[0.1, 0.2)",13,0.14777472242534212,0.7692307692307693,0.5523570135417747,1.4702984407889237
"[0.2, 0.3)",10,0.2450074720580369,0.7,0.4274246184919008,1.100675527096651
"[0.3, 0.4)",2,0.3689389925718174,1.0,0.3984999547089618,0.9980871737347865
"[0.4, 0.5)",4,0.4579805615428754,1.0,0.29439152511478317,0.7824223253174218
"[0.5, 0.6)",4,0.5535498980672321,1.0,0.20028743345569977,0.5929777431146053
"[0.6, 0.7)",3,0.6923530766371568,0.6666666666666666,0.22722972826871327,0.6482294682494878
"[0.7, 0.8)",5,0.7728170530523426,0.8,0.1489338643738732,0.46945599229241763
"[0.8, 0.9)",6,0.8350192379584452,0.8333333333333334,0.1369711996096082,0.4431060018874995
"[0.9, 1.0)",21,0.9723316668202358,0.9523809523809523,0.04511675387326347,0.1816400525073999
