dgp,fit,leaf,nuisance_truth,design,estimand,system,node_key,node_name,node_type,top_feature,depth,fanout,subtree_indicator_count,subtree_rating_count,z_true,prior_p_z1,posterior_p_z1,prior_entropy,posterior_entropy,entropy_reduction,relative_entropy_reduction,brier,log_score,neg_log_score
exact_latent_tree,full_exact_tree,three_state_binomial_2,exact_tree_production_medians,current_gwt_rater_design,internal_z_probability,Human,Global Workspace Theory > Representationality,Representationality,feature,Representationality,1,4,8,8,1,0.9249619188927626,0.974428793494163,0.2664801241977445,0.11899285563168875,0.1474872685660557,0.5534644244484485,0.0006538866021641603,-0.02590383248961214,0.02590383248961214
exact_latent_tree,full_exact_tree,three_state_binomial_2,exact_tree_production_medians,current_gwt_rater_design,internal_z_probability,Human,Global Workspace Theory > Representationality > Conceptual Representations,Conceptual Representations,feature,Representationality,2,3,3,3,1,0.81855749032424,0.994486410272866,0.47357379847331393,0.03417200235136576,0.4394017961219482,0.9278422867533467,3.039967167915763e-05,-0.0055288456654715235,0.0055288456654715235
exact_latent_tree,full_exact_tree,three_state_binomial_2,exact_tree_production_medians,current_gwt_rater_design,internal_z_probability,Human,Global Workspace Theory > Representationality > Propositional Representations,Propositional Representations,feature,Representationality,2,1,1,1,1,0.8165595731648473,0.7969906552448316,0.47657047011926423,0.5045460663132434,-0.027975596193979158,-0.058701908632689974,0.04121279405792282,-0.22691232517304127,0.22691232517304127
exact_latent_tree,full_exact_tree,three_state_binomial_2,exact_tree_production_medians,current_gwt_rater_design,internal_z_probability,Human,Global Workspace Theory > Representationality > World Modelling,World Modelling,feature,Representationality,2,2,2,2,1,0.7456809635581148,0.20567559920650694,0.5670305359962824,0.5081705142435133,0.058860021752769054,0.10380397177261536,0.6309512536959418,-1.5814551125656062,1.5814551125656062
exact_latent_tree,full_exact_tree,three_state_binomial_2,exact_tree_production_medians,current_gwt_rater_design,internal_z_probability,Human,Global Workspace Theory > Representationality > Isomorphic Representations,Isomorphic Representations,feature,Representationality,2,2,2,2,1,0.7162153362665447,0.9900586466244782,0.5964923590428877,0.05573187204101244,0.5407604870018752,0.9065673328482563,9.883050693699912e-05,-0.009991098593438153,0.009991098593438153
exact_latent_tree,full_exact_tree,three_state_binomial_2,exact_tree_production_medians,current_gwt_rater_design,internal_z_probability,Human,Global Workspace Theory > Hierarchical Organization,Hierarchical Organization,feature,Hierarchical Organization,1,1,1,1,1,0.8263271266737368,0.8152945011312349,0.46166248881619654,0.47845415552993964,-0.016791666713743103,-0.036372170407001456,0.03411612131235938,-0.20420587993158298,0.20420587993158298
exact_latent_tree,full_exact_tree,three_state_binomial_2,exact_tree_production_medians,current_gwt_rater_design,internal_z_probability,Human,Global Workspace Theory > Coherence,Coherence,feature,Coherence,1,4,13,13,1,0.7972391007321977,0.975500764308263,0.5042061037076643,0.11506709052491874,0.3891390131827455,0.7717856057695922,0.0006002125494792779,-0.024804335415164254,0.024804335415164254
exact_latent_tree,full_exact_tree,three_state_binomial_2,exact_tree_production_medians,current_gwt_rater_design,internal_z_probability,Human,Global Workspace Theory > Coherence > Autonomous Subparts,Autonomous Subparts,feature,Coherence,2,5,5,5,0,0.46309688116658304,0.004452058831968162,0.6904210219852163,0.028547310402004034,0.6618737115832123,0.958652315771151,1.9820827843305713e-05,-0.004461998758954488,0.004461998758954488
exact_latent_tree,full_exact_tree,three_state_binomial_2,exact_tree_production_medians,current_gwt_rater_design,internal_z_probability,Human,Global Workspace Theory > Coherence > Point of View,Point of View,feature,Coherence,2,2,2,2,1,0.7035965231190177,0.9768142730230107,0.6077861072562275,0.11019097647717194,0.4975951307790556,0.818701060847516,0.0005375779354514886,-0.02345874427047744,0.02345874427047744
exact_latent_tree,full_exact_tree,three_state_binomial_2,exact_tree_production_medians,current_gwt_rater_design,internal_z_probability,Human,Global Workspace Theory > Coherence > Common Representational Scheme,Common Representational Scheme,feature,Coherence,2,3,3,3,1,0.6568612638872846,0.9613807058477534,0.6430954647884466,0.16353108944382386,0.4795643753446227,0.7457125755075582,0.0014914498808177507,-0.03938479253190284,0.03938479253190284
