system,node_key,indicator,top_feature,depth,n_ratings,chi2,kl,cov94,obs_p0,obs_p1,obs_p2,obs_p3,obs_p4,obs_p5,obs_p6,pred_p0,pred_p1,pred_p2,pred_p3,pred_p4,pred_p5,pred_p6
2024 Leading Chat LLMs,Global Workspace Theory > Coherence > Common Representational Scheme > Authoritative Representational Scheme,Authoritative Representational Scheme,Coherence,3,3,7.819477519824279,1.1248490359609415,True,0.3333333333333333,0.0,0.0,0.0,0.6666666666666666,0.0,0.0,0.2593132260436731,0.08345064799775266,0.09874017548300931,0.16183909731813095,0.13984990818255108,0.13607828729426227,0.12072865768062066
2024 Leading Chat LLMs,Global Workspace Theory > Coherence > Autonomous Subparts > Conflicting Subparts,Conflicting Subparts,Coherence,3,4,11.629166699744523,1.362844467736424,False,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25593175099126586,0.08285744246229212,0.09832888341946436,0.16175378643791766,0.14044418000228398,0.13744837562288725,0.12323558106388884
2024 Leading Chat LLMs,Global Workspace Theory > Coherence > Common Representational Scheme > Distinguishes Self-Produced from Other-Produced Behavior,Distinguishes Self-Produced from Other-Produced Behavior,Coherence,3,4,15.442425413316599,1.4744419171010243,False,0.0,0.0,0.0,0.0,0.0,0.25,0.75,0.24911525408862664,0.08202253722851932,0.09780094687755875,0.1619541116488996,0.14175679332371752,0.13991194510549293,0.12743841172718526
2024 Leading Chat LLMs,Global Workspace Theory > Coherence > Autonomous Subparts > Functional Subparts,Functional Subparts,Coherence,3,4,6.362845704485784,0.8818126988725332,True,0.0,0.0,0.0,0.25,0.5,0.25,0.0,0.24768684562202073,0.0817925786450285,0.09764141330879102,0.16197939435314543,0.142048257225691,0.1404827107883207,0.12836880005700269
2024 Leading Chat LLMs,Global Workspace Theory > Coherence > Autonomous Subparts > Information Transfer,Information Transfer,Coherence,3,4,3.3369016918414567,0.5261085798778191,True,0.25,0.25,0.0,0.25,0.25,0.0,0.0,0.2532055819482571,0.08250614204109608,0.09802037018830118,0.1617455306581977,0.14093666075113057,0.13855572526439902,0.12502998914861851
2024 Leading Chat LLMs,Global Workspace Theory > Coherence > Autonomous Subparts > Information Transfer Architecture,Information Transfer Architecture,Coherence,3,3,8.632780605040903,1.3552147382827422,False,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2578919092396526,0.08321538753599715,0.0985711787202129,0.16184201568735462,0.14013535617850573,0.136652772092399,0.12169138054587791
2024 Leading Chat LLMs,Global Workspace Theory > Coherence > Autonomous Subparts > Learning Transfer,Learning Transfer,Coherence,3,3,9.28178041120712,1.4094696682119106,True,0.0,0.3333333333333333,0.0,0.6666666666666666,0.0,0.0,0.0,0.2523693363247915,0.0823935415860577,0.09804273489420641,0.1618878216135679,0.14113899384660203,0.1387800425159686,0.1253875292188058
2024 Leading Chat LLMs,Global Workspace Theory > Coherence > Social Coherence > Persistence Seeking,Persistence Seeking,Coherence,3,4,7.796291788369197,1.0784267806056467,True,0.0,0.25,0.25,0.5,0.0,0.0,0.0,0.2466937869121695,0.08167003564042712,0.09757603480004852,0.161993451098456,0.14219602819555968,0.14087136128538352,0.1289993020679557
2024 Leading Chat LLMs,Global Workspace Theory > Coherence > Point of View > Perspective-relative Representations,Perspective-relative Representations,Coherence,3,3,4.124280805225877,0.7939975265276211,True,0.3333333333333333,0.0,0.3333333333333333,0.0,0.0,0.3333333333333333,0.0,0.25038804706816803,0.0821975341008479,0.09793083927485455,0.16195549114592678,0.14150217587605893,0.1395137246174902,0.12651218791665358
2024 Leading Chat LLMs,Global Workspace Theory > Coherence > Point of View > Stable Personality,Stable Personality,Coherence,3,4,6.2151329633999515,0.9047171261631723,True,0.75,0.0,0.0,0.25,0.0,0.0,0.0,0.2595144808132275,0.0835040214993482,0.09874164149889582,0.16180218703039095,0.139805491330804,0.1359983715832458,0.12063380624408784
2024 Leading Chat LLMs,Global Workspace Theory > Coherence > Social Coherence > Stable Personality,Stable Personality,Coherence,3,4,6.960651929462554,0.9553350090392185,True,0.0,0.0,0.0,0.0,0.25,0.5,0.25,0.25166374038050604,0.08244728234500234,0.0981101332179747,0.16206122999648376,0.14132690751881521,0.13889721519067627,0.1254934913505417
2024 Leading Chat LLMs,Global Workspace Theory > Coherence > Social Coherence > Stable Social Interactions,Stable Social Interactions,Coherence,3,4,7.14995538676046,0.9731335016550475,True,0.0,0.0,0.25,0.25,0.5,0.0,0.0,0.24838297487133734,0.08190385758574845,0.09772027860326922,0.16199879231076497,0.1418759414659585,0.14016103259282936,0.1279571225700921
2024 Leading Chat LLMs,Global Workspace Theory > Coherence > Common Representational Scheme > Unified Egocentric Representations,Unified Egocentric Representations,Coherence,3,4,10.58135118613573,1.001176194130272,True,0.25,0.5,0.0,0.25,0.0,0.0,0.0,0.2560539629482345,0.08292042090666127,0.09835840158516257,0.16178726832419568,0.14040977544781344,0.13734763470795022,0.12312253607998241
2024 Leading Chat LLMs,Global Workspace Theory > Complexity > Informational Complexity > Compressibility,Compressibility,Complexity,3,3,2.774986488953977,0.6286967423210499,True,0.3333333333333333,0.0,0.0,0.3333333333333333,0.0,0.3333333333333333,0.0,0.24542096755237022,0.08144902748946493,0.09740687498112428,0.1619126128488609,0.14239944725998588,0.1413596016709083,0.13005146819728552
2024 Leading Chat LLMs,Global Workspace Theory > Complexity > Functional Diversity > Diversity of Tasks,Diversity of Tasks,Complexity,3,4,2.8819537359202103,0.4843589632641179,True,0.25,0.0,0.25,0.25,0.0,0.25,0.0,0.2592849662816204,0.08333906507542586,0.09862196230514418,0.16168434344901267,0.1398034475336099,0.13612045471423467,0.12114576064095235
2024 Leading Chat LLMs,Global Workspace Theory > Complexity > Structural Complexity > Functional Specialization,Functional Specialization,Complexity,3,4,6.908761438417819,0.9549804516436633,True,0.0,0.0,0.0,0.0,0.5,0.25,0.25,0.2534731851700371,0.08256313300947422,0.09813427194592748,0.161810167491748,0.14087250717535132,0.13830825141039926,0.12483848379706267
2024 Leading Chat LLMs,Global Workspace Theory > Complexity > Structural Complexity > Number of Connections,Number of Connections,Complexity,3,4,9.738310465777865,1.2131482068249229,True,0.0,0.25,0.25,0.0,0.0,0.0,0.5,0.2578960513396245,0.08316692385012729,0.09849754205328357,0.16168824552717748,0.14002420885567285,0.13668909250617184,0.12203793586794254
2024 Leading Chat LLMs,Global Workspace Theory > Complexity > Structural Complexity > Number of Layers,Number of Layers,Complexity,3,4,9.742832847157818,1.101182745080084,True,0.0,0.0,0.5,0.25,0.0,0.0,0.25,0.25873829709729135,0.0833710715184183,0.098666369847739,0.16182565822318215,0.13991271530659533,0.1362910883463694,0.12119479966040447
2024 Leading Chat LLMs,Global Workspace Theory > Complexity > Structural Complexity > Number of Nodes,Number of Nodes,Complexity,3,4,11.510046033574039,1.3535876508157318,True,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.2578960513396245,0.08316692385012729,0.09849754205328357,0.16168824552717748,0.14002420885567285,0.13668909250617184,0.12203793586794254
2024 Leading Chat LLMs,Global Workspace Theory > Complexity > Informational Complexity > Optimized Componentry,Optimized Componentry,Complexity,3,4,11.862305234288556,1.3776511934709916,False,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25217015691725875,0.08242350593211964,0.09803762851830869,0.16184501400817705,0.14111083804104388,0.13880915837486552,0.12560369820822656
2024 Leading Chat LLMs,Global Workspace Theory > Complexity > Functional Diversity > Variability of Responses to Stimuli,Variability of Responses to Stimuli,Complexity,3,3,10.152552402700893,1.463695398848564,True,0.0,0.0,0.3333333333333333,0.0,0.0,0.6666666666666666,0.0,0.25835504212639393,0.08320828363039545,0.09850739464621484,0.16164875533781795,0.1399942219652385,0.1364901920326542,0.12179611026128506
2024 Leading Chat LLMs,Global Workspace Theory > Hierarchical Organization > Concrete-Abstract Separation,Concrete-Abstract Separation,Hierarchical Organization,2,3,7.753423533085298,1.2477776140976795,True,0.0,0.0,0.0,0.6666666666666666,0.3333333333333333,0.0,0.0,0.2778113895684657,0.0855513767659573,0.099797183783304,0.16059986525081404,0.13598690098578783,0.1293094526702223,0.11094383097544883
2024 Leading Chat LLMs,Global Workspace Theory > Integration > Holistic Dependency,Holistic Dependency,Integration,2,4,15.561057280652392,1.5164456813926743,False,0.0,0.0,0.0,0.0,0.0,0.75,0.25,0.27648500963509004,0.08539949283646193,0.09970724248377096,0.16063604153515346,0.13616851122772802,0.12988255107402644,0.11172115120776925
2024 Leading Chat LLMs,Global Workspace Theory > Integration > Wiring Convergence,Wiring Convergence,Integration,2,4,17.139356517418204,1.5462478006168492,False,0.0,0.0,0.0,0.0,0.25,0.0,0.75,0.2689277629916176,0.08436144579225865,0.09906662213394371,0.1607770756096512,0.13761762835888308,0.13280628439567194,0.11644318071797394
2024 Leading Chat LLMs,Global Workspace Theory > Modularity > Cross-Modal Learning Deficits,Cross-Modal Learning Deficits,Modularity,2,4,9.980701529682348,1.2513835553768484,False,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28610867569897136,0.08657168196968318,0.10031531703008571,0.160111570044687,0.13425802936340797,0.126279339187638,0.10635538670552666
2024 Leading Chat LLMs,Global Workspace Theory > Modularity > Dedicated Action Systems,Dedicated Action Systems,Modularity,2,4,10.004542105719164,1.2530873520001469,True,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28562161974338907,0.08648674648781654,0.10026724586944899,0.160125990032317,0.1343296472625566,0.126499669338381,0.10666908126609081
2024 Leading Chat LLMs,Global Workspace Theory > Modularity > Dedicated Sensory Systems,Dedicated Sensory Systems,Modularity,2,4,13.796766136931735,1.4461862738942968,True,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.28610867569897136,0.08657168196968318,0.10031531703008571,0.160111570044687,0.13425802936340797,0.126279339187638,0.10635538670552666
2024 Leading Chat LLMs,Global Workspace Theory > Modularity > Dedicated Speech Systems,Dedicated Speech Systems,Modularity,2,4,4.850444023521401,0.7696008769510045,True,0.5,0.25,0.25,0.0,0.0,0.0,0.0,0.2871527516171888,0.08678121999565254,0.10051587411908866,0.16023924491045158,0.13411833182168423,0.1258482550049926,0.10534432253094166
