index,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
a,0.017,0.013,93.0,69.0,1.04
kappa[0],0.009,0.017,170.0,130.0,1.0
kappa[1],0.009,0.016,170.0,172.0,1.0
kappa[2],0.009,0.015,186.0,171.0,1.0
kappa[3],0.01,0.016,173.0,116.0,1.0
kappa[4],0.012,0.016,132.0,116.0,1.0
kappa[5],0.012,0.013,132.0,142.0,1.0
chicken__global_workspace_theory_C,0.011,0.009,90.0,116.0,1.01
2024_leading_chat_llms__global_workspace_theory_C,0.009,0.007,111.0,55.0,1.01
beta_pres__moderate_support__moderately_demanding,0.002,0.002,252.0,136.0,1.01
beta_pres__moderate_support__moderately_undemanding,0.002,0.003,353.0,144.0,1.0
beta_pres__moderate_support__neutral,0.002,0.003,214.0,98.0,1.02
beta_pres__moderate_support__strongly_demanding,0.002,0.002,286.0,94.0,1.0
beta_pres__moderate_support__weakly_demanding,0.002,0.003,254.0,106.0,1.01
beta_pres__moderate_support__weakly_undemanding,0.002,0.002,240.0,172.0,1.03
beta_pres__strong_support__moderately_demanding,0.002,0.003,179.0,60.0,1.01
beta_pres__strong_support__moderately_undemanding,0.002,0.002,202.0,116.0,1.0
beta_pres__strong_support__neutral,0.002,0.002,249.0,110.0,1.0
beta_pres__strong_support__strongly_demanding,0.003,0.003,157.0,138.0,1.01
beta_pres__strong_support__weakly_demanding,0.002,0.002,182.0,99.0,1.0
beta_pres__strong_support__weakly_undemanding,0.002,0.002,243.0,132.0,1.0
beta_pres__weak_support__moderately_demanding,0.002,0.004,202.0,110.0,1.01
beta_pres__weak_support__moderately_undemanding,0.002,0.002,203.0,92.0,1.0
beta_pres__weak_support__neutral,0.002,0.002,353.0,173.0,1.02
beta_pres__weak_support__strongly_undemanding,0.002,0.002,254.0,103.0,0.99
beta_pres__weak_support__weakly_undemanding,0.002,0.002,145.0,94.0,0.99
beta_pres__weak_undermining__neutral,0.002,0.003,195.0,115.0,0.99
beta_abs__moderate_support__moderately_demanding,0.001,0.002,240.0,135.0,1.02
beta_abs__moderate_support__moderately_undemanding,0.002,0.002,315.0,151.0,1.01
beta_abs__moderate_support__neutral,0.002,0.002,246.0,101.0,1.01
beta_abs__moderate_support__strongly_demanding,0.002,0.002,226.0,136.0,1.02
beta_abs__moderate_support__weakly_demanding,0.002,0.002,124.0,143.0,1.02
beta_abs__moderate_support__weakly_undemanding,0.002,0.003,267.0,124.0,1.03
beta_abs__strong_support__moderately_demanding,0.001,0.002,353.0,137.0,1.0
beta_abs__strong_support__moderately_undemanding,0.002,0.002,214.0,189.0,1.0
beta_abs__strong_support__neutral,0.002,0.002,146.0,148.0,1.0
beta_abs__strong_support__strongly_demanding,0.002,0.002,198.0,104.0,1.0
beta_abs__strong_support__weakly_demanding,0.002,0.005,271.0,68.0,1.0
beta_abs__strong_support__weakly_undemanding,0.001,0.002,350.0,175.0,1.01
beta_abs__weak_support__moderately_demanding,0.002,0.002,215.0,77.0,1.0
beta_abs__weak_support__moderately_undemanding,0.002,0.002,214.0,108.0,1.0
beta_abs__weak_support__neutral,0.002,0.002,236.0,115.0,1.0
beta_abs__weak_support__strongly_undemanding,0.002,0.002,153.0,142.0,0.99
beta_abs__weak_support__weakly_undemanding,0.002,0.002,215.0,136.0,1.0
beta_abs__weak_undermining__neutral,0.002,0.003,227.0,136.0,1.0
label_delta__moderate_support__moderately_demanding,0.002,0.003,353.0,137.0,1.0
label_delta__moderate_support__moderately_undemanding,0.003,0.004,222.0,100.0,1.01
label_delta__moderate_support__neutral,0.003,0.004,172.0,116.0,1.0
label_delta__moderate_support__strongly_demanding,0.003,0.003,196.0,173.0,1.01
label_delta__moderate_support__weakly_demanding,0.002,0.003,231.0,95.0,1.01
label_delta__moderate_support__weakly_undemanding,0.002,0.003,268.0,112.0,1.01
label_delta__strong_support__moderately_demanding,0.002,0.003,280.0,117.0,1.01
label_delta__strong_support__moderately_undemanding,0.003,0.004,230.0,108.0,1.03
label_delta__strong_support__neutral,0.003,0.002,140.0,181.0,1.0
label_delta__strong_support__strongly_demanding,0.003,0.003,169.0,135.0,1.02
label_delta__strong_support__weakly_demanding,0.004,0.006,239.0,112.0,1.01
label_delta__strong_support__weakly_undemanding,0.002,0.003,247.0,144.0,1.0
label_delta__weak_support__moderately_demanding,0.002,0.002,266.0,116.0,1.01
label_delta__weak_support__moderately_undemanding,0.003,0.004,209.0,140.0,1.0
label_delta__weak_support__neutral,0.002,0.003,320.0,142.0,1.0
label_delta__weak_support__strongly_undemanding,0.003,0.003,221.0,144.0,0.99
label_delta__weak_support__weakly_undemanding,0.003,0.003,151.0,50.0,0.99
label_delta__weak_undermining__neutral,0.003,0.003,188.0,136.0,0.99
