prob_bin,n,mean_posterior_p,empirical_z_rate,mean_brier,mean_neg_log_score
"[0.0, 0.1)",32,0.020708294570657097,0.125,0.11339794272951798,0.4273566956440249
"[0.1, 0.2)",14,0.15071206315847854,0.7857142857142857,0.5599900879144434,1.4852827543170037
"[0.2, 0.3)",9,0.25348712140494833,0.6666666666666666,0.4023140723668239,1.040621209794457
"[0.3, 0.4)",2,0.37601068969565915,1.0,0.38963887510925216,0.9791154892488518
"[0.4, 0.5)",4,0.45881179064137334,1.0,0.2934930061897636,0.7805961013305478
"[0.5, 0.6)",3,0.5333193504537855,1.0,0.2180997269745347,0.6291727404378306
"[0.6, 0.7)",3,0.6607705863040246,1.0,0.11689208314429307,0.4164926602715644
"[0.7, 0.8)",6,0.7620953673128402,0.6666666666666666,0.20638465688590657,0.5933871402679606
"[0.8, 0.9)",6,0.8338656066453102,0.8333333333333334,0.13787509349237018,0.44612411375081124
"[0.9, 1.0)",21,0.9712415513820906,0.9523809523809523,0.04495824546952644,0.17977661026108546
