dgp,fit,leaf,nuisance_truth,design,estimand,parameter,kind,support,demandingness,truth,posterior_mean,posterior_median,posterior_p03,posterior_p97,signed_error,abs_error,squared_error,interval_includes_truth
exact_latent_tree,full_exact_tree,three_state_binomial_2,exact_tree_production_medians,current_gwt_rater_design,label_beta,beta_abs__moderate_support__moderately_demanding,beta_abs,moderate support,moderately demanding,0.32484646175833376,0.09767782308682381,0.09381307751890161,0.05878746435286341,0.14216169752639402,-0.23103338423943215,0.23103338423943215,0.05337642463312509,False
exact_latent_tree,full_exact_tree,three_state_binomial_2,exact_tree_production_medians,current_gwt_rater_design,label_beta,beta_abs__moderate_support__moderately_undemanding,beta_abs,moderate support,moderately undemanding,0.6389513159466798,0.10776522531326065,0.10549912612671836,0.058850720868618964,0.1705970858109582,-0.5334521898199613,0.5334521898199613,0.28457123882371205,False
exact_latent_tree,full_exact_tree,three_state_binomial_2,exact_tree_production_medians,current_gwt_rater_design,label_beta,beta_abs__moderate_support__neutral,beta_abs,moderate support,neutral,0.4019584778791272,0.1206678277012262,0.11579553350401339,0.06600656688308998,0.19799189244118376,-0.2861629443751138,0.2861629443751138,0.08188923073343447,False
exact_latent_tree,full_exact_tree,three_state_binomial_2,exact_tree_production_medians,current_gwt_rater_design,label_beta,beta_abs__moderate_support__strongly_demanding,beta_abs,moderate support,strongly demanding,0.12155430769091663,0.09933250184896011,0.09896505463048774,0.0576888100220155,0.14916705089272558,-0.022589253060428888,0.022589253060428888,0.0005102743538280959,True
exact_latent_tree,full_exact_tree,three_state_binomial_2,exact_tree_production_medians,current_gwt_rater_design,label_beta,beta_abs__moderate_support__weakly_demanding,beta_abs,moderate support,weakly demanding,0.2863762716993723,0.10219913965810963,0.10035619583828664,0.06456126607649416,0.15571237267330468,-0.18602007586108565,0.18602007586108565,0.03460346862336406,False
exact_latent_tree,full_exact_tree,three_state_binomial_2,exact_tree_production_medians,current_gwt_rater_design,label_beta,beta_abs__moderate_support__weakly_undemanding,beta_abs,moderate support,weakly undemanding,0.3912527556246291,0.10805206981482132,0.10430130456478408,0.06836352965146632,0.1700345642542331,-0.286951451059845,0.286951451059845,0.08234113526535061,False
exact_latent_tree,full_exact_tree,three_state_binomial_2,exact_tree_production_medians,current_gwt_rater_design,label_beta,beta_abs__strong_support__moderately_demanding,beta_abs,strong support,moderately demanding,0.21587260411564355,0.1237768492950515,0.12291120617855794,0.07788565010429342,0.176493295106325,-0.0929613979370856,0.0929613979370856,0.008641821506417183,False
exact_latent_tree,full_exact_tree,three_state_binomial_2,exact_tree_production_medians,current_gwt_rater_design,label_beta,beta_abs__strong_support__moderately_undemanding,beta_abs,strong support,moderately undemanding,0.5886514926336597,0.09940410227058268,0.09616242977053585,0.060311534137640566,0.15074222292450024,-0.4924890628631238,0.4924890628631238,0.24254547703979792,False
exact_latent_tree,full_exact_tree,three_state_binomial_2,exact_tree_production_medians,current_gwt_rater_design,label_beta,beta_abs__strong_support__neutral,beta_abs,strong support,neutral,0.3996914320701517,0.10382937220989481,0.10136563689244851,0.06188746767362513,0.16222670362487673,-0.2983257951777032,0.2983257951777032,0.08899828006840892,False
exact_latent_tree,full_exact_tree,three_state_binomial_2,exact_tree_production_medians,current_gwt_rater_design,label_beta,beta_abs__strong_support__strongly_demanding,beta_abs,strong support,strongly demanding,0.10156225083779936,0.11301614302991406,0.10912330370838622,0.07109134241838302,0.17040430996549172,0.007561052870586851,0.007561052870586851,5.716952051180967e-05,True
exact_latent_tree,full_exact_tree,three_state_binomial_2,exact_tree_production_medians,current_gwt_rater_design,label_beta,beta_abs__strong_support__weakly_demanding,beta_abs,strong support,weakly demanding,0.32993929915827946,0.11041408460922682,0.10601588305161751,0.06085217108064923,0.1851172605096749,-0.22392341610666194,0.22392341610666194,0.05014169628087727,False
