system,node_key,indicator,top_feature,depth,n_ratings,chi2,kl,cov94,obs_p0,obs_p1,obs_p2,obs_p3,obs_p4,obs_p5,obs_p6,pred_p0,pred_p1,pred_p2,pred_p3,pred_p4,pred_p5,pred_p6
2024 Leading Chat LLMs,Global Workspace Theory > Coherence > Common Representational Scheme > Authoritative Representational Scheme,Authoritative Representational Scheme,Coherence,3,3,7.747986669507326,1.122492234339219,True,0.3333333333333333,0.0,0.0,0.0,0.6666666666666666,0.0,0.0,0.2564797889162341,0.08246960526316248,0.10353399782044163,0.16196367872129525,0.14111827684142483,0.13027677237289342,0.12415788006454845
2024 Leading Chat LLMs,Global Workspace Theory > Coherence > Autonomous Subparts > Conflicting Subparts,Conflicting Subparts,Coherence,3,4,12.051223898370788,1.3894907408990476,False,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24920218080105427,0.08122266004173717,0.10265078119808115,0.16215217795035197,0.14256504870270684,0.13324827558993635,0.12895887571613235
2024 Leading Chat LLMs,Global Workspace Theory > Coherence > Common Representational Scheme > Distinguishes Self-Produced from Other-Produced Behavior,Distinguishes Self-Produced from Other-Produced Behavior,Coherence,3,4,14.918778451273868,1.458877867871695,False,0.0,0.0,0.0,0.0,0.0,0.25,0.75,0.24494784016622723,0.08094626069239519,0.10238361487198945,0.162188112811422,0.1433672149164119,0.13425343224345834,0.1319135242980959
2024 Leading Chat LLMs,Global Workspace Theory > Coherence > Autonomous Subparts > Functional Subparts,Functional Subparts,Coherence,3,4,6.3305237903039115,0.8835899184861559,True,0.0,0.0,0.0,0.25,0.5,0.25,0.0,0.24239219193262126,0.08038545158456513,0.10203828904933916,0.16231924492228028,0.14399221761318542,0.1354624943279037,0.13341011057010504
2024 Leading Chat LLMs,Global Workspace Theory > Coherence > Autonomous Subparts > Information Transfer,Information Transfer,Coherence,3,4,3.361310105449141,0.5285360535983784,True,0.25,0.25,0.0,0.25,0.25,0.0,0.0,0.25045198272310276,0.08153500217126826,0.10287480295145073,0.16212297454497426,0.1424576394798413,0.1326706790043859,0.12788691912497682
2024 Leading Chat LLMs,Global Workspace Theory > Coherence > Autonomous Subparts > Information Transfer Architecture,Information Transfer Architecture,Coherence,3,3,8.811494996483816,1.3704609208695258,False,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2539898633401678,0.0819158738852187,0.1031873372582697,0.16207882914682642,0.1417065303656639,0.13143690974790712,0.1256846562559464
2024 Leading Chat LLMs,Global Workspace Theory > Coherence > Autonomous Subparts > Learning Transfer,Learning Transfer,Coherence,3,3,9.312352608050135,1.4119907187462526,True,0.0,0.3333333333333333,0.0,0.6666666666666666,0.0,0.0,0.0,0.24786067363854897,0.08119202801058355,0.1027313717520181,0.16246572482079258,0.14303454901185425,0.1335663161242295,0.12914933664197303
2024 Leading Chat LLMs,Global Workspace Theory > Coherence > Social Coherence > Persistence Seeking,Persistence Seeking,Coherence,3,4,7.704214716458585,1.068745419286369,True,0.0,0.25,0.25,0.5,0.0,0.0,0.0,0.24518697238031467,0.08088256004306893,0.10229026299936629,0.16209325546614856,0.14329169942445746,0.13424146126738576,0.1320137884192584
2024 Leading Chat LLMs,Global Workspace Theory > Coherence > Point of View > Perspective-relative Representations,Perspective-relative Representations,Coherence,3,3,4.091861490028569,0.7980778846537535,True,0.3333333333333333,0.0,0.3333333333333333,0.0,0.0,0.3333333333333333,0.0,0.24536447886089768,0.08083513492709285,0.10242449952656128,0.16228247095762457,0.14347520789362272,0.13446777858542214,0.13115042924877862
2024 Leading Chat LLMs,Global Workspace Theory > Coherence > Point of View > Stable Personality,Stable Personality,Coherence,3,4,6.300024157051699,0.9120028272094783,True,0.75,0.0,0.0,0.25,0.0,0.0,0.0,0.2569896167741204,0.082469662295098,0.10341180897345088,0.16183255366855012,0.1409350346756972,0.13007953206067507,0.12428179155240833
