scenario,indicator,delta_j_med,q_high_med,q_low_med,ppc_value,obs_value
a_posterior,Information Transfer,0.048883752567063725,0.6570410453601889,0.6017513995093495,,
a_posterior,Learning Transfer,0.05324775728927464,0.5376880606751224,0.47870070286709826,,
a_posterior,Functional Subparts,0.05786931562239041,0.5257895035201419,0.4610753025526041,,
a_posterior,Information Transfer Architecture,0.06722576993743774,0.4654419860176021,0.39466029661724494,,
a_posterior,Conflicting Subparts,0.06308739127251428,0.3477208143643543,0.27991950071601956,,
a_posterior,PPC_E_cross_Human_pred_right_mean,,,,0.40149788244756657,0.86
a_posterior,PPC_E_cross_ELIZA_pred_left_mean,,,,0.2995588090082065,0.96
b_reset_abs,Information Transfer,-0.0020661064871570966,0.6740906306639571,0.6740066431641552,,
b_reset_abs,Learning Transfer,-0.002245309897545707,0.5573462735836494,0.5583791093568793,,
b_reset_abs,Functional Subparts,-0.0013419518472970262,0.6423953167238118,0.6478595820662354,,
b_reset_abs,Information Transfer Architecture,-0.0028267944712896025,0.48833235997085545,0.4921751064784148,,
b_reset_abs,Conflicting Subparts,-0.0027364803383507718,0.37069503198274,0.376277455359097,,
b_reset_abs,PPC_E_cross_Human_pred_right_mean,,,,0.4154494292774057,0.86
b_reset_abs,PPC_E_cross_ELIZA_pred_left_mean,,,,0.2702446329328821,0.96
c_reset_pres,Information Transfer,0.032547366179794,0.6329211487970537,0.5987421871338784,,
c_reset_pres,Learning Transfer,0.03589162819594038,0.5122608176224901,0.4753061755616792,,
c_reset_pres,Functional Subparts,0.03931321644632494,0.49959672127153953,0.45744202087674823,,
c_reset_pres,Information Transfer Architecture,0.04483654743483529,0.4368355989155418,0.39067684071911096,,
c_reset_pres,Conflicting Subparts,0.04183566262185656,0.32323379274591024,0.2765816374157609,,
c_reset_pres,PPC_E_cross_Human_pred_right_mean,,,,0.39927146627689136,0.86
c_reset_pres,PPC_E_cross_ELIZA_pred_left_mean,,,,0.29987865450688705,0.96
d_reset_both,Information Transfer,-0.020025880282128122,0.6508156872666426,0.6713363532207817,,
d_reset_both,Learning Transfer,-0.022200103126953995,0.5320779226273598,0.5545707342244739,,
d_reset_both,Functional Subparts,-0.014072073494669657,0.6319806152940446,0.6460522386141163,,
d_reset_both,Information Transfer Architecture,-0.02719172009251731,0.4604818645353789,0.4882499317688934,,
d_reset_both,Conflicting Subparts,-0.02572032578539192,0.34647012063706434,0.37284216444376184,,
d_reset_both,PPC_E_cross_Human_pred_right_mean,,,,0.4133036344469182,0.86
d_reset_both,PPC_E_cross_ELIZA_pred_left_mean,,,,0.2704932823971808,0.96
