fit,cell,tail,n_obs,obs,pred_mean,pred_lo,pred_hi,delta
baseline_3s,E_cross × Human,right,50,0.86,0.6321599999999999,0.46,0.78,-0.22784000000000004
baseline_3s,E_cross × ELIZA,left,50,0.96,0.61572,0.46,0.76,-0.3442799999999999
baseline_3s,E_chickenB × Chicken,right,46,0.15217391304347827,0.3286521739130435,0.21739130434782608,0.45652173913043476,0.17647826086956525
baseline_3s,E_llmC × 2024 Leading Chat LLMs,right,48,0.08333333333333333,0.1963333333333333,0.125,0.2916666666666667,0.11299999999999998
pool_3s,E_cross × Human,right,50,0.86,0.6966399999999999,0.54,0.82,-0.16336000000000006
pool_3s,E_cross × ELIZA,left,50,0.96,0.7034400000000001,0.54,0.84,-0.2565599999999999
pool_3s,E_chickenB × Chicken,right,46,0.15217391304347827,0.2926086956521739,0.1956521739130435,0.41304347826086957,0.14043478260869563
pool_3s,E_llmC × 2024 Leading Chat LLMs,right,48,0.08333333333333333,0.19324999999999998,0.125,0.27145833333333275,0.10991666666666665
pool_3s_abs_by_sd,E_cross × Human,right,50,0.86,0.6536799999999999,0.49939999999999996,0.8,-0.20632000000000006
pool_3s_abs_by_sd,E_cross × ELIZA,left,50,0.96,0.63636,0.48,0.78,-0.3236399999999999
pool_3s_abs_by_sd,E_chickenB × Chicken,right,46,0.15217391304347827,0.31782608695652176,0.21673913043478257,0.43478260869565216,0.1656521739130435
pool_3s_abs_by_sd,E_llmC × 2024 Leading Chat LLMs,right,48,0.08333333333333333,0.19491666666666665,0.10416666666666667,0.2916666666666667,0.11158333333333333
