fit,rank,node_name,n_children,q_v_med,max_delta_product,n_obs_subtree,score
pool_3s,1,Selective Attention,5,0.5395909446697199,0.40936813610902045,91,9.254733929248985
pool_3s,2,Coherence,4,0.44501393522851707,0.28187794291021506,99,6.8921064609410605
pool_3s,3,Complexity,3,0.6225514697365913,0.45574508168064487,61,6.532581353382301
pool_3s,4,Modularity,6,0.3964890742795515,0.39546686810602805,48,4.542215165952871
pool_3s,5,Autonomous Subparts,5,0.38774584393742695,0.31176048219076746,37,2.738430239622483
pool_3s_abs_by_sd,1,Selective Attention,5,0.5271351091392817,0.3482636765743879,91,7.899663378088345
pool_3s_abs_by_sd,2,Complexity,3,0.6656999067018502,0.45641487158870575,61,6.195903080737865
pool_3s_abs_by_sd,3,Coherence,4,0.4360210594314648,0.17804763521180805,99,4.334527450108617
pool_3s_abs_by_sd,4,Modularity,6,0.39702133011437113,0.3401910225607381,48,3.9091278589259524
pool_3s_abs_by_sd,5,Representationality,4,0.8922931351198575,0.45641487158870575,58,2.5441265886031754
baseline_3s,1,Selective Attention,5,0.5194874218100434,0.32644303065190994,91,7.415297688467833
baseline_3s,2,Complexity,3,0.7270043823463188,0.4376868909169659,61,5.298904330307546
baseline_3s,3,Coherence,4,0.4405553498442837,0.1586691762133616,99,3.8715544010425247
baseline_3s,4,Modularity,6,0.36245963511133983,0.25984775686645356,48,2.882222771538853
baseline_3s,5,Representationality,4,0.910820508084201,0.36277745990950117,58,1.7090945274484597
