sigma_pool,depth,n_indicators_at_depth,delta_j_median,delta_j_mean,delta_j_p1,delta_j_p99,anchor_separation_mean,anchor_separation_p1,anchor_separation_p99,n_sign_flip_per_draw_mean,frac_sign_flip
0.25,2,9,0.05201344213223915,0.09017827416486282,-0.012677704451223924,0.3915348116508638,,,,,
0.25,3,41,0.031081331631187405,0.036809330005205414,-0.035275632619998075,0.1543269754156304,,,,,
0.25,ALL,50,0.03526346382675892,0.04641573995394375,-0.032931577780313734,0.2999695418369418,0.04632290847403586,0.02261536158070493,0.07442263068231164,5.8804,0.11760799999999999
0.5,2,9,0.05437975020690641,0.08933438594271696,-0.059387937676412934,0.4729113231126544,,,,,
0.5,3,41,0.021559501242302298,0.03528281432550294,-0.05727494364260645,0.2073257095092653,,,,,
0.5,ALL,50,0.02587520181954306,0.04501209721660147,-0.05777407041359835,0.31833576632473054,0.04492207302216826,0.005690152686479237,0.10238575190423013,9.461,0.18922
0.75,2,9,0.04962505160694837,0.08847183829987307,-0.10831626316088741,0.5463374603666241,,,,,
0.75,3,41,0.014157168865137678,0.033226489241515486,-0.09078352290819072,0.2648534604455555,,,,,
0.75,ALL,50,0.017932150695379546,0.04317065207201985,-0.09511895869537101,0.36696549748355584,0.04308431076787581,-0.0031172231484982455,0.12649427553052706,13.0863,0.261726
1.0,2,9,0.04230704453566858,0.08792766689853922,-0.1636738534582617,0.6143737209525174,,,,,
1.0,3,41,0.008646743079779615,0.030985440948509593,-0.1329840644131188,0.3223437093370313,,,,,
1.0,ALL,50,0.01171503485970064,0.041235041619514926,-0.14016827585702832,0.4205957804369311,0.04115257153627589,-0.009221485525599604,0.14733189419794376,15.9409,0.318818
