fit,indicator,delta_j_med,delta_j_lo,delta_j_hi,Pr_pos,Pr_abs_lt_001,Pr_abs_lt_002,Pr_all_pos
pool_3s,Functional Subparts,0.05786931562239041,-0.02029455327959333,0.18551540682800713,0.90025,0.103625,0.190375,
pool_3s,Conflicting Subparts,0.06308739127251428,-0.0283929876074287,0.18085397552930588,0.90025,0.08325,0.158875,
pool_3s,Information Transfer,0.048883752567063725,-0.02277902529784293,0.1469234493508977,0.900125,0.105375,0.20825,
pool_3s,Learning Transfer,0.05324775728927464,-0.024492963458059607,0.16264918588663096,0.900125,0.102375,0.1905,
pool_3s,Information Transfer Architecture,0.06722576993743774,-0.029885902044487194,0.1910705607661349,0.90025,0.08,0.14725,
pool_3s,CLUSTER_MEAN,0.06007402663048403,-0.025437627101526094,0.16547766681554194,0.90025,0.08875,0.166625,0.899875
pool_3s_abs_by_sd,Functional Subparts,0.004750123705376253,-0.06922689912501596,0.09186392725626574,0.562,0.24725,0.433,
pool_3s_abs_by_sd,Conflicting Subparts,0.008353752244366224,-0.09420821120654033,0.12275226221966178,0.561625,0.15525,0.296375,
pool_3s_abs_by_sd,Information Transfer,0.0025232523448064223,-0.04948536301122752,0.0686273407279656,0.56125,0.378125,0.608875,
pool_3s_abs_by_sd,Learning Transfer,0.003752761771673942,-0.06575695920046977,0.09025044836180558,0.5605,0.283625,0.485125,
pool_3s_abs_by_sd,Information Transfer Architecture,0.005989521628984332,-0.07838009352559426,0.10651827568289032,0.561375,0.20775,0.378375,
pool_3s_abs_by_sd,CLUSTER_MEAN,0.006283401914144708,-0.06701269819306242,0.08756114585849406,0.561625,0.20675,0.38925,0.531875
