prob_bin,n,mean_posterior_p,empirical_z_rate,mean_brier,mean_neg_log_score
"[0.0, 0.1)",34,0.018672700963279665,0.14705882352941177,0.13592062262074353,0.5307226753412001
"[0.1, 0.2)",14,0.14155246281534156,0.8571428571428571,0.6281452237832447,1.6802581459452148
"[0.2, 0.3)",5,0.23374082142895092,0.6,0.3806031963980648,0.9980247896791216
"[0.3, 0.4)",3,0.3107773455845863,0.6666666666666666,0.34455655137075114,0.8931797908053771
"[0.4, 0.5)",2,0.4492990103823232,1.0,0.3035996927940016,0.8008800117457737
"[0.5, 0.6)",4,0.5470720521167766,1.0,0.20550765868692236,0.6037856291408314
"[0.6, 0.7)",4,0.6418271263203092,1.0,0.12928131057881898,0.444628568000741
"[0.7, 0.8)",6,0.7570586989970941,0.6666666666666666,0.24225846104374651,0.6897369895164936
"[0.8, 0.9)",6,0.8542352016878034,0.8333333333333334,0.14140160766379306,0.4591062668539914
"[0.9, 1.0)",22,0.976245919823063,0.9545454545454546,0.0445089649495914,0.1983048348369775
