dgp,fit,leaf,nuisance_truth,design,estimand,system,node_key,node_name,node_type,top_feature,depth,fanout,subtree_indicator_count,subtree_rating_count,z_true,prior_p_z1,posterior_p_z1,prior_entropy,posterior_entropy,entropy_reduction,relative_entropy_reduction,brier,log_score,neg_log_score
exact_latent_tree,full_exact_tree,three_state_binomial_2,exact_tree_production_medians,current_gwt_rater_design,internal_z_probability,Human,Global Workspace Theory > Representationality,Representationality,feature,Representationality,1,4,8,8,1,0.9249619188927626,0.9648318722303385,0.2664801241977445,0.1522717040530236,0.11420842014472088,0.4285813829025811,0.001236797210823236,-0.035801418490248905,0.035801418490248905
exact_latent_tree,full_exact_tree,three_state_binomial_2,exact_tree_production_medians,current_gwt_rater_design,internal_z_probability,Human,Global Workspace Theory > Representationality > Conceptual Representations,Conceptual Representations,feature,Representationality,2,3,3,3,1,0.81855749032424,0.9988964961989836,0.47357379847331393,0.008616944402388424,0.4649568540709255,0.9818044316848454,1.217720638857699e-06,-0.0011041131096266774,0.0011041131096266774
exact_latent_tree,full_exact_tree,three_state_binomial_2,exact_tree_production_medians,current_gwt_rater_design,internal_z_probability,Human,Global Workspace Theory > Representationality > Propositional Representations,Propositional Representations,feature,Representationality,2,1,1,1,1,0.8165595731648473,0.6884127006183276,0.47657047011926423,0.6203648093329994,-0.1437943392137352,-0.3017273377801816,0.09708664513596395,-0.3733667653403233,0.3733667653403233
exact_latent_tree,full_exact_tree,three_state_binomial_2,exact_tree_production_medians,current_gwt_rater_design,internal_z_probability,Human,Global Workspace Theory > Representationality > World Modelling,World Modelling,feature,Representationality,2,2,2,2,1,0.7456809635581148,0.04707130028186751,0.5670305359962824,0.18979985766400936,0.37723067833227303,0.6652740097488264,0.9080731067464908,-3.056091799521751,3.056091799521751
exact_latent_tree,full_exact_tree,three_state_binomial_2,exact_tree_production_medians,current_gwt_rater_design,internal_z_probability,Human,Global Workspace Theory > Representationality > Isomorphic Representations,Isomorphic Representations,feature,Representationality,2,2,2,2,1,0.7162153362665447,0.9969536513609814,0.5964923590428877,0.020691673800373688,0.5758006852425139,0.9653110832239747,9.280240030450767e-06,-0.0030509982042327215,0.0030509982042327215
exact_latent_tree,full_exact_tree,three_state_binomial_2,exact_tree_production_medians,current_gwt_rater_design,internal_z_probability,Human,Global Workspace Theory > Hierarchical Organization,Hierarchical Organization,feature,Hierarchical Organization,1,1,1,1,1,0.8263271266737368,0.7074696831924135,0.46166248881619654,0.6044017668928805,-0.14273927807668396,-0.3091853497621144,0.0855739862515469,-0.34606050099428765,0.34606050099428765
exact_latent_tree,full_exact_tree,three_state_binomial_2,exact_tree_production_medians,current_gwt_rater_design,internal_z_probability,Human,Global Workspace Theory > Coherence,Coherence,feature,Coherence,1,4,13,13,1,0.7972391007321977,0.9877380348711277,0.5042061037076643,0.06615448977072706,0.4380516139369372,0.8687947462669292,0.00015035578882168133,-0.012337763283492256,0.012337763283492256
exact_latent_tree,full_exact_tree,three_state_binomial_2,exact_tree_production_medians,current_gwt_rater_design,internal_z_probability,Human,Global Workspace Theory > Coherence > Autonomous Subparts,Autonomous Subparts,feature,Coherence,2,5,5,5,0,0.46309688116658304,9.612035341192251e-05,0.6904210219852163,0.000985220301018584,0.6894358016841977,0.9985730152042798,9.239122340032883e-09,-9.61249732691021e-05,9.61249732691021e-05
exact_latent_tree,full_exact_tree,three_state_binomial_2,exact_tree_production_medians,current_gwt_rater_design,internal_z_probability,Human,Global Workspace Theory > Coherence > Point of View,Point of View,feature,Coherence,2,2,2,2,1,0.7035965231190177,0.9934049265229928,0.6077861072562275,0.039689993331189215,0.5680961139250383,0.9346974324399013,4.349499416712335e-05,-0.006616917067114282,0.006616917067114282
exact_latent_tree,full_exact_tree,three_state_binomial_2,exact_tree_production_medians,current_gwt_rater_design,internal_z_probability,Human,Global Workspace Theory > Coherence > Common Representational Scheme,Common Representational Scheme,feature,Coherence,2,3,3,3,1,0.6568612638872846,0.9787527876122,0.6430954647884466,0.10285414138900414,0.5402413233994424,0.8400639609193338,0.00045144403425228304,-0.02147618354610991,0.02147618354610991
