dgp,fit,leaf,nuisance_truth,design,estimand,system,top_feature,category,rating_count,observed_count,observed_proportion,pred_count_mean,pred_count_p03,pred_count_p97,pred_prop_mean,pred_prop_p03,pred_prop_p97,prop_error,interval_includes_observed_prop
exact_latent_tree,full_exact_tree,three_state_binomial_2,exact_tree_production_medians,current_gwt_rater_design,observed_scale_feature_block,2024 Leading Chat LLMs,Coherence,0,48,14.0,0.2916666666666667,14.3825,7.0,22.0,0.29963541666666665,0.14583333333333334,0.4583333333333333,0.007968749999999969,True
exact_latent_tree,full_exact_tree,three_state_binomial_2,exact_tree_production_medians,current_gwt_rater_design,observed_scale_feature_block,2024 Leading Chat LLMs,Coherence,1,48,5.0,0.10416666666666667,3.801,1.0,8.0,0.0791875,0.020833333333333332,0.16666666666666666,-0.024979166666666677,True
exact_latent_tree,full_exact_tree,three_state_binomial_2,exact_tree_production_medians,current_gwt_rater_design,observed_scale_feature_block,2024 Leading Chat LLMs,Coherence,2,48,3.0,0.0625,4.186,1.0,8.0,0.08720833333333335,0.020833333333333332,0.16666666666666666,0.024708333333333346,True
exact_latent_tree,full_exact_tree,three_state_binomial_2,exact_tree_production_medians,current_gwt_rater_design,observed_scale_feature_block,2024 Leading Chat LLMs,Coherence,3,48,9.0,0.1875,6.337,2.0,11.0,0.13202083333333334,0.041666666666666664,0.22916666666666666,-0.05547916666666666,True
exact_latent_tree,full_exact_tree,three_state_binomial_2,exact_tree_production_medians,current_gwt_rater_design,observed_scale_feature_block,2024 Leading Chat LLMs,Coherence,4,48,8.0,0.16666666666666666,5.4935,2.0,10.0,0.11444791666666668,0.041666666666666664,0.20833333333333334,-0.05221874999999998,True
exact_latent_tree,full_exact_tree,three_state_binomial_2,exact_tree_production_medians,current_gwt_rater_design,observed_scale_feature_block,2024 Leading Chat LLMs,Coherence,5,48,5.0,0.10416666666666667,5.66625,2.0,11.0,0.118046875,0.041666666666666664,0.22916666666666666,0.013880208333333324,True
exact_latent_tree,full_exact_tree,three_state_binomial_2,exact_tree_production_medians,current_gwt_rater_design,observed_scale_feature_block,2024 Leading Chat LLMs,Coherence,6,48,4.0,0.08333333333333333,8.13375,3.0,15.0,0.169453125,0.0625,0.3125,0.08611979166666668,True
exact_latent_tree,full_exact_tree,three_state_binomial_2,exact_tree_production_medians,current_gwt_rater_design,observed_scale_feature_block,2024 Leading Chat LLMs,Complexity,0,30,6.0,0.2,9.116,4.0,15.0,0.3038666666666667,0.13333333333333333,0.5,0.10386666666666666,True
exact_latent_tree,full_exact_tree,three_state_binomial_2,exact_tree_production_medians,current_gwt_rater_design,observed_scale_feature_block,2024 Leading Chat LLMs,Complexity,1,30,1.0,0.03333333333333333,2.38225,0.0,6.0,0.07940833333333333,0.0,0.2,0.046075,True
exact_latent_tree,full_exact_tree,three_state_binomial_2,exact_tree_production_medians,current_gwt_rater_design,observed_scale_feature_block,2024 Leading Chat LLMs,Complexity,2,30,5.0,0.16666666666666666,2.66075,0.0,6.0,0.08869166666666668,0.0,0.2,-0.07797499999999997,True
exact_latent_tree,full_exact_tree,three_state_binomial_2,exact_tree_production_medians,current_gwt_rater_design,observed_scale_feature_block,2024 Leading Chat LLMs,Complexity,3,30,3.0,0.1,3.967,1.0,8.0,0.13223333333333334,0.03333333333333333,0.26666666666666666,0.032233333333333336,True
exact_latent_tree,full_exact_tree,three_state_binomial_2,exact_tree_production_medians,current_gwt_rater_design,observed_scale_feature_block,2024 Leading Chat LLMs,Complexity,4,30,2.0,0.06666666666666667,3.40775,0.0,7.0,0.11359166666666669,0.0,0.23333333333333334,0.04692500000000002,True
exact_latent_tree,full_exact_tree,three_state_binomial_2,exact_tree_production_medians,current_gwt_rater_design,observed_scale_feature_block,2024 Leading Chat LLMs,Complexity,5,30,7.0,0.23333333333333334,3.483,0.0,7.0,0.11610000000000001,0.0,0.23333333333333334,-0.11723333333333333,True
exact_latent_tree,full_exact_tree,three_state_binomial_2,exact_tree_production_medians,current_gwt_rater_design,observed_scale_feature_block,2024 Leading Chat LLMs,Complexity,6,30,6.0,0.2,4.98325,1.0,10.0,0.16610833333333336,0.03333333333333333,0.3333333333333333,-0.03389166666666665,True
exact_latent_tree,full_exact_tree,three_state_binomial_2,exact_tree_production_medians,current_gwt_rater_design,observed_scale_feature_block,2024 Leading Chat LLMs,Hierarchical Organization,0,3,0.0,0.0,0.951,0.0,3.0,0.317,0.0,1.0,0.317,True
