prob_bin,n,mean_posterior_p,empirical_z_rate,mean_brier,mean_neg_log_score
"[0.0, 0.1)",27,0.012637908986872991,0.07407407407407407,0.06699272891028557,0.2345747917340587
"[0.1, 0.2)",9,0.14580998837785072,0.4444444444444444,0.33766915931814073,0.9494472398035234
"[0.2, 0.3)",3,0.25973117555010367,0.6666666666666666,0.40084577399939775,1.0413520664459088
"[0.3, 0.4)",7,0.35804733863060695,0.5714285714285714,0.3011652056560173,0.8010633476735359
"[0.4, 0.5)",2,0.46339866564772253,1.0,0.28798515865240637,0.7692703952908744
"[0.5, 0.6)",2,0.5613094491851528,0.5,0.2557136347827665,0.7046914758030312
"[0.6, 0.7)",1,0.61201124772987,1.0,0.1505352718881323,0.4910046179951177
"[0.7, 0.8)",2,0.7790846462431766,0.5,0.3284783939780214,0.8815209906922054
"[0.8, 0.9)",8,0.8529580446752472,1.0,0.022399121667853263,0.15958340290451484
"[0.9, 1.0)",39,0.982422720719637,0.9487179487179487,0.05195770026868697,0.3009960779882223
