dgp,fit,leaf,nuisance_truth,design,estimand,system,top_feature,category,rating_count,observed_count,observed_proportion,pred_count_mean,pred_count_p03,pred_count_p97,pred_prop_mean,pred_prop_p03,pred_prop_p97,prop_error,interval_includes_observed_prop
exact_latent_tree,full_exact_tree,three_state_binomial_2,exact_tree_production_medians,current_gwt_rater_design,observed_scale_feature_block,2024 Leading Chat LLMs,Coherence,0,48,266.0,5.541666666666667,18.99725,7.0,29.0,0.39577604166666663,0.14583333333333334,0.6041666666666666,-5.145890625000001,False
exact_latent_tree,full_exact_tree,three_state_binomial_2,exact_tree_production_medians,current_gwt_rater_design,observed_scale_feature_block,2024 Leading Chat LLMs,Coherence,1,48,98.0,2.0416666666666665,3.04475,0.0,7.0,0.06343229166666667,0.0,0.14583333333333334,-1.9782343749999998,False
exact_latent_tree,full_exact_tree,three_state_binomial_2,exact_tree_production_medians,current_gwt_rater_design,observed_scale_feature_block,2024 Leading Chat LLMs,Coherence,2,48,71.0,1.4791666666666667,2.423,0.0,6.0,0.050479166666666665,0.0,0.125,-1.4286875,False
exact_latent_tree,full_exact_tree,three_state_binomial_2,exact_tree_production_medians,current_gwt_rater_design,observed_scale_feature_block,2024 Leading Chat LLMs,Coherence,3,48,117.0,2.4375,3.6235,1.0,8.0,0.07548958333333335,0.020833333333333332,0.16666666666666666,-2.3620104166666667,False
exact_latent_tree,full_exact_tree,three_state_binomial_2,exact_tree_production_medians,current_gwt_rater_design,observed_scale_feature_block,2024 Leading Chat LLMs,Coherence,4,48,180.0,3.75,4.77725,1.0,9.0,0.09952604166666666,0.020833333333333332,0.1875,-3.6504739583333334,False
exact_latent_tree,full_exact_tree,three_state_binomial_2,exact_tree_production_medians,current_gwt_rater_design,observed_scale_feature_block,2024 Leading Chat LLMs,Coherence,5,48,94.0,1.9583333333333333,4.4165,1.0,9.0,0.09201041666666666,0.020833333333333332,0.1875,-1.8663229166666666,False
exact_latent_tree,full_exact_tree,three_state_binomial_2,exact_tree_production_medians,current_gwt_rater_design,observed_scale_feature_block,2024 Leading Chat LLMs,Coherence,6,48,134.0,2.7916666666666665,10.71775,3.0,22.0,0.22328645833333335,0.0625,0.4583333333333333,-2.568380208333333,False
exact_latent_tree,full_exact_tree,three_state_binomial_2,exact_tree_production_medians,current_gwt_rater_design,observed_scale_feature_block,2024 Leading Chat LLMs,Complexity,0,30,122.0,4.066666666666666,12.00175,3.0,20.0,0.40005833333333335,0.1,0.6666666666666666,-3.666608333333333,False
exact_latent_tree,full_exact_tree,three_state_binomial_2,exact_tree_production_medians,current_gwt_rater_design,observed_scale_feature_block,2024 Leading Chat LLMs,Complexity,1,30,46.0,1.5333333333333334,1.8885,0.0,5.0,0.06294999999999999,0.0,0.16666666666666666,-1.4703833333333334,False
exact_latent_tree,full_exact_tree,three_state_binomial_2,exact_tree_production_medians,current_gwt_rater_design,observed_scale_feature_block,2024 Leading Chat LLMs,Complexity,2,30,44.0,1.4666666666666666,1.44075,0.0,4.0,0.04802499999999999,0.0,0.13333333333333333,-1.4186416666666666,False
exact_latent_tree,full_exact_tree,three_state_binomial_2,exact_tree_production_medians,current_gwt_rater_design,observed_scale_feature_block,2024 Leading Chat LLMs,Complexity,3,30,85.0,2.8333333333333335,2.2105,0.0,5.0,0.07368333333333334,0.0,0.16666666666666666,-2.75965,False
exact_latent_tree,full_exact_tree,three_state_binomial_2,exact_tree_production_medians,current_gwt_rater_design,observed_scale_feature_block,2024 Leading Chat LLMs,Complexity,4,30,109.0,3.6333333333333333,2.92875,0.0,6.0,0.097625,0.0,0.2,-3.5357083333333335,False
exact_latent_tree,full_exact_tree,three_state_binomial_2,exact_tree_production_medians,current_gwt_rater_design,observed_scale_feature_block,2024 Leading Chat LLMs,Complexity,5,30,91.0,3.033333333333333,2.7045,0.0,6.0,0.09015000000000001,0.0,0.2,-2.9431833333333333,False
