index,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
a,0.083,0.045,8.0,28.0,1.49
kappa[0],0.282,0.162,7.0,31.0,1.53
kappa[1],0.312,0.179,7.0,28.0,1.53
kappa[2],0.331,0.19,7.0,29.0,1.53
kappa[3],0.355,0.204,7.0,29.0,1.53
kappa[4],0.373,0.214,7.0,28.0,1.53
kappa[5],0.378,0.216,7.0,28.0,1.53
chicken__global_workspace_theory_C,0.002,0.003,4508.0,2286.0,1.01
2024_leading_chat_llms__global_workspace_theory_C,0.02,0.003,60.0,1203.0,1.05
beta_pres__moderate_support__moderately_demanding,0.011,0.001,14.0,35.0,1.2
beta_pres__moderate_support__moderately_undemanding,0.0,0.001,6674.0,2597.0,1.0
beta_pres__moderate_support__neutral,0.003,0.001,113.0,1595.0,1.03
beta_pres__moderate_support__strongly_demanding,0.0,0.001,6707.0,2873.0,1.0
beta_pres__moderate_support__weakly_demanding,0.002,0.001,263.0,2923.0,1.02
beta_pres__moderate_support__weakly_undemanding,0.0,0.001,7749.0,2940.0,1.0
beta_pres__strong_support__moderately_demanding,0.0,0.001,7427.0,2543.0,1.0
beta_pres__strong_support__moderately_undemanding,0.0,0.001,6779.0,3140.0,1.0
beta_pres__strong_support__neutral,0.0,0.001,5562.0,2426.0,1.0
beta_pres__strong_support__strongly_demanding,0.0,0.001,6202.0,2669.0,1.0
beta_pres__strong_support__weakly_demanding,0.002,0.001,132.0,1767.0,1.02
beta_pres__strong_support__weakly_undemanding,0.003,0.001,105.0,1135.0,1.03
beta_pres__weak_support__moderately_demanding,0.0,0.001,6158.0,2144.0,1.0
beta_pres__weak_support__moderately_undemanding,0.003,0.001,84.0,1476.0,1.03
beta_pres__weak_support__neutral,0.0,0.0,4922.0,2480.0,1.0
beta_pres__weak_support__strongly_undemanding,0.0,0.0,6364.0,2922.0,1.0
beta_pres__weak_support__weakly_undemanding,0.002,0.0,134.0,1819.0,1.03
beta_pres__weak_undermining__neutral,0.002,0.001,250.0,3039.0,1.02
beta_abs__moderate_support__moderately_demanding,0.012,0.002,9.0,35.0,1.33
beta_abs__moderate_support__moderately_undemanding,0.007,0.001,23.0,67.0,1.11
beta_abs__moderate_support__neutral,0.007,0.001,22.0,132.0,1.12
beta_abs__moderate_support__strongly_demanding,0.0,0.0,3998.0,2997.0,1.01
beta_abs__moderate_support__weakly_demanding,0.001,0.001,759.0,2904.0,1.01
beta_abs__moderate_support__weakly_undemanding,0.004,0.001,77.0,2347.0,1.04
beta_abs__strong_support__moderately_demanding,0.003,0.0,117.0,2724.0,1.03
beta_abs__strong_support__moderately_undemanding,0.007,0.001,28.0,91.0,1.09
beta_abs__strong_support__neutral,0.003,0.0,151.0,2849.0,1.02
beta_abs__strong_support__strongly_demanding,0.0,0.0,4864.0,3083.0,1.0
beta_abs__strong_support__weakly_demanding,0.0,0.001,5679.0,2935.0,1.0
beta_abs__strong_support__weakly_undemanding,0.005,0.001,39.0,578.0,1.06
beta_abs__weak_support__moderately_demanding,0.0,0.0,4910.0,2874.0,1.0
beta_abs__weak_support__moderately_undemanding,0.0,0.001,5377.0,2857.0,1.0
beta_abs__weak_support__neutral,0.0,0.001,5147.0,2820.0,1.0
beta_abs__weak_support__strongly_undemanding,0.004,0.001,63.0,1786.0,1.04
beta_abs__weak_support__weakly_undemanding,0.004,0.001,62.0,305.0,1.04
beta_abs__weak_undermining__neutral,0.0,0.001,5185.0,2919.0,1.0
label_delta__moderate_support__moderately_demanding,0.023,0.008,8.0,30.0,1.4
label_delta__moderate_support__moderately_undemanding,0.008,0.001,35.0,106.0,1.08
label_delta__moderate_support__neutral,0.01,0.001,20.0,58.0,1.13
label_delta__moderate_support__strongly_demanding,0.001,0.001,4393.0,2915.0,1.0
label_delta__moderate_support__weakly_demanding,0.004,0.001,90.0,2177.0,1.03
label_delta__moderate_support__weakly_undemanding,0.003,0.001,150.0,3225.0,1.02
label_delta__strong_support__moderately_demanding,0.001,0.001,978.0,2407.0,1.01
label_delta__strong_support__moderately_undemanding,0.006,0.001,56.0,1386.0,1.05
label_delta__strong_support__neutral,0.004,0.001,124.0,1988.0,1.02
label_delta__strong_support__strongly_demanding,0.001,0.001,4706.0,2425.0,1.0
label_delta__strong_support__weakly_demanding,0.004,0.001,122.0,1635.0,1.03
label_delta__strong_support__weakly_undemanding,0.008,0.001,26.0,123.0,1.09
label_delta__weak_support__moderately_demanding,0.0,0.001,6282.0,2923.0,1.0
label_delta__weak_support__moderately_undemanding,0.004,0.001,116.0,2208.0,1.03
label_delta__weak_support__neutral,0.001,0.001,4486.0,2832.0,1.0
label_delta__weak_support__strongly_undemanding,0.002,0.001,270.0,2533.0,1.02
label_delta__weak_support__weakly_undemanding,0.007,0.001,41.0,153.0,1.06
label_delta__weak_undermining__neutral,0.001,0.001,1930.0,2922.0,1.01
