seed,system,truth_R,truth_C,post_mean_C,post_mean_rho_collapsed,post_mean_rho_full,post_mean_log_B,rho_implied_from_meanC,post_sd_C
20260511,Chicken,1,,0.2816132717797092,0.985998572588115,0.9858559702966052,7.037433738927982,0.9712929024579644,0.15656483140136884
20260512,Chicken,0,,0.14503232837426247,0.003481888810227063,0.0037470799580509207,-4.877878339782806,0.015226298619837264,0.12477080875629012
20260513,Chicken,1,,0.21031403739276214,0.4778223304489019,0.4798596922222697,1.4957942905802493,0.472198261749335,0.15454806530113335
20260514,Chicken,0,,0.15207881655870892,0.05199241903757873,0.05136338617273383,-1.8571443205389955,0.06455171591096232,0.13036440459642903
20260515,Chicken,1,,0.283851860547981,0.9703738781635182,0.970115937608389,6.017714321997704,0.9869630238358671,0.16255731803390303
20260516,Chicken,0,,0.14251440687641326,0.015565846020505746,0.01535357229801972,-3.479792287778954,-0.0023991518651071964,0.12133440683533402
20260517,Chicken,1,,0.2783822591416136,0.9528299540091926,0.9534881820834404,5.193716937371646,0.948675813991295,0.15824949696564122
20260518,Chicken,0,,0.14384265289315903,0.006316496405884397,0.006161600402456246,-4.210586493172678,0.0068985702521131564,0.12498677632413131
20260519,Chicken,1,,0.27719458412905024,0.9427660735822561,0.9438820220948198,5.3096909770680725,0.9403620889033517,0.16155839324955742
20260520,Chicken,0,,0.14339837615549117,0.01804157329917219,0.017717746316274444,-2.963750849504132,0.0037886330884382424,0.12271638689532477
20260511,ELIZA,0,,0.0010000000000000005,0.0007102996122452363,3.5629501047504257e-06,-6.406303705577828,-0.993,4.336808689942018e-19
20260512,ELIZA,0,,0.0010000000000000005,0.007121576178926697,3.79956677611076e-05,-4.537028001798908,-0.993,4.336808689942018e-19
20260513,ELIZA,0,,0.0010000000000000005,0.030503640554959546,0.00016550406310586788,-2.3834327218049376,-0.993,4.336808689942018e-19
20260514,ELIZA,0,,0.0010000000000000005,0.029915254475733365,0.00015883511705734948,-2.2653104062032225,-0.993,4.336808689942018e-19
20260515,ELIZA,0,,0.0010000000000000005,0.01112165678283969,5.711675959705252e-05,-3.3946666037754754,-0.993,4.336808689942018e-19
20260516,ELIZA,0,,0.0010000000000000005,0.006882467778058439,3.5430511608738045e-05,-4.240668800413951,-0.993,4.336808689942018e-19
20260517,ELIZA,0,,0.0010000000000000005,0.007189882407389572,3.6900921152084707e-05,-4.070409523652902,-0.993,4.336808689942018e-19
20260518,ELIZA,0,,0.0010000000000000005,0.8792769225203296,0.08546392113241558,4.002758168347506,-0.993,4.336808689942018e-19
20260519,ELIZA,0,,0.0010000000000000005,0.04162314513833792,0.00023403442642212164,-2.0752645556199,-0.993,4.336808689942018e-19
20260520,ELIZA,0,,0.0010000000000000005,0.00927506150510219,4.7469098835702564e-05,-3.58654690185268,-0.993,4.336808689942018e-19
20260511,Human,1,,0.9990000000000002,0.9852620229302788,0.9999968751955585,6.762492369390624,5.993000000000001,2.220446049250313e-16
20260512,Human,1,,0.9990000000000002,0.9636922185519725,0.9999918942466564,5.529418753739995,5.993000000000001,2.220446049250313e-16
20260513,Human,1,,0.9990000000000002,0.7849964561902567,0.999918807534601,3.3272388145010683,5.993000000000001,2.220446049250313e-16
20260514,Human,1,,0.9990000000000002,0.6514326632559132,0.9998271106549118,2.4027856290519622,5.993000000000001,2.220446049250313e-16
20260515,Human,1,,0.9990000000000002,0.8020356307706049,0.9999311997679166,3.491363844502522,5.993000000000001,2.220446049250313e-16
20260516,Human,1,,0.9990000000000002,0.771358653794181,0.9998838884860468,3.3393090054423666,5.993000000000001,2.220446049250313e-16
20260517,Human,1,,0.9990000000000002,0.9718582195180044,0.9999937935920925,5.9864648588394935,5.993000000000001,2.220446049250313e-16
20260518,Human,1,,0.9990000000000002,0.8219559788237645,0.9999488820985325,3.4359330297179027,5.993000000000001,2.220446049250313e-16
20260519,Human,1,,0.9990000000000002,0.965915428740068,0.9999923814628175,5.71919986063138,5.993000000000001,2.220446049250313e-16
20260520,Human,1,,0.9990000000000002,0.4766275243521101,0.9996466916321474,1.5023720655483512,5.993000000000001,2.220446049250313e-16
20260511,LLMs (2024),0,,0.14018394598842387,0.0007882340561387496,0.0007486351698476614,-6.804889235375575,-0.018712378081032877,0.12210080655484574
20260512,LLMs (2024),1,,0.1485936347173198,0.036765040188918685,0.03661774430181843,-2.339730513691057,0.040155443021238524,0.12940889213909687
20260513,LLMs (2024),0,,0.14057940353869963,0.0014019769300231911,0.0014948591262081087,-6.274145895413585,-0.01594417522910252,0.12324902970964362
20260514,LLMs (2024),1,,0.15384920457654636,0.07887030197364973,0.07962192346760981,-1.3216040230315478,0.07694443203582457,0.13277579029770764
20260515,LLMs (2024),0,,0.14219035116217293,0.0005273475220355992,0.0005078824978146046,-7.24110530623337,-0.0046675418647894595,0.12140635532493496
20260516,LLMs (2024),1,,0.2820392182883016,0.9691537346905117,0.9681153950503127,5.994035854638956,0.9742745280181111,0.16433460474247483
20260517,LLMs (2024),0,,0.1412485194888276,0.0026065139049471294,0.002383259278653709,-5.191819740284049,-0.0112603635782067,0.12201181986659046
20260518,LLMs (2024),1,,0.22231865169676246,0.5383601013574584,0.539270549132173,1.8347113117809477,0.5562305618773373,0.16198161005082953
20260519,LLMs (2024),0,,0.14407386016650986,0.004666934401032727,0.0047449176646298195,-4.32138807288822,0.008517021165568961,0.12716926669489834
20260520,LLMs (2024),1,,0.15251662793389847,0.0533670638557696,0.05459612515325165,-1.7478715240740936,0.06761639553728926,0.13329294724918114
