alternative,J,K,C_true,n,RMSE,mean_abs_error,mean_bias,median_contraction,coverage_80,coverage_95,median_post_sd
direct_q_continuous_observation,4,1,0.05,200,0.10246432947915773,0.09235053867315267,0.09235053867315267,0.8831438530287008,0.98,0.995,0.12439879748742369
direct_q_continuous_observation,4,1,0.1,200,0.07204708535396034,0.04992923066702022,0.04992923066702022,0.8831438530287008,1.0,1.0,0.12439879748742369
direct_q_continuous_observation,4,1,0.25,200,0.0951690990504619,0.08539834991604767,-0.06935766164867817,0.8831438530287008,0.775,1.0,0.12439879748742369
direct_q_continuous_observation,4,1,0.5,200,0.27723777224466384,0.26651399886021593,-0.26651399886021593,1.069952016208265,0.3,0.69,0.1507124164756283
direct_q_continuous_observation,4,1,0.75,200,0.45710993639455144,0.44949176227716287,-0.44949176227716287,1.204662004295965,0.0,0.0,0.16968753640675288
direct_q_continuous_observation,4,5,0.05,200,0.07183775127429444,0.05600834657009373,0.05572076896090652,0.5863491047558212,0.955,0.99,0.0825925734401065
direct_q_continuous_observation,4,5,0.1,200,0.06410574919352913,0.04643953239163172,0.030286068577637076,0.5863491047558212,0.955,1.0,0.0825925734401065
direct_q_continuous_observation,4,5,0.25,200,0.09719529263606351,0.08276859327317537,-0.03903834933382209,0.777816501070197,0.77,0.99,0.10956248754625411
direct_q_continuous_observation,4,5,0.5,200,0.17625881215719513,0.14798208430563997,-0.14053313332072342,0.8770575683354908,0.57,0.83,0.12354148925343111
direct_q_continuous_observation,4,5,0.75,200,0.2386594359518481,0.2207113633096039,-0.2207113633096039,0.8607892515265813,0.2,0.515,0.12124994972537756
direct_q_continuous_observation,4,20,0.05,200,0.04613455919487393,0.032441597454798424,0.02469425255765258,0.3222472131595851,0.835,0.96,0.04539143387937176
direct_q_continuous_observation,4,20,0.1,200,0.045928794505315486,0.035884725213827295,0.005526760211345264,0.3936977658652109,0.845,0.985,0.055455890316349045
direct_q_continuous_observation,4,20,0.25,200,0.07184875947257521,0.057268481706738456,-0.018503715854702504,0.48431702314029373,0.74,0.93,0.0682204321240781
direct_q_continuous_observation,4,20,0.5,200,0.07798811042845268,0.0627876324662379,-0.042447955943207105,0.5167411786151703,0.825,0.925,0.07278766761667325
direct_q_continuous_observation,4,20,0.75,200,0.09494107473347387,0.07876075908592016,-0.07407110563566181,0.481919061939531,0.61,0.85,0.06788265760549501
direct_q_continuous_observation,16,1,0.05,200,0.08237299854717785,0.061688645806146934,0.061688645806146934,0.5090443558477213,0.935,0.98,0.07170350053170645
direct_q_continuous_observation,16,1,0.1,200,0.06642501919325094,0.045043014517225595,0.028473797911467588,0.6057125618768413,0.97,0.995,0.08532009146878704
direct_q_continuous_observation,16,1,0.25,200,0.09716264277037073,0.08160623813283731,-0.04217345380014291,0.798683575585372,0.835,0.98,0.11250180368129364
direct_q_continuous_observation,16,1,0.5,200,0.19703750926984,0.17262238229475355,-0.16673176244496213,0.9365096188275898,0.565,0.74,0.13191584815771978
direct_q_continuous_observation,16,1,0.75,200,0.28325104684821256,0.2644728652860028,-0.2644728652860028,0.9365096188275898,0.18,0.565,0.13191584815771978
direct_q_continuous_observation,16,5,0.05,200,0.043242773685111494,0.029287999978437326,0.021895772153289878,0.3222472131595851,0.885,0.975,0.04539143387937176
