rung,rung_description,beta_profile,replicate_id,replicate_seed,system,system_raw,root_z_true,log_L0,log_L1,log_B_eff,rho,evidence_category,correct_sign,decisive_for_true_root,log_score_improvement,brier_improvement,n_top_children,n_top_present,log_B_top_latent,log_B_top_min,log_B_top_max,top_latent_category,n_observed_leaves,n_observed_ratings,n_raters
1P,"actual tree, production beta, binary noisy leaves, clamped beta",production_prior_mean,0,20260511,Chicken,Chicken,1,-80.39129790792768,-78.52762095056819,1.8636769573594876,0.5632195978301996,moderate_present,True,True,1.2176737917680742,0.503667324724832,7,6,2.808727768855654,-6.400011321753554,5.293634418643655,moderate_present,50,300,6
1P,"actual tree, production beta, binary noisy leaves, clamped beta",production_prior_mean,0,20260511,LLMs,2024 Leading Chat LLMs,0,-79.64658803394549,-78.68333631023378,0.9632517237117071,0.3438494848832402,ambiguous,False,False,-0.23904351578674232,-0.09045469047669184,7,5,1.7478558081703919,-6.400011321753554,5.293634418643655,moderate_present,50,300,6
1P,"actual tree, production beta, binary noisy leaves, clamped beta",production_prior_mean,1,20260512,Chicken,Chicken,0,-114.6363655399068,-114.66290011552874,-0.026534575621937506,0.1630138320692781,ambiguous,True,False,0.004373822394994009,0.0012042683318669728,7,4,-2.4487676031721275,-6.400011321753554,5.293634418643655,moderate_absent,50,300,6
1P,"actual tree, production beta, binary noisy leaves, clamped beta",production_prior_mean,1,20260512,LLMs,2024 Leading Chat LLMs,1,-119.57532031513391,-120.12273661007028,-0.5474162949363688,0.10369245818459913,ambiguous,False,False,-0.4745664244092649,-0.10892276507072196,7,4,-1.062473242052237,-6.400011321753554,5.293634418643655,ambiguous,50,300,6
1P,"actual tree, production beta, binary noisy leaves, clamped beta",production_prior_mean,2,20260513,Chicken,Chicken,1,-105.57743574762094,-103.97327057663212,1.6041651709888214,0.49868181769266584,ambiguous,True,False,1.0959724427242024,0.443124524532515,7,5,0.03613904661587286,-6.400011321753554,5.293634418643655,ambiguous,50,300,6
1P,"actual tree, production beta, binary noisy leaves, clamped beta",production_prior_mean,2,20260513,LLMs,2024 Leading Chat LLMs,0,-103.13359975661466,-102.01892463443917,1.114675122175484,0.3787722195631727,ambiguous,False,False,-0.2937359113134139,-0.11569061653503453,7,4,-0.7747911696004544,-6.400011321753554,5.293634418643655,ambiguous,50,300,6
1P,"actual tree, production beta, binary noisy leaves, clamped beta",production_prior_mean,3,20260514,Chicken,Chicken,0,-99.33128743695634,-100.04172074516421,-0.7104333082078682,0.08949055197761231,ambiguous,True,False,0.08857055366632062,0.019769218884520046,7,1,-5.994546213645391,-6.400011321753554,5.293634418643655,strong_absent,50,300,6
1P,"actual tree, production beta, binary noisy leaves, clamped beta",production_prior_mean,3,20260514,LLMs,2024 Leading Chat LLMs,1,-100.88216346415537,-101.49873356901608,-0.6165701048607133,0.09743915121851228,ambiguous,False,False,-0.5367677166420903,-0.12017164130871494,7,5,1.4224334077357634,-6.400011321753554,5.293634418643655,ambiguous,50,300,6
1P,"actual tree, production beta, binary noisy leaves, clamped beta",production_prior_mean,4,20260515,Chicken,Chicken,1,-89.44717045211414,-88.63543825130266,0.8117322008114769,0.3105165031861325,ambiguous,True,False,0.6222412405649358,0.21905695206576614,7,4,-0.6570081339440725,-6.400011321753554,5.293634418643655,ambiguous,50,300,6
1P,"actual tree, production beta, binary noisy leaves, clamped beta",production_prior_mean,4,20260515,LLMs,2024 Leading Chat LLMs,0,-86.1128961506079,-87.09695279392123,-0.9840566433133375,0.06955827502009122,ambiguous,True,False,0.11022572429177918,0.02293942415400713,7,3,-4.933674252960128,-6.400011321753554,5.293634418643655,strong_absent,50,300,6
