rung,rung_description,beta_profile,system,n_cases,n_replicates,median_log_B_eff_R1,median_log_B_eff_R0,mean_log_B_eff_R1,mean_log_B_eff_R0,mean_rho_R1,mean_rho_R0,p_correct_sign_R1,p_correct_sign_R0,p_decisive_R1,p_decisive_R0,TPR_at_rho_gt_0p5,TNR_at_rho_le_0p5,balanced_accuracy,balanced_log_score_improvement,balanced_brier_improvement,evidence_margin_M,evidence_margin_ci_low,evidence_margin_ci_high,pass_fail_label,median_log_B_top_R1,median_log_B_top_R0,survival_R1,survival_R0_signed,abs_survival_R0,loss_R1,loss_R0
1P,"actual tree, production beta, binary noisy leaves, clamped beta",production_prior_mean,ALL,1000,500,0.5006547557737804,-0.5178247354536154,0.4645685723163825,-0.4630029132085866,0.2753190311426659,0.14726688043094707,0.702,0.672,0.098,0.202,0.098,0.994,0.546,0.15373748356823383,0.06787564032821237,-1.10878315666032,-1.2179648257769333,-0.9767724660468573,fail,2.808727768855654,-3.141914783732073,0.1782496549951367,0.16481183326001148,0.16481183326001148,-2.3080730130818736,2.6240900482784575
1P,"actual tree, production beta, binary noisy leaves, clamped beta",production_prior_mean,Chicken,500,500,0.42142257804979977,-0.43960741893739197,0.467516683606221,-0.39546297470338493,0.27670329860031995,0.15506748562208833,0.7,0.664,0.124,0.172,0.124,0.988,0.556,0.14778670871335328,0.06621535316306194,-1.1880153343843005,-1.2611409400682263,-0.966946528935704,fail,2.808727768855654,-3.141914783732073,0.15004037868059314,0.13991704078466807,0.13991704078466807,-2.3873051908058542,2.702307364794681
1P,"actual tree, production beta, binary noisy leaves, clamped beta",production_prior_mean,LLMs,500,500,0.562428794720752,-0.5855291945573455,0.4616204610265439,-0.5305428517137885,0.27393476368501196,0.1394662752398058,0.704,0.68,0.072,0.232,0.072,1.0,0.536,0.15968825842311438,0.06953592749336283,-1.0470091177133483,-1.1814423094004909,-0.9255634279005747,fail,2.6648867326297636,-3.2219574914056093,0.21105166978925818,0.1817308875487066,0.1817308875487066,-2.1024579379090116,2.6364282968482637
1X,"actual tree, extreme beta, binary noisy leaves, clamped beta",extreme_0p9_0p1,ALL,1000,500,10.198377026146801,-10.318397632401755,10.170138291067236,-9.979142658488273,0.9695266664477954,0.007527290950546033,0.984,0.99,0.974,0.98,0.974,0.992,0.983,0.9372781539552381,0.34919105482500157,8.588939113712701,8.474869555959819,9.020798067625911,pass,10.986122886681098,-10.986122886681098,0.9282962817128769,0.9392210280945562,0.9392210280945562,-0.7877458605342973,0.6677252542793433
1X,"actual tree, extreme beta, binary noisy leaves, clamped beta",extreme_0p9_0p1,Chicken,500,500,10.199535241319573,-10.336160571030724,10.089655272902572,-9.85333234259247,0.9686487174810586,0.008937506631636016,0.988,0.988,0.972,0.976,0.972,0.992,0.982,0.9418784768336869,0.34920013744144923,8.590097328885474,8.366842834017806,9.34246402826702,pass,10.986122886681098,-10.986122886681098,0.9284017070011901,0.9408378804465816,0.9408378804465816,-0.786587645361525,0.6499623156503738
1X,"actual tree, extreme beta, binary noisy leaves, clamped beta",extreme_0p9_0p1,LLMs,500,500,10.198377026146801,-10.311892781042019,10.250621309231905,-10.10495297438408,0.9704046154145323,0.00611707526945605,0.98,0.992,0.976,0.984,0.976,0.992,0.984,0.9326778310767894,0.34918197220855407,8.588939113712701,8.42519742724678,8.994101128193153,pass,13.183347464017318,-10.986122886681098,0.7735802347607307,0.9386289310074554,0.9386289310074554,-2.9849704378705173,0.6742301056390794
3,"actual tree, binary latent leaf with clamped ordinal-probit emission",production_prior_mean,ALL,1000,500,0.501404774960406,-0.5164526643075362,0.461379704779042,-0.4639293386245893,0.2748563852194167,0.14700141485937135,0.702,0.67,0.098,0.208,0.098,0.994,0.546,0.15267130778610644,0.06762495958670656,-1.1080331374736943,-1.2171846196371632,-0.9726552823315309,fail,2.808727768855654,-3.141914783732073,0.17851668663663012,0.16437513422756686,0.16437513422756686,-2.307322993895248,2.6254621194245367
3,"actual tree, binary latent leaf with clamped ordinal-probit emission",production_prior_mean,Chicken,500,500,0.42191357162693066,-0.43768532554364015,0.4619930946198191,-0.3993271262811162,0.27575617552745507,0.15458014676998913,0.696,0.66,0.124,0.18,0.124,0.988,0.556,0.14603264894133144,0.06565167005459698,-1.1875243408071696,-1.2607588913313748,-1.010191962354825,fail,2.808727768855654,-3.141914783732073,0.1502151886363942,0.13930528218328783,0.13930528218328783,-2.3868141972287233,2.7042294581884327
3,"actual tree, binary latent leaf with clamped ordinal-probit emission",production_prior_mean,LLMs,500,500,0.562699599167388,-0.5825323768619342,0.4607663149382649,-0.5285315509680625,0.27395659491137825,0.13942268294875357,0.708,0.68,0.072,0.236,0.072,1.0,0.536,0.15930996663088146,0.06959824911881615,-1.0467383132667123,-1.1809953551640753,-0.9253352520562067,fail,2.6648867326297636,-3.2219574914056093,0.21115328928524657,0.18080076426079691,0.18080076426079691,-2.1021871334623756,2.639425114543675
4,"actual tree, production three-state leaf with clamped ordinal nuisance",production_prior_mean,ALL,1000,500,0.8120744840410907,-0.6578311046976637,0.7129973684203982,-0.6954947583643549,0.33509029705771853,0.13708217278347198,0.734,0.74,0.248,0.31,0.248,0.972,0.61,0.2209552447779141,0.09918064163762753,-0.7973634283930096,-0.9184080552360903,-0.6982273053835086,fail,2.808727768855654,-3.141914783732073,0.2891253801972949,0.20937267557469194,0.20937267557469194,-1.9966532848145633,2.484083679034409
