edge_profile,observation_model,n_replicates,median_log_B_R1,median_log_B_R0,q05_log_B_R1,q95_log_B_R1,q05_log_B_R0,q95_log_B_R0,balanced_accuracy,balanced_log_score_improvement,evidence_margin_M,pass_fail_label,survival_R1_vs_top,abs_survival_R0_vs_top
all_extreme_0p9_0p1,binary_noisy_K6,500,10.397902144484082,-10.274521832891836,3.4235750875376065,14.47042233872318,-14.484678347011078,-3.3402630531517663,0.99,0.9578028762535755,8.788464232049982,pass,0.6760413147526231,0.7793560672610016
all_extreme_0p9_0p1,binary_perfect_leaf,500,10.397336748405936,-10.284046034412755,3.423560587185346,14.473058997757501,-14.484686785965563,-3.3483953873729324,0.99,0.9578623995116569,8.787898835971836,pass,0.6760045543462724,0.7800785090798883
all_production_prior_mean,binary_noisy_K6,500,0.5601195229047704,-0.6375038674465827,-1.2008997202845635,1.8429174716513592,-1.9205555660898064,1.0799895263714203,0.552,0.17602073906400417,-1.0493183895293299,fail,0.19942107922156413,0.20290297838356203
all_production_prior_mean,binary_perfect_leaf,500,0.5637446813210492,-0.6340864069899883,-1.1921285259976557,1.83971242320883,-1.924986582307841,1.0789236176665238,0.552,0.1761020831424554,-1.0456932311130511,fail,0.20071175554002973,0.20181527846429972
strong_top_features_only_extreme_lower,binary_noisy_K6,500,2.509239762278334,-2.4597112904838454,-0.9277795590590839,4.8773790629438745,-5.517351721872139,1.3727855489071787,0.831,0.5943368593763291,0.8998018498442335,pass,0.8933723624275132,0.7828701475990119
strong_top_features_only_extreme_lower,binary_perfect_leaf,500,2.509019320827001,-2.459541089723018,-0.9277765654565849,4.877379525860859,-5.514539045622956,1.3733718009705165,0.831,0.5942655384543475,0.8995814083929006,pass,0.893293877978512,0.7828159765687508
top_extreme_lower_production,binary_noisy_K6,500,2.797620828247105,-3.0035815958880505,-1.1136805341147045,5.468334225354957,-6.0780754521777105,1.181324922029436,0.836,0.6060072799598888,1.1881829158130046,pass,0.18189315850705548,0.22783148241264506
top_extreme_lower_production,binary_perfect_leaf,500,2.8106471173316088,-3.004752013413853,-1.1130007917918647,5.488853588975375,-6.078320468109273,1.1609231570247884,0.833,0.6060394079444938,1.2012092048975085,pass,0.18274008988577664,0.22792026240793814
top_production_lower_extreme,binary_noisy_K6,500,2.7020438697246405,-2.529523217975182,-0.7960325379720301,4.968225893742957,-5.47557037321438,1.3701457684395892,0.828,0.5970501397410187,1.0926059572905402,pass,0.9620170027462366,0.8050896959625775
top_production_lower_extreme,binary_perfect_leaf,500,2.6940899557437437,-2.5293976010852575,-0.7982223180581305,4.967894442297741,-5.4756291813681415,1.370161464631794,0.828,0.5969466479754205,1.0846520433096434,pass,0.9591851462491089,0.8050497149641829
weak_top_features_only_extreme_lower,binary_noisy_K6,500,0.5702779068631401,-0.5940736557911919,-1.186285763664366,1.9556952454786978,-2.0416301518913906,1.130066682772405,0.5549999999999999,0.1766414915044591,-1.0391600055709602,fail,0.20303779995577342,0.18908013001088814
weak_top_features_only_extreme_lower,binary_perfect_leaf,500,0.5704566897268819,-0.5931130149726602,-1.151739829368487,1.955431744555672,-2.041630731460691,1.1106490236139865,0.554,0.1767804347400639,-1.0389812227072184,fail,0.20310145256950277,0.18877437989204165
