beta_profile,observation_model,K_or_n_raters,epsilon,n_replicates,median_log_B_R1,median_log_B_R0,balanced_accuracy,balanced_log_score_improvement,evidence_margin_M,pass_fail_label
production_oracle_median,binary_noisy,1,0.05,500,1.3737033770668479,-1.4944377265699416,0.701,0.37966311132138175,-0.23573453536725242,fail
production_oracle_median,binary_noisy,2,0.05,500,1.5488008498631523,-1.674146003039823,0.721,0.40346289383530504,-0.06063706257094803,fail
production_oracle_median,binary_noisy,3,0.05,500,1.6175740655487658,-1.7292771616283318,0.732,0.42165348773922023,0.008136153114665534,fail
production_oracle_median,binary_noisy,6,0.05,500,1.6782963278903367,-1.812903792624411,0.739,0.43161931119171515,0.06885841545623639,fail
production_oracle_median,binary_noisy,12,0.05,500,1.6782320108912216,-1.813410352706029,0.739,0.4322128617548517,0.06879409845712137,fail
production_oracle_median,binary_noisy,30,0.05,500,1.6782319996504782,-1.8134103556587036,0.739,0.4322118500042806,0.06879408721637792,fail
production_oracle_median,binary_noisy,100,0.05,500,1.678231999650336,-1.8134103556586751,0.739,0.4322118500042759,0.06879408721623581,fail
production_oracle_median,binary_noisy,1000,0.05,500,1.6782319996509614,-1.8134103556585615,0.739,0.43221185000437845,0.06879408721686109,fail
production_oracle_median,ordinal_binary,1,,500,1.5705618531821202,-1.721772821484798,0.723,0.42199017574172837,-0.03887605925198012,fail
production_oracle_median,ordinal_binary,2,,500,1.6906750434784854,-1.8151671718917157,0.738,0.4311093260487541,0.08123713104438512,fail
production_oracle_median,ordinal_binary,3,,500,1.678090537131098,-1.809592846175434,0.739,0.4321032239994986,0.06865262469699762,fail
production_oracle_median,ordinal_binary,6,,500,1.6782319996243587,-1.8134103556442227,0.739,0.4322118577295413,0.06879408719025837,fail
production_oracle_median,ordinal_binary,12,,500,1.6782319996504498,-1.8134103556587604,0.739,0.4322118500042731,0.0687940872163495,fail
production_oracle_median,ordinal_binary,30,,500,1.6782319996505066,-1.8134103556587888,0.739,0.43221185000428014,0.06879408721640634,fail
production_oracle_median,ordinal_three_state,1,,500,1.9383867811929534,-1.8522885205911663,0.754,0.4541637462824803,0.3289488687588531,pass
