rung_id,rung,rung_description,sweep_beta_pres,sweep_beta_abs,lower_edge_gap,system,n_cases,median_log_B_eff_R1,median_log_B_eff_R0,M,balanced_accuracy,mean_rho_R1,mean_rho_R0,rho_gap,brier_improvement,log_score_improvement,balanced_accuracy_fail,brier_improvement_fail,log_score_improvement_fail,rho_separation_fail,system_threshold_status,system_threshold_fail_reasons,source_pass_fail_label
L0,L0,"toy depth-2 binary tree, all edges 0.90/0.10, binary noisy leaves",,,,Chicken,500,6.279636649028476,-6.279629940566959,4.670198736594376,0.95,0.8690282769432219,0.034160069100757876,0.834868207842,0.316785657348074,0.8301856636979179,False,False,False,False,pass,,pass
L0,L0,"toy depth-2 binary tree, all edges 0.90/0.10, binary noisy leaves",,,,LLMs,500,6.279640003566775,-6.279650066566596,4.6702020911326745,0.956,0.8768894901958406,0.023979609474005684,0.852909880722,0.31983731287165557,0.8392501770874387,False,False,False,False,pass,,pass
L2,L2,"toy depth-3 binary tree, all edges 0.90/0.10, binary noisy leaves",,,,Chicken,500,4.999361368568101,-4.999315722843146,3.3899234561340004,0.9219999999999999,0.8325826424263421,0.036185755123500585,0.796396887303,0.30655156251780113,0.8048952130052228,False,False,False,False,pass,,pass
L2,L2,"toy depth-3 binary tree, all edges 0.90/0.10, binary noisy leaves",,,,LLMs,500,4.999368454074929,-4.393005780148023,3.058004713448023,0.9179999999999999,0.8346077240745219,0.03773048688438198,0.79687723719,0.301662705837592,0.7901123351319429,False,False,False,False,pass,,pass
L2_sweep__0p43_0p50,L2_sweep,toy depth-3 lower-edge gap sweep with root-to-top edges fixed at 0.90/0.10,0.43,0.5,-0.07,Chicken,500,-0.007322190172308396,-0.007322225755761025,-1.6167601026064087,0.5,0.16676437612955375,0.16687431234012506,-0.000109936210571,2.8535127508444447e-05,1.1444079681003705e-06,True,False,False,True,fail,balanced_accuracy<0.65;mean_rho_R1<=mean_rho_R0+0.20,fail
L2_sweep__0p43_0p50,L2_sweep,toy depth-3 lower-edge gap sweep with root-to-top edges fixed at 0.90/0.10,0.43,0.5,-0.07,LLMs,500,0.003613554646396011,-0.006953348948215421,-1.6058243577877043,0.5,0.16683182395599724,0.16684925236261305,-1.74284066158e-05,8.85818557719853e-05,0.0002224911128503339,True,False,False,True,fail,balanced_accuracy<0.65;mean_rho_R1<=mean_rho_R0+0.20,fail
L2_sweep__0p55_0p45,L2_sweep,toy depth-3 lower-edge gap sweep with root-to-top edges fixed at 0.90/0.10,0.55,0.45,0.1,Chicken,500,-4.801913533469815e-09,-2.4733881254235257e-07,-1.6094379172360138,0.5,0.16688203086661751,0.16634484611874228,0.000537184747875,0.0001596701708845849,0.00013675087318689626,True,False,False,True,fail,balanced_accuracy<0.65;mean_rho_R1<=mean_rho_R0+0.20,fail
L2_sweep__0p55_0p45,L2_sweep,toy depth-3 lower-edge gap sweep with root-to-top edges fixed at 0.90/0.10,0.55,0.45,0.1,LLMs,500,1.7461587731304462e-11,9.638887021878872e-09,-1.6094379124166387,0.5,0.16698286353734185,0.1665201230267059,0.000462740510636,0.000210483642999304,0.0002875628532515144,True,False,False,True,fail,balanced_accuracy<0.65;mean_rho_R1<=mean_rho_R0+0.20,fail
L2_sweep__0p60_0p40,L2_sweep,toy depth-3 lower-edge gap sweep with root-to-top edges fixed at 0.90/0.10,0.6,0.4,0.2,Chicken,500,2.246872298883318e-06,-0.00036638849883630087,-1.6094356655618014,0.5,0.17370941839964424,0.16471084833389227,0.00899857006575,0.005051407764097515,0.012078071210835862,True,False,False,True,fail,balanced_accuracy<0.65;mean_rho_R1<=mean_rho_R0+0.20,fail
L2_sweep__0p60_0p40,L2_sweep,toy depth-3 lower-edge gap sweep with root-to-top edges fixed at 0.90/0.10,0.6,0.4,0.2,LLMs,500,1.0180905150036779e-06,-0.0616958007737729,-1.6094368943435853,0.5,0.17272923463376605,0.16328144720022256,0.00944778743354,0.004341510129839965,0.008054083014029411,True,False,False,True,fail,balanced_accuracy<0.65;mean_rho_R1<=mean_rho_R0+0.20,fail
L2_sweep__0p65_0p35,L2_sweep,toy depth-3 lower-edge gap sweep with root-to-top edges fixed at 0.90/0.10,0.65,0.35,0.3,Chicken,500,0.2604545282659352,-0.26045694314078105,-1.348983384168165,0.5,0.20262975070656133,0.15473171830851934,0.047898032398,0.025794907760259,0.06450958820320489,True,False,False,True,fail,balanced_accuracy<0.65;mean_rho_R1<=mean_rho_R0+0.20,fail
