fit_variant,seed,system,system_raw,node_key,n_obs
targeted_strong_lower_override,20260511,LLMs,2024 Leading Chat LLMs,Global Workspace Theory > Coherence > Autonomous Subparts > Conflicting Subparts,4
targeted_strong_lower_override,20260511,LLMs,2024 Leading Chat LLMs,Global Workspace Theory > Coherence > Autonomous Subparts > Functional Subparts,4
targeted_strong_lower_override,20260511,LLMs,2024 Leading Chat LLMs,Global Workspace Theory > Coherence > Autonomous Subparts > Information Transfer,4
targeted_strong_lower_override,20260511,LLMs,2024 Leading Chat LLMs,Global Workspace Theory > Coherence > Autonomous Subparts > Information Transfer Architecture,3
targeted_strong_lower_override,20260511,LLMs,2024 Leading Chat LLMs,Global Workspace Theory > Coherence > Autonomous Subparts > Learning Transfer,3
targeted_strong_lower_override,20260511,LLMs,2024 Leading Chat LLMs,Global Workspace Theory > Coherence > Common Representational Scheme > Authoritative Representational Scheme,3
targeted_strong_lower_override,20260511,LLMs,2024 Leading Chat LLMs,Global Workspace Theory > Coherence > Common Representational Scheme > Distinguishes Self-Produced from Other-Produced Behavior,4
targeted_strong_lower_override,20260511,LLMs,2024 Leading Chat LLMs,Global Workspace Theory > Coherence > Common Representational Scheme > Unified Egocentric Representations,4
targeted_strong_lower_override,20260511,LLMs,2024 Leading Chat LLMs,Global Workspace Theory > Coherence > Point of View > Perspective-relative Representations,3
targeted_strong_lower_override,20260511,LLMs,2024 Leading Chat LLMs,Global Workspace Theory > Coherence > Point of View > Stable Personality,4
targeted_strong_lower_override,20260511,LLMs,2024 Leading Chat LLMs,Global Workspace Theory > Coherence > Social Coherence > Persistence Seeking,4
targeted_strong_lower_override,20260511,LLMs,2024 Leading Chat LLMs,Global Workspace Theory > Coherence > Social Coherence > Stable Personality,4
targeted_strong_lower_override,20260511,LLMs,2024 Leading Chat LLMs,Global Workspace Theory > Coherence > Social Coherence > Stable Social Interactions,4
targeted_strong_lower_override,20260511,LLMs,2024 Leading Chat LLMs,Global Workspace Theory > Complexity > Functional Diversity > Diversity of Tasks,4
targeted_strong_lower_override,20260511,LLMs,2024 Leading Chat LLMs,Global Workspace Theory > Complexity > Functional Diversity > Variability of Responses to Stimuli,3
targeted_strong_lower_override,20260511,LLMs,2024 Leading Chat LLMs,Global Workspace Theory > Complexity > Informational Complexity > Compressibility,3
targeted_strong_lower_override,20260511,LLMs,2024 Leading Chat LLMs,Global Workspace Theory > Complexity > Informational Complexity > Optimized Componentry,4
targeted_strong_lower_override,20260511,LLMs,2024 Leading Chat LLMs,Global Workspace Theory > Complexity > Structural Complexity > Functional Specialization,4
targeted_strong_lower_override,20260511,LLMs,2024 Leading Chat LLMs,Global Workspace Theory > Complexity > Structural Complexity > Number of Connections,4
targeted_strong_lower_override,20260511,LLMs,2024 Leading Chat LLMs,Global Workspace Theory > Complexity > Structural Complexity > Number of Layers,4
targeted_strong_lower_override,20260511,LLMs,2024 Leading Chat LLMs,Global Workspace Theory > Complexity > Structural Complexity > Number of Nodes,4
targeted_strong_lower_override,20260511,LLMs,2024 Leading Chat LLMs,Global Workspace Theory > Hierarchical Organization > Concrete-Abstract Separation,3
targeted_strong_lower_override,20260511,LLMs,2024 Leading Chat LLMs,Global Workspace Theory > Integration > Holistic Dependency,4
targeted_strong_lower_override,20260511,LLMs,2024 Leading Chat LLMs,Global Workspace Theory > Integration > Wiring Convergence,4
targeted_strong_lower_override,20260511,LLMs,2024 Leading Chat LLMs,Global Workspace Theory > Modularity > Cross-Modal Learning Deficits,4
targeted_strong_lower_override,20260511,LLMs,2024 Leading Chat LLMs,Global Workspace Theory > Modularity > Dedicated Action Systems,4
targeted_strong_lower_override,20260511,LLMs,2024 Leading Chat LLMs,Global Workspace Theory > Modularity > Dedicated Sensory Systems,4
targeted_strong_lower_override,20260511,LLMs,2024 Leading Chat LLMs,Global Workspace Theory > Modularity > Dedicated Speech Systems,4
targeted_strong_lower_override,20260511,LLMs,2024 Leading Chat LLMs,Global Workspace Theory > Modularity > Poorly Intraconnected Networks,4
targeted_strong_lower_override,20260511,LLMs,2024 Leading Chat LLMs,Global Workspace Theory > Modularity > Selective Competence Disruption,4
targeted_strong_lower_override,20260511,LLMs,2024 Leading Chat LLMs,Global Workspace Theory > Representationality > Conceptual Representations > Activation Steering Effects,3
targeted_strong_lower_override,20260511,LLMs,2024 Leading Chat LLMs,Global Workspace Theory > Representationality > Conceptual Representations > Concept-Specific Ablation Effects,4
