seed,metric,refreshed_from_fit_nc,run_summary_json,top_level_summary,abs_refreshed_minus_run_summary,abs_refreshed_minus_top_level
20260511,max_rhat,1.01,1.01,1.04,0.0,0.030000000000000027
20260511,n_rhat_gt_1p01,0.0,0.0,38.0,0.0,38.0
20260511,n_rhat_gt_1p05,0.0,0.0,0.0,0.0,0.0
20260511,min_ess_bulk,2679.0,2679.0,247.0,0.0,2432.0
20260511,min_ess_tail,1569.0,1569.0,80.0,0.0,1489.0
20260511,median_ess_bulk,7631.0,7631.0,761.0,0.0,6870.0
20260511,median_ess_tail,2784.0,2784.0,265.0,0.0,2519.0
20260511,n_divergences,0.0,0.0,0.0,0.0,0.0
20260511,max_tree_depth_hit_rate,0.0,0.0,0.0,0.0,0.0
20260511,runtime_seconds,2210.085331916809,2210.085331916809,1044.3279082775116,0.0,1165.7574236392975
20260512,max_rhat,1.05,1.05,1.05,0.0,0.0
20260512,n_rhat_gt_1p01,57.0,57.0,57.0,0.0,0.0
20260512,n_rhat_gt_1p05,0.0,0.0,0.0,0.0,0.0
20260512,min_ess_bulk,177.0,177.0,177.0,0.0,0.0
20260512,min_ess_tail,56.0,56.0,56.0,0.0,0.0
20260512,median_ess_bulk,992.0,992.0,992.0,0.0,0.0
20260512,median_ess_tail,267.0,267.0,267.0,0.0,0.0
20260512,n_divergences,0.0,0.0,0.0,0.0,0.0
20260512,max_tree_depth_hit_rate,0.0,0.0,0.0,0.0,0.0
20260512,runtime_seconds,900.7038812637329,900.7038812637329,900.7038812637329,0.0,0.0
