seed_idx,rung,rung_id,rung_description,fit_type,replicate_id,seed,sub_seed,system,system_raw,root_z_true,log_L0,log_L1,log_B,log_B_eff,rho_collapsed,rho,brier,log_score,brier_improvement_vs_prior,log_score_improvement_vs_prior,evidence_category,correct_sign,classified_present_at_0p5,brier_improvement,log_score_improvement,sweep_beta_pres,sweep_beta_abs,unique_observation_values,mean_leaf_loglik_z0,mean_leaf_loglik_z1
0,L0,L0,"toy depth-2 binary tree, all edges 0.90/0.10, binary noisy leaves",no_fit_exact_dp,0,20260511,20260511,Chicken,Chicken,1,-12.945056895711664,-8.758593951294921,4.186462944416743,4.186462944416743,0.929368232792429,0.929368232792429,0.004988846538864506,-0.07325024325496296,0.68945559790558,1.718509225973092,moderate_present,True,True,0.68945559790558,1.718509225973092,,,"0,1",-13.18968030017848,-5.092473107470769
0,L0,L0,"toy depth-2 binary tree, all edges 0.90/0.10, binary noisy leaves",no_fit_exact_dp,0,20260511,20260511,LLMs,2024 Leading Chat LLMs,0,-10.851828626683904,-12.945056744559004,-2.0932281178750998,-2.0932281178750998,0.02406432955242093,0.02406432955242093,0.0005790919568075194,-0.024358606167958888,0.027198685820970257,0.15796295062599575,moderate_absent,True,False,0.027198685820970257,0.15796295062599575,,,"0,1",-7.3008023418456,-10.98135106580365
1,L0,L0,"toy depth-2 binary tree, all edges 0.90/0.10, binary noisy leaves",no_fit_exact_dp,1,20260511,21260514,Chicken,Chicken,0,-8.758593800142261,-15.038291571100647,-6.279697770958386,-6.279697770958386,0.00037465295772498477,0.00037465295772498477,1.4036483873207922e-07,-0.0003747231576786452,0.027777637412939045,0.18194683363627598,strong_absent,True,False,0.027777637412939045,0.18194683363627598,,,"0,1",-2.8841438730959386,-15.398009534553312
1,L0,L0,"toy depth-2 binary tree, all edges 0.90/0.10, binary noisy leaves",no_fit_exact_dp,1,20260511,21260514,LLMs,2024 Leading Chat LLMs,1,-21.77802472454142,-17.589143712723605,4.188881011817816,4.188881011817816,0.9295267970937378,0.9295267970937378,0.0049664723278672095,-0.07307964265714108,0.6894779721165774,1.7186798265709138,moderate_present,True,True,0.6894779721165774,1.7186798265709138,,,"0,1",-13.557735172574285,-4.724418235074963
2,L0,L0,"toy depth-2 binary tree, all edges 0.90/0.10, binary noisy leaves",no_fit_exact_dp,2,20260511,22260517,Chicken,Chicken,1,-17.979972120841424,-9.609457591152518,8.370514529688906,8.370514529688906,0.998843357571514,0.998843357571514,1.3378217073740146e-06,-0.0011573118555813359,0.6944431066227371,1.7906021573724735,strong_present,True,True,0.6944431066227371,1.7906021573724735,,,"0,1",-17.238283896532337,-1.0438695111169134
2,L0,L0,"toy depth-2 binary tree, all edges 0.90/0.10, binary noisy leaves",no_fit_exact_dp,2,20260511,22260517,LLMs,2024 Leading Chat LLMs,0,-10.851828475531242,-15.038291419947988,-4.186462944416746,-4.186462944416746,0.0030307770626522347,0.0030307770626522347,9.185609603498908e-06,-0.0030353791684440785,0.027768592168174278,0.17928617762551055,strong_absent,True,False,0.027768592168174278,0.17928617762551055,,,"0,1",-5.092473107470769,-13.18968030017848
3,L0,L0,"toy depth-2 binary tree, all edges 0.90/0.10, binary noisy leaves",no_fit_exact_dp,3,20260511,23260520,Chicken,Chicken,0,-20.535999662857098,-26.813211387588005,-6.277211724730908,-6.277211724730908,0.00037558517075762896,0.00037558517075762896,1.4106422049303731e-07,-0.00037565572053339485,0.027777636713557284,0.18194590107342123,strong_absent,True,False,0.027777636713557284,0.18194590107342123,,,"0,1",-4.356363362679159,-13.925790044970089
3,L0,L0,"toy depth-2 binary tree, all edges 0.90/0.10, binary noisy leaves",no_fit_exact_dp,3,20260511,23260520,LLMs,2024 Leading Chat LLMs,1,-12.945063453225547,-10.85182191801736,2.093241535208188,2.093241535208188,0.6186456417350306,0.6186456417350306,0.14543114656768666,-0.4802226391460771,0.5490132978767579,1.3115368300819779,moderate_present,True,True,0.5490132978767579,1.3115368300819779,,,"0,1",-11.71746081059526,-6.564692597053988
4,L0,L0,"toy depth-2 binary tree, all edges 0.90/0.10, binary noisy leaves",no_fit_exact_dp,4,20260511,24260523,Chicken,Chicken,1,-12.093860395163134,-3.720921088996556,8.372939306166577,8.372939306166577,0.9988461555411998,0.9988461555411998,1.331357035103879e-06,-0.0011545106498209146,0.6944431130874095,1.790604958578234,strong_present,True,True,0.6944431130874095,1.790604958578234,,,1,-17.974393641323946,-0.3077597663253032
4,L0,L0,"toy depth-2 binary tree, all edges 0.90/0.10, binary noisy leaves",no_fit_exact_dp,4,20260511,24260523,LLMs,2024 Leading Chat LLMs,0,-12.553895626909242,-20.9244034479316,-8.370507821022358,-8.370507821022358,4.631743731189016e-05,4.631743731189016e-05,2.145304999140875e-09,-4.631850999751256e-05,0.027777775632472777,0.18227523828395711,strong_absent,True,False,0.027777775632472777,0.18227523828395711,,,"0,1",-1.4119243835127184,-16.87022902413653
