rung_id,rung,rung_description,sweep_beta_pres,sweep_beta_abs,system,n_cases,n_replicates,median_log_B_eff_R1,median_log_B_eff_R0,mean_rho_R1,mean_rho_R0,evidence_margin_M,evidence_margin_bootstrap_ci_low,evidence_margin_bootstrap_ci_high,evidence_margin_bootstrap_ci_crosses_0,balanced_log_score_improvement_vs_prior,balanced_brier_improvement_vs_prior,TPR_at_rho_gt_0p5,TNR_at_rho_le_0p5,balanced_accuracy,pass_fail_label
L0,L0,"toy depth-2 binary tree, all edges 0.90/0.10, binary noisy leaves",,,ALL,1000,500,6.2796366492335025,-6.279640003566778,0.8729588835695313,0.02906983928738178,4.670198736799402,4.667835082046614,4.67024308644787,False,0.8347179203926784,0.3183114851098648,0.93,0.976,0.9530000000000001,pass
L0,L0,"toy depth-2 binary tree, all edges 0.90/0.10, binary noisy leaves",,,Chicken,500,500,6.279636649028476,-6.279629940566959,0.8690282769432219,0.034160069100757876,4.670198736594376,4.662789161204623,4.67025314985774,False,0.8301856636979179,0.316785657348074,0.932,0.968,0.95,pass
L0,L0,"toy depth-2 binary tree, all edges 0.90/0.10, binary noisy leaves",,,LLMs,500,500,6.279640003566775,-6.279650066566596,0.8768894901958406,0.023979609474005684,4.6702020911326745,2.853889949979408,4.670253149652713,False,0.8392501770874387,0.31983731287165557,0.928,0.984,0.956,pass
L2,L2,"toy depth-3 binary tree, all edges 0.90/0.10, binary noisy leaves",,,ALL,1000,500,4.999363444001979,-4.747777091458325,0.833595183250432,0.03695812100394128,3.3899255315678785,2.8064170392381653,3.6640869675884935,False,0.797503774068583,0.3041071341776966,0.856,0.984,0.9199999999999999,pass
L2,L2,"toy depth-3 binary tree, all edges 0.90/0.10, binary noisy leaves",,,Chicken,500,500,4.999361368568101,-4.999315722843146,0.8325826424263421,0.036185755123500585,3.3899234561340004,2.7835404024975388,3.6643933039782026,False,0.8048952130052228,0.30655156251780113,0.86,0.984,0.9219999999999999,pass
L2,L2,"toy depth-3 binary tree, all edges 0.90/0.10, binary noisy leaves",,,LLMs,500,500,4.999368454074929,-4.393005780148023,0.8346077240745219,0.03773048688438198,3.058004713448023,2.8063752330961496,3.664340257339221,False,0.7901123351319429,0.301662705837592,0.852,0.984,0.9179999999999999,pass
L2_sweep__0p43_0p50,L2_sweep,toy depth-3 lower-edge gap sweep with root-to-top edges fixed at 0.90/0.10,0.43,0.5,ALL,1000,500,-0.007284069228671086,-0.006997668618147657,0.16679810004277548,0.16686178235136906,-1.6167219816627714,-1.6167603267754618,-1.601587969985318,False,0.00011181776040921729,5.8558491640325894e-05,0.0,1.0,0.5,fail
L2_sweep__0p43_0p50,L2_sweep,toy depth-3 lower-edge gap sweep with root-to-top edges fixed at 0.90/0.10,0.43,0.5,Chicken,500,500,-0.007322190172308396,-0.007322225755761025,0.16676437612955375,0.16687431234012506,-1.6167601026064087,-1.6167605538006036,-1.601626766818059,False,1.1444079681003705e-06,2.8535127508444447e-05,0.0,1.0,0.5,fail
L2_sweep__0p43_0p50,L2_sweep,toy depth-3 lower-edge gap sweep with root-to-top edges fixed at 0.90/0.10,0.43,0.5,LLMs,500,500,0.003613554646396011,-0.006953348948215421,0.16683182395599724,0.16684925236261305,-1.6058243577877043,-1.616760354823637,-1.6012766956893223,False,0.0002224911128503339,8.85818557719853e-05,0.0,1.0,0.5,fail
L2_sweep__0p55_0p45,L2_sweep,toy depth-3 lower-edge gap sweep with root-to-top edges fixed at 0.90/0.10,0.55,0.45,ALL,1000,500,0.0,-1.4405943105089136e-08,0.1669324472019797,0.16643248457272408,-1.6094379124341003,-1.6094384000031523,-1.6094374225933847,False,0.00021215686321920517,0.0001850769069419722,0.0,1.0,0.5,fail
L2_sweep__0p55_0p45,L2_sweep,toy depth-3 lower-edge gap sweep with root-to-top edges fixed at 0.90/0.10,0.55,0.45,Chicken,500,500,-4.801913533469815e-09,-2.4733881254235257e-07,0.16688203086661751,0.16634484611874228,-1.6094379172360138,-1.6094856710033951,-1.609429253360827,False,0.00013675087318689626,0.0001596701708845849,0.0,1.0,0.5,fail
L2_sweep__0p55_0p45,L2_sweep,toy depth-3 lower-edge gap sweep with root-to-top edges fixed at 0.90/0.10,0.55,0.45,LLMs,500,500,1.7461587731304462e-11,9.638887021878872e-09,0.16698286353734185,0.1665201230267059,-1.6094379124166387,-1.6095232570496754,-1.6094287240686238,False,0.0002875628532515144,0.000210483642999304,0.0,1.0,0.5,fail
L2_sweep__0p60_0p40,L2_sweep,toy depth-3 lower-edge gap sweep with root-to-top edges fixed at 0.90/0.10,0.6,0.4,ALL,1000,500,1.16477756684219e-06,-0.0005261858445031464,0.17321932651670513,0.16399614776705737,-1.6094367476565334,-1.6094380961266963,-1.6089114301026128,False,0.010066077112432636,0.00469645894696874,0.0,1.0,0.5,fail
L2_sweep__0p60_0p40,L2_sweep,toy depth-3 lower-edge gap sweep with root-to-top edges fixed at 0.90/0.10,0.6,0.4,Chicken,500,500,2.246872298883318e-06,-0.00036638849883630087,0.17370941839964424,0.16471084833389227,-1.6094356655618014,-1.6094388964266022,-1.486732475185147,False,0.012078071210835862,0.005051407764097515,0.0,1.0,0.5,fail
L2_sweep__0p60_0p40,L2_sweep,toy depth-3 lower-edge gap sweep with root-to-top edges fixed at 0.90/0.10,0.6,0.4,LLMs,500,500,1.0180905150036779e-06,-0.0616958007737729,0.17272923463376605,0.16328144720022256,-1.6094368943435853,-1.609560620722699,-1.6089230907869883,False,0.008054083014029411,0.004341510129839965,0.0,1.0,0.5,fail
L2_sweep__0p65_0p35,L2_sweep,toy depth-3 lower-edge gap sweep with root-to-top edges fixed at 0.90/0.10,0.65,0.35,ALL,1000,500,0.25984065625350894,-0.2604548162553657,0.2012910770961899,0.15491257123785196,-1.3495972561805913,-1.6085804449157564,-1.348116744390363,False,0.05406589289967982,0.02410923385617819,0.0,1.0,0.5,fail
L2_sweep__0p65_0p35,L2_sweep,toy depth-3 lower-edge gap sweep with root-to-top edges fixed at 0.90/0.10,0.65,0.35,Chicken,500,500,0.2604545282659352,-0.26045694314078105,0.20262975070656133,0.15473171830851934,-1.348983384168165,-1.609430695601042,-1.3436695265648833,False,0.06450958820320489,0.025794907760259,0.0,1.0,0.5,fail
L2_sweep__0p65_0p35,L2_sweep,toy depth-3 lower-edge gap sweep with root-to-top edges fixed at 0.90/0.10,0.65,0.35,LLMs,500,500,0.004572016371209742,-0.26045481625536215,0.19995240348581844,0.15509342416718458,-1.6048658960628905,-1.6094329928322895,-1.3460453711283928,False,0.043622197596154745,0.022423559952097327,0.0,1.0,0.5,fail
L2_sweep__0p70_0p30,L2_sweep,toy depth-3 lower-edge gap sweep with root-to-top edges fixed at 0.90/0.10,0.7,0.3,ALL,1000,500,0.44876065220181793,-0.4487645467890218,0.2731248797759931,0.1355965094050511,-1.1606772602322823,-1.1623038865126485,-1.1606708196521442,False,0.16001382538337636,0.0689573715981292,0.116,0.984,0.55,fail
L2_sweep__0p70_0p30,L2_sweep,toy depth-3 lower-edge gap sweep with root-to-top edges fixed at 0.90/0.10,0.7,0.3,Chicken,500,500,0.4482930308608797,-0.4487619135772931,0.2680121438406208,0.13408130755087633,-1.1611448815732206,-1.1865779638049747,-1.1606714068508637,False,0.16520870654758513,0.0685418293737392,0.092,0.996,0.544,fail
L2_sweep__0p70_0p30,L2_sweep,toy depth-3 lower-edge gap sweep with root-to-top edges fixed at 0.90/0.10,0.7,0.3,LLMs,500,500,0.44876636218932475,-0.448768842526853,0.2782376157113654,0.1371117112592259,-1.1606715502447755,-1.1616046813902414,-1.1470570366897441,False,0.1548189442191676,0.06937291382251914,0.14,0.972,0.556,fail
L2_sweep__0p80_0p20,L2_sweep,toy depth-3 lower-edge gap sweep with root-to-top edges fixed at 0.90/0.10,0.8,0.2,ALL,1000,500,1.8079397862173892,-1.8079200928894004,0.5449055308864585,0.09142413771214723,0.19850187378328887,0.19384122055974662,0.47292730691305906,False,0.4742911738205397,0.19551700199738556,0.55,0.964,0.757,pass
L2_sweep__0p80_0p20,L2_sweep,toy depth-3 lower-edge gap sweep with root-to-top edges fixed at 0.90/0.10,0.8,0.2,Chicken,500,500,1.807938188248583,-1.5957284155136477,0.5479149247357298,0.09207262394286182,0.1985002758144827,-0.01748465834486912,0.5289305996770098,True,0.5017023050646148,0.20135364239590486,0.544,0.976,0.76,borderline
L2_sweep__0p80_0p20,L2_sweep,toy depth-3 lower-edge gap sweep with root-to-top edges fixed at 0.90/0.10,0.8,0.2,LLMs,500,500,1.807944895788232,-1.8079388557034815,0.5418961370371872,0.09077565148143261,0.19850698335413175,-0.013081239240225574,0.6731466129740297,True,0.4468800425764647,0.1896803615988663,0.556,0.952,0.754,borderline
L2_sweep__0p90_0p10,L2_sweep,toy depth-3 lower-edge gap sweep with root-to-top edges fixed at 0.90/0.10,0.9,0.1,ALL,1000,500,4.999363444001979,-4.747777091458325,0.833595183250432,0.03695812100394128,3.3899255315678785,2.806402553294114,3.664117933886801,False,0.797503774068583,0.3041071341776966,0.856,0.984,0.9199999999999999,pass
L2_sweep__0p90_0p10,L2_sweep,toy depth-3 lower-edge gap sweep with root-to-top edges fixed at 0.90/0.10,0.9,0.1,Chicken,500,500,4.999361368568101,-4.999315722843146,0.8325826424263421,0.036185755123500585,3.3899234561340004,2.537561823306155,3.6643983536312152,False,0.8048952130052228,0.30655156251780113,0.86,0.984,0.9219999999999999,pass
L2_sweep__0p90_0p10,L2_sweep,toy depth-3 lower-edge gap sweep with root-to-top edges fixed at 0.90/0.10,0.9,0.1,LLMs,500,500,4.999368454074929,-4.393005780148023,0.8346077240745219,0.03773048688438198,3.058004713448023,2.8063837881193603,3.6642761964357873,False,0.7901123351319429,0.301662705837592,0.852,0.984,0.9179999999999999,pass
L3,L3,"actual GWT topology, all edges 0.90/0.10, binary noisy leaves",,,ALL,1000,500,10.735658159543632,-10.178362268285774,0.9819118346044027,0.004568051710192962,8.843361201585774,8.679812428179968,9.080224148140141,False,0.9682350595110627,0.35633740938093433,0.988,0.998,0.993,pass
